factor,corr,abs_diff_mean,legacy_std,rel_drift
AMIHUD_20,0.9999964277494267,4.4137608036337246e-14,4.9822667143968844e-11,0.000885894123427718
AMIHUD_20_LN,0.9999964277494242,4.4137608033734876e-14,4.982266712133599e-11,0.0008858941237779189
AMIHUD_ILLIQUIDITY_20,0.7910487785402777,0.4802690032727732,0.9983012550703094,0.4810862460940694
AMOUNT_RATIO_5_20,0.7263130516869766,0.5555612328634012,0.998292100710115,0.556511698798592
ATR_RATIO_14,0.7112293593366744,0.5757590341298996,0.9982580618678859,0.5767637208484655
ATR_RATIO_20,0.6745264733889187,0.6128252400114316,0.998213147019004,0.6139222287760198
ATR_RATIO_5,0.6880155083288565,0.599519774346346,0.9982583170173062,0.6005657695271198
ATR_RATIO_60,0.6681430289906514,0.6198051188924181,0.9982851595048219,0.620869811587562
BOLL_PCT_B,0.6939158332035525,0.600590428711919,0.9982692722907354,0.6016316893474444
CORR_PV_10,0.763484141227159,0.5222643695935122,0.9982786281860385,0.5231649309597194
CORR_PV_20,0.753785228356504,0.5308712055081874,0.9983012550703096,0.5317745548369551
CORR_PV_5,0.7766141030947697,0.5073515874876412,0.997784459999161,0.5084781411489089
DOWNSIDE_VOL_RATIO_20,0.7311507829487645,0.5570685312169419,0.9983012550703095,0.5580164588470922
EFFICIENCY_RATIO_10,0.7683970524896264,0.514498578551667,0.9983058769103551,0.5153716816172439
ENTITY_RATIO,0.7871274908364422,0.49642054438875877,0.9983012550703094,0.4972652712470008
FLOW_ACCUMULATION_20D,0.7348566632019591,0.5526109804232479,0.9982916339148594,0.5535566578437118
FLOW_NET_BUY_RATIO_5D,0.7323781599607658,0.5555687658002852,0.9983022976430077,0.5565135601831063
GP_ALPHA_PRICE_RANGE_ACCEL_20,0.7614601105067467,0.5179866049358093,0.9983012550703094,0.5188680293698799
GP_ALPHA_REVERSAL_STRENGTH_5,0.7698151199925128,0.5057632843907828,0.9983012550703096,0.5066239091877754
GP_ALPHA_VOL_PRESSURE_10,0.7337559635052113,0.5343791583430357,0.9983012550703093,0.5352884769291409
INDUSTRY_LEAD_LAG_MOM_5D,0.6990933602322501,0.5755761941988783,0.9983012550703092,0.5765556151267597
INTRADAY_CLOSE_LOC,0.7381197852905926,0.5518840228648944,0.9983012550703093,0.5528231283511967
IS_LIMIT_DOWN_LAG1,0.023473857732579394,0.1721566366483663,0.4702204002800942,0.3661190295993506
IS_LIMIT_UP_LAG1,0.05854093992890727,0.45952767602221306,0.7574484592002859,0.6066784748725773
KAUFMAN_EFFICIENCY_20,0.7595199398957644,0.52143910393969,0.9983012550703093,0.5223264032688866
KLEN,0.7121067900187901,0.5737158154578882,0.9983012550703095,0.5746920706991216
KLOW,0.7688630179974093,0.508375489837266,0.9983012550703094,0.5092405596559744
KMID,0.7083357625940471,0.5682998931402072,0.9983012550703094,0.5692669324553563
KMID2,0.7075114100600306,0.5866499992476856,0.9983012550703095,0.5876482637561828
KSFT,0.7235040431626106,0.5530645953613222,0.9983012550703094,0.5540057097517828
KUP,0.7538452432478909,0.5279369602808875,0.9983012550703095,0.5288353165935922
KYLE_LAMBDA_PROXY,0.7550390852877488,0.5216935968113213,0.9983012550703095,0.5225813291946416
LOG_CIRC_MV,0.999940858410402,0.006457985357253807,0.9983012550703095,0.006468974494877276
LOWER_SHADOW_RATIO,0.7788376725489184,0.5009458866631261,0.9983012550703095,0.5017983140047689
MACD_HIST_SLOPE_5,0.7247275077136592,0.5423407497193354,0.9983024392103281,0.5432629716384695
MAX_RATIO_10,0.7081601842539785,0.5785171963481388,0.9983037402080328,0.5795001792015562
MAX_RATIO_120,0.7037038700495715,0.5804087784426648,0.9983437228399917,0.5813716910961026
MAX_RATIO_20,0.704631990264929,0.5824605139942264,0.9983039300002265,0.5834500861817645
MAX_RATIO_250,0.6869227191445947,0.59088658484845,0.9982917285754834,0.5918977067871914
MAX_RATIO_30,0.7048891356170748,0.5815620525123726,0.9983010952053231,0.5825517524778046
MAX_RATIO_5,0.7082687116909735,0.5764607934043048,0.998301230189048,0.5774417339895901
MAX_RATIO_60,0.7065747728757648,0.5790170787633034,0.9983246295990722,0.5799887747894561
MA_BULL_ALIGNMENT,0.7206341605643671,0.5712758372515063,0.9983012550703093,0.572247940539023
MA_RATIO_10,0.6981996486132964,0.5816774473436147,0.9982551669614496,0.5826941513502607
MA_RATIO_120,0.6949285427443695,0.5846811524586571,0.9983417267184499,0.5856523240599234
MA_RATIO_20,0.6978953814859779,0.5837374607935522,0.9982465637437821,0.5847628050972975
MA_RATIO_250,0.676406075520132,0.593830353911718,0.9983358116195291,0.5948202468550029
MA_RATIO_30,0.6987334794047053,0.5838049457902506,0.9982851272555204,0.5848078167759984
MA_RATIO_5,0.7018934066711486,0.5754582391909252,0.9982811658833125,0.5764490595009278
MA_RATIO_60,0.7007277110711272,0.580568268395042,0.9983211518973554,0.5815445934323291
MIN_RATIO_10,0.7033908950664528,0.5837033784227463,0.9982603517964126,0.5847205865407225
MIN_RATIO_120,0.7018753335596549,0.5822015864825401,0.9983049728232462,0.583190109567471
MIN_RATIO_20,0.7036442083616314,0.5845958088907086,0.9982119754671449,0.5856429528579122
MIN_RATIO_250,0.7030864784034223,0.5772192907628657,0.9983428853402607,0.5781773970033699
MIN_RATIO_30,0.7047177775270771,0.5840954444978278,0.9982376806219986,0.5851266244867454
MIN_RATIO_5,0.6973842483502658,0.5849476976637508,0.9982791225261525,0.5859560562416015
MIN_RATIO_60,0.7076541537494434,0.5803632766405671,0.9982919520460151,0.5813562610127262
MOM_ACC_20_60,0.6986399002203396,0.5840941076819913,0.9983258751100441,0.5850735939480758
MOM_ACC_60_120,0.691927623563136,0.5877722918833344,0.9983290874114441,0.5887560517818451
ROC10,0.698255181964073,0.5826500089775208,0.9982474737615409,0.5836729110688468
ROC120,0.6957683047383402,0.5860651097908653,0.998299649956581,0.5870633229375118
ROC20,0.6993902871312166,0.5836010912547785,0.9982353113823217,0.5846327860778917
ROC250,0.6916345316419905,0.5775949512630161,0.998275345866837,0.578592823767946
ROC30,0.7000775015622553,0.5829549747090346,0.9982504413648849,0.5839766761454906
ROC5,0.6999651733226037,0.5786763575724578,0.9982746012137212,0.5796765307550569
ROC60,0.7017053344101835,0.581018163549782,0.998271401369894,0.5820242498707972
ROC_STD_120,0.689212517093565,0.5980465353894456,0.9983022771867749,0.5990635792945863
ROC_STD_20,0.6872511269370415,0.6035797073620918,0.9982642934416908,0.6046291661711601
ROC_STD_250,0.6887600745012405,0.5903125090927828,0.9982874790107582,0.5913251658507691
ROC_STD_60,0.6913179183266475,0.5970110882426719,0.9982849547017899,0.5980367483560969
RSI_14,0.6864977204791277,0.6062553419159988,0.998277719727174,0.6073012849387106
SHADOW_ASYMMETRY_RATIO,0.7656031732793617,0.516892291682557,0.9983012550703093,0.5177718539942663
STD10,0.7017768033349508,0.5855693231154705,0.9982050762127963,0.5866222653736931
STD120,0.6604761524368324,0.6284666204843663,0.9983127511689809,0.6295287922031039
STD20,0.689676092077007,0.5989958685813199,0.9981941370883942,0.6000795299484677
STD250,0.653480508073201,0.6356766888041478,0.9983370768572116,0.6367355310545741
STD30,0.6821641022610347,0.6070061555482902,0.9981979567946225,0.6081019815923954
STD5,0.7156479343189245,0.5711060602644827,0.9982624356122307,0.572100121061077
STD60,0.6701002730123412,0.6196036517203293,0.9982526493029632,0.6206882116996852
TURNOVER_STD_20,0.7338805478169129,0.5535230554541076,0.9982446136966151,0.5544964108590056
TURNOVER_SURGE_20,0.7440838390563631,0.5342408510379288,0.9983108121204374,0.5351448111667626
TURNOVER_SURGE_5,0.7500119677442004,0.5266355262555029,0.9982765275387854,0.5275447350784694
UPPER_SHADOW_RATIO,0.7725430649367245,0.5114920058830545,0.9983012550703095,0.5123623788763348
VMA_RATIO_10,0.750366970664213,0.5309593380771189,0.9982703646384293,0.5318792953143819
VMA_RATIO_20,0.7472976475139188,0.5354148742058236,0.9982962193724982,0.5363286605877069
VMA_RATIO_5,0.753406685356704,0.52582126682149,0.9982785229263889,0.5267280170268304
VMA_RATIO_60,0.7443206576626742,0.5416400000759114,0.9982711576254354,0.5425780319690874
VOLATILITY_SQUEEZE_20,0.7120255146856124,0.5768271302659042,0.9982280832829852,0.5778510341733001
VP_DIVERGENCE_10D,0.7457145139449385,0.5449687707817762,0.9983012550703095,0.5458961090291272
VSTD_10,0.7762750541326391,0.49751924131740777,0.9982341255905345,0.4983993519787613
VSTD_20,0.7724871393618665,0.5039505117412786,0.9982800522424964,0.5048187736589791
VSTD_5,0.781383865297785,0.4902016134589745,0.998273240225017,0.4910495380488012
VSTD_60,0.7597557704409734,0.5211602580052609,0.9982970077467096,0.5220493039256819
WVMA_10,0.7170467538806438,0.5689927714996706,0.9982257834460554,0.570004082178087
WVMA_20,0.7121033882773274,0.5750462589787539,0.9982929372661893,0.5760295776042549
WVMA_5,0.7216026014344037,0.5640259227707355,0.9982775435240147,0.5649991091452086
YANG_ZHANG_VOL_20,0.6771641878756686,0.6112074737655073,0.9982032477996862,0.6123076388629032
