fold,candidate_model_id,baseline_model_id,test_start,test_end,candidate_strategy_return,candidate_benchmark_return,candidate_excess_return,candidate_max_drawdown,candidate_sharpe,candidate_turnover,candidate_trade_count,candidate_transaction_cost,baseline_strategy_return,baseline_benchmark_return,baseline_excess_return,baseline_max_drawdown,baseline_sharpe,baseline_turnover,baseline_trade_count,baseline_transaction_cost,candidate_minus_baseline_excess,candidate_won
1,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-07-03,2023-08-25,-5.17,-4.72,-0.45,-5.77,-3.83,0.0,54,5686.41,-1.97,-4.72,2.75,-3.17,-1.63,0.0,35,3392.72,-3.2,False
2,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-08-28,2023-10-30,-2.65,-4.5,1.85,-5.24,-1.87,0.0,43,4090.16,-3.08,-4.5,1.42,-8.12,-1.68,0.0,46,3944.26,0.43,True
3,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-10-31,2023-12-25,2.46,-6.3,8.76,-3.82,0.95,0.0,41,5325.99,-7.21,-6.3,-0.91,-7.34,-6.77,0.0,48,3170.15,9.67,True
4,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-12-26,2024-02-28,-10.24,3.77,-14.02,-12.19,-4.93,0.0,52,5084.33,-2.87,3.77,-6.64,-7.0,-1.22,0.0,51,4673.3,-7.38,False
5,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-02-29,2024-04-26,-0.69,1.94,-2.63,-3.42,-0.39,0.0,36,4577.83,3.73,1.94,1.79,-1.63,2.36,0.0,28,2579.14,-4.42,False
6,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-04-29,2024-06-27,-2.35,-4.69,2.33,-3.95,-1.09,0.0,45,5381.41,-2.03,-4.69,2.65,-4.19,-1.67,0.0,36,3224.0,-0.32,False
7,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-06-28,2024-08-22,4.53,-4.29,8.82,-4.02,1.69,0.0,56,5256.83,-0.37,-4.29,3.93,-3.51,-0.46,0.0,40,3376.31,4.89,True
8,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-08-23,2024-10-28,41.9,19.14,22.75,-4.34,4.3,0.0,36,5436.04,9.34,19.14,-9.81,-3.44,2.9,0.0,50,4009.42,32.56,True
9,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-10-29,2024-12-23,9.39,0.23,9.17,-2.06,3.94,0.0,34,5098.1,2.39,0.23,2.16,-1.67,1.27,0.0,25,2651.65,7.01,True
10,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-12-24,2025-02-26,7.82,-0.6,8.42,-5.97,2.64,0.0,32,5343.6,-4.36,-0.6,-3.76,-6.43,-2.7,0.0,23,3427.93,12.18,True
11,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-02-27,2025-04-24,-11.23,-4.63,-6.6,-13.21,-2.67,0.0,32,5104.49,-0.18,-4.63,4.45,-3.99,-0.24,0.0,26,2135.8,-11.05,False
12,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-04-25,2025-06-25,13.02,4.57,8.45,-2.5,4.2,0.0,34,4971.8,4.16,4.57,-0.41,-1.17,3.73,0.0,23,3174.47,8.86,True
13,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-06-26,2025-08-20,13.91,8.25,5.66,-1.77,5.08,0.0,31,5418.12,2.99,8.25,-5.26,-3.67,1.48,0.0,30,4038.7,10.92,True
14,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-08-21,2025-10-23,-1.66,7.42,-9.08,-6.25,-0.95,0.0,29,4625.29,10.18,7.42,2.76,-3.96,2.93,0.0,31,5470.61,-11.84,False
15,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-10-24,2025-12-18,5.13,-2.31,7.44,-3.34,2.09,0.0,32,5328.78,-1.76,-2.31,0.55,-6.02,-1.47,0.0,26,3059.9,6.89,True
16,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-12-19,2026-02-24,13.73,3.05,10.68,-1.61,5.8,0.0,32,5965.77,2.79,3.05,-0.26,-6.44,1.04,0.0,31,4702.96,10.94,True
17,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-02-25,2026-04-22,-3.7,1.35,-5.05,-7.51,-2.15,0.0,30,4713.35,-3.09,1.35,-4.44,-5.09,-1.22,0.0,37,4250.56,-0.61,False
18,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-04-23,2026-06-23,-0.08,2.78,-2.86,-5.68,-0.14,0.0,32,5209.02,-7.9,2.78,-10.68,-10.48,-4.45,0.0,34,4492.02,7.82,True
19,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-06-24,2026-08-18,-2.0,-4.39,2.39,-5.9,-0.89,0.0,34,4792.38,-3.18,-4.39,1.21,-4.82,-1.2,0.0,35,3733.89,1.18,True
20,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-08-19,2026-08-24,-4.21,-0.56,-3.65,-4.21,-13.88,0.0,8,1166.48,1.21,-0.56,1.77,-0.58,7.01,0.0,8,1153.99,-5.42,False
