model_id,fold,train_start,train_end,test_start,test_end,feature_count
lightgbm_clf_baseline,1,2021-09-29,2023-02-23,2023-07-03,2023-08-25,79
lightgbm_clf_baseline,2,2021-12-01,2023-04-21,2023-08-28,2023-10-30,79
lightgbm_clf_baseline,3,2022-01-27,2023-06-21,2023-10-31,2023-12-25,79
lightgbm_clf_baseline,4,2022-03-31,2023-08-18,2023-12-26,2024-02-28,79
lightgbm_clf_baseline,5,2022-06-02,2023-10-23,2024-02-29,2024-04-26,79
lightgbm_clf_baseline,6,2022-07-29,2023-12-18,2024-04-29,2024-06-27,79
lightgbm_clf_baseline,7,2022-09-26,2024-02-21,2024-06-28,2024-08-22,79
lightgbm_clf_baseline,8,2022-11-28,2024-04-19,2024-08-23,2024-10-28,79
lightgbm_clf_baseline,9,2023-01-31,2024-06-20,2024-10-29,2024-12-23,79
lightgbm_clf_baseline,10,2023-03-28,2024-08-15,2024-12-24,2025-02-26,79
lightgbm_clf_baseline,11,2023-05-29,2024-10-21,2025-02-27,2025-04-24,79
lightgbm_clf_baseline,12,2023-07-26,2024-12-16,2025-04-25,2025-06-25,79
lightgbm_clf_baseline,13,2023-09-20,2025-02-19,2025-06-26,2025-08-20,79
lightgbm_clf_baseline,14,2023-11-23,2025-04-17,2025-08-21,2025-10-23,79
lightgbm_clf_baseline,15,2024-01-19,2025-06-18,2025-10-24,2025-12-18,79
lightgbm_clf_baseline,16,2024-03-25,2025-08-13,2025-12-19,2026-02-24,79
lightgbm_clf_baseline,17,2024-05-27,2025-10-16,2026-02-25,2026-04-22,79
lightgbm_clf_baseline,18,2024-07-23,2025-12-11,2026-04-23,2026-06-23,79
lightgbm_clf_baseline,19,2024-09-19,2026-02-09,2026-06-24,2026-08-18,79
lightgbm_clf_baseline,20,2024-11-21,2026-04-15,2026-08-19,2026-08-24,79
lightgbm_reg_baseline,1,2021-09-29,2023-02-23,2023-07-03,2023-08-25,79
lightgbm_reg_baseline,2,2021-12-01,2023-04-21,2023-08-28,2023-10-30,79
lightgbm_reg_baseline,3,2022-01-27,2023-06-21,2023-10-31,2023-12-25,79
lightgbm_reg_baseline,4,2022-03-31,2023-08-18,2023-12-26,2024-02-28,79
lightgbm_reg_baseline,5,2022-06-02,2023-10-23,2024-02-29,2024-04-26,79
lightgbm_reg_baseline,6,2022-07-29,2023-12-18,2024-04-29,2024-06-27,79
lightgbm_reg_baseline,7,2022-09-26,2024-02-21,2024-06-28,2024-08-22,79
lightgbm_reg_baseline,8,2022-11-28,2024-04-19,2024-08-23,2024-10-28,79
lightgbm_reg_baseline,9,2023-01-31,2024-06-20,2024-10-29,2024-12-23,79
lightgbm_reg_baseline,10,2023-03-28,2024-08-15,2024-12-24,2025-02-26,79
lightgbm_reg_baseline,11,2023-05-29,2024-10-21,2025-02-27,2025-04-24,79
lightgbm_reg_baseline,12,2023-07-26,2024-12-16,2025-04-25,2025-06-25,79
lightgbm_reg_baseline,13,2023-09-20,2025-02-19,2025-06-26,2025-08-20,79
lightgbm_reg_baseline,14,2023-11-23,2025-04-17,2025-08-21,2025-10-23,79
lightgbm_reg_baseline,15,2024-01-19,2025-06-18,2025-10-24,2025-12-18,79
lightgbm_reg_baseline,16,2024-03-25,2025-08-13,2025-12-19,2026-02-24,79
lightgbm_reg_baseline,17,2024-05-27,2025-10-16,2026-02-25,2026-04-22,79
lightgbm_reg_baseline,18,2024-07-23,2025-12-11,2026-04-23,2026-06-23,79
lightgbm_reg_baseline,19,2024-09-19,2026-02-09,2026-06-24,2026-08-18,79
lightgbm_reg_baseline,20,2024-11-21,2026-04-15,2026-08-19,2026-08-24,79
lightgbm_ranker,1,2021-09-29,2023-02-23,2023-07-03,2023-08-25,79
lightgbm_ranker,2,2021-12-01,2023-04-21,2023-08-28,2023-10-30,79
lightgbm_ranker,3,2022-01-27,2023-06-21,2023-10-31,2023-12-25,79
lightgbm_ranker,4,2022-03-31,2023-08-18,2023-12-26,2024-02-28,79
lightgbm_ranker,5,2022-06-02,2023-10-23,2024-02-29,2024-04-26,79
lightgbm_ranker,6,2022-07-29,2023-12-18,2024-04-29,2024-06-27,79
lightgbm_ranker,7,2022-09-26,2024-02-21,2024-06-28,2024-08-22,79
lightgbm_ranker,8,2022-11-28,2024-04-19,2024-08-23,2024-10-28,79
lightgbm_ranker,9,2023-01-31,2024-06-20,2024-10-29,2024-12-23,79
lightgbm_ranker,10,2023-03-28,2024-08-15,2024-12-24,2025-02-26,79
lightgbm_ranker,11,2023-05-29,2024-10-21,2025-02-27,2025-04-24,79
lightgbm_ranker,12,2023-07-26,2024-12-16,2025-04-25,2025-06-25,79
lightgbm_ranker,13,2023-09-20,2025-02-19,2025-06-26,2025-08-20,79
lightgbm_ranker,14,2023-11-23,2025-04-17,2025-08-21,2025-10-23,79
lightgbm_ranker,15,2024-01-19,2025-06-18,2025-10-24,2025-12-18,79
lightgbm_ranker,16,2024-03-25,2025-08-13,2025-12-19,2026-02-24,79
lightgbm_ranker,17,2024-05-27,2025-10-16,2026-02-25,2026-04-22,79
lightgbm_ranker,18,2024-07-23,2025-12-11,2026-04-23,2026-06-23,79
lightgbm_ranker,19,2024-09-19,2026-02-09,2026-06-24,2026-08-18,79
lightgbm_ranker,20,2024-11-21,2026-04-15,2026-08-19,2026-08-24,79
