fold,fold_id,candidate_model_id,baseline_model_id,test_start,test_end,test_dates_count,candidate_oos_rows,baseline_oos_rows,candidate_prediction_sha256,baseline_prediction_sha256,candidate_backtest_run_id,baseline_backtest_run_id,candidate_equity_sha256,baseline_equity_sha256,candidate_orders_sha256,baseline_orders_sha256,candidate_strategy_return,candidate_benchmark_return,candidate_excess_return,candidate_max_drawdown,candidate_sharpe,candidate_turnover,candidate_trade_count,candidate_transaction_cost,baseline_strategy_return,baseline_benchmark_return,baseline_excess_return,baseline_max_drawdown,baseline_sharpe,baseline_turnover,baseline_trade_count,baseline_transaction_cost,candidate_minus_baseline_excess,candidate_minus_baseline,engine_config_hash,dataset_sha256,source_code_sha,candidate_won
1,1,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-07-03,2023-08-25,40,11854,11854,f67bce1912c1b6f9026a931744f52551e4683ed51688175b91c2dc0bfb5cb0ac,42fa28a4a38a34ed161d1784a0e225c11b9fae08a122f279c744649a39fd9950,research_3ebbb9f_20260831_155027:candidate:1,research_3ebbb9f_20260831_155027:baseline:1,22837fb334ae49313cd9e32d01aa20e3676ab1cf47f1452f1385195d8d32e344,2f201f7bda542d883904ba880098d68535e12d949a725faa1b5be4f8345d9859,8865334f6d9449889b08f38d56cb35c119406bada782d796bfce95b07e463298,093a8c216903c5eccb79797433907f66fc840513cb41390333c75d0ec9dc174f,-5.17,-4.72,-0.45,-5.77,-3.83,0.0,54,5686.41,-1.97,-4.72,2.75,-3.17,-1.63,0.0,35,3392.72,-3.2,-3.2,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
2,2,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-08-28,2023-10-30,40,11880,11880,6bb0905d0a44fb25d20a1acff5be19a81817dcff0acb8b5d1f28b4158b17f717,21be45edf33b659a89e7b8a95c298ce86bfd3b3f630ba421ba3828b532b1727d,research_3ebbb9f_20260831_155027:candidate:2,research_3ebbb9f_20260831_155027:baseline:2,d0bd33af614c00cfb8b087259246937e207ba704d13f38564ef5db26b203b645,83a2313a23f1d0abb928952b4d18d950bd46d457dd40aefb8265b4c939122bb0,30afedddcea839e6550fd27f596d98d486c5381ef2858b451cfb202b8a1a6b99,4d5724108a025e6f21c9f5c80c3d04f02e8b4c53f3b2c124895b33b7ac617689,-2.65,-4.5,1.85,-5.24,-1.87,0.0,43,4090.16,-3.08,-4.5,1.42,-8.12,-1.68,0.0,46,3944.26,0.43,0.43,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
3,3,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-10-31,2023-12-25,40,11880,11880,4d106ca4e5b09c65d3ff55ad4943393ef813907ec7bd9ea3bb5280ab6a3d2a32,e02630f46bf3b057d66f0334e1e3fbcadf8a5a907cbb7da284a56875a39af1ff,research_3ebbb9f_20260831_155027:candidate:3,research_3ebbb9f_20260831_155027:baseline:3,f3435675b9ea6d3bc378bec7b9dd7cdc40accce6fc3d0d0a44e64be7f1b99ba4,390c96e37bdfbb795a499a48f07615de571dde2677ba113a9b348d9cfe5dc503,b47c682f213ab6db6a3627f4d4ef6a95d836193deaad73238466b3c4476f4d60,1e68fcb6251e7b23ac35452091220b767814b8cbfeab74b4e148f093bef2d658,2.46,-6.3,8.76,-3.82,0.95,0.0,41,5325.99,-7.21,-6.3,-0.91,-7.34,-6.77,0.0,48,3170.15,9.67,9.67,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
4,4,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-12-26,2024-02-28,40,11870,11870,d3c07b1ff93ce0ea4953ae7ecbeaa9020760571b917870568058a801d35a8de1,7cae6570425b18d3160983da2b2ebc2249dfc0d0c5f8da5b07a4dc980f57b4d3,research_3ebbb9f_20260831_155027:candidate:4,research_3ebbb9f_20260831_155027:baseline:4,9df174f05108e2567e76c41b68169b623db60b05de1a2f0eaf6de899fcdf7c68,20ee80b2e3c022cb7ec3ad39442416749572b61cfa0a86c7c0e203babbce1f57,e257dcb0837c520ae36d4230b9ff77cf9059103aa0aa91c17ba5674142e5b797,d49947a659e7bc079cb9a4c1502a2b66fa4bcdccf9024c10c54eee6a8f03e448,-10.24,3.77,-14.02,-12.19,-4.93,0.0,52,5084.33,-2.87,3.77,-6.64,-7.0,-1.22,0.0,51,4673.3,-7.38,-7.38,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
5,5,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-02-29,2024-04-26,40,11874,11874,933e0540150e927e304e53000aad2e42ca899bd0680fd5b64f24f7855bd0529c,bce65891b1e19fdc24051c5b5380f344f65dbf479817402416c4a8a7ad955262,research_3ebbb9f_20260831_155027:candidate:5,research_3ebbb9f_20260831_155027:baseline:5,d9a5ecaa61d8da60a08a34fa87fd195c2c0896bc59963d4bd4d39e91a58792bb,1d2ff64c3d5a0e0d5f95f82956014294ef0f793ca38208dd6ab138a1255d6756,8be04d1d18dbbebd5bde77e1f537ebcec450fa8c91a6501e72b4e94e18488322,8c268562e96bd5180c0cf16e6c9e8d65f77065d297862daf000da52f0c81b80d,-0.69,1.94,-2.63,-3.42,-0.39,0.0,36,4577.83,3.73,1.94,1.79,-1.63,2.36,0.0,28,2579.14,-4.42,-4.42,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
6,6,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-04-29,2024-06-27,40,11871,11871,c6b348640e9937ff594d9c427cf7e06be73a9e4a43536e213873d7035027922f,6d1a51174619491cc4e92f2264aeb8e06ac4011f8f74d7bebc159b8d63a96cab,research_3ebbb9f_20260831_155027:candidate:6,research_3ebbb9f_20260831_155027:baseline:6,232cd1df9a6518396693420f8817e821fce0a6f768ee9ec36938e9564cd23a8d,f54d56e76ed6eaa245867afd3e3b8100a1d84204e943d67bd1c6dc2b015e565c,dd4c1bd0255988110627838f74b241fb76fa101e12b5de97a1a2ce182f236225,6bb67e4d45f3aef811727050de4a19b4425479ab41ece7aad43f853f9d295221,-2.35,-4.69,2.33,-3.95,-1.09,0.0,45,5381.41,-2.03,-4.69,2.65,-4.19,-1.67,0.0,36,3224.0,-0.32,-0.32,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
7,7,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-06-28,2024-08-22,40,11869,11869,7450d477d0c93a1b91713929785c4405d9777d37721c1b3dc66b361fd3fda86d,d1e671c4c9fc337e3600916f7b52ac27f856847d4e3111f19065391540e30016,research_3ebbb9f_20260831_155027:candidate:7,research_3ebbb9f_20260831_155027:baseline:7,97d2fad56943ec4b77d368189d55fac42f1227cdf0a49ad0b84b470e6d423d13,1e7e81395251748db908239e4e62248b6f9d232ced34f48b599c829393f3135c,97c714a0f4d47e9ed8a5a96cc99587103f72f2a9af002979c3db5b79f09386a8,2e58fae3da6533376dc92cc48897452dff5c61103176f4e1d3bfa2f8b1d4d94c,4.53,-4.29,8.82,-4.02,1.69,0.0,56,5256.83,-0.37,-4.29,3.93,-3.51,-0.46,0.0,40,3376.31,4.89,4.89,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
8,8,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-08-23,2024-10-28,40,11843,11843,001e3cd98d5d0985a9d56c86ac71b19a15d03b1499afa97aea96b7ff9489f23d,e664dd9685aa25180eb81dcd6fc1e9447cea84c0e512ba6e81e7354d32cb49ac,research_3ebbb9f_20260831_155027:candidate:8,research_3ebbb9f_20260831_155027:baseline:8,2e2bf9b638c589ea265ded1c5fd4b1e4d0046eb2627ca1e869c422fe25abe46e,9749c6ab88ae336ee900da3380aff0cef6699f186e23bd7f7000d8dcba6d760e,bf3eb96802ad4a8e99b31be196a45ca922944a62f6f3601f64355885cc589311,2405cbd7706eeef568e51e8c864b9bedc1f5dfcc573bfa7e2c010b6d1af72f57,41.9,19.14,22.75,-4.34,4.3,0.0,36,5436.04,9.34,19.14,-9.81,-3.44,2.9,0.0,50,4009.42,32.56,32.56,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
9,9,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-10-29,2024-12-23,40,11870,11870,73adbdf2ce257108bc6182a440e2ff1190fa4b09e4386c82820cc930f5c19563,606590ad660388ebd5275d34b3d05bb9b06c778b5d76e2a4026f31867980fe5f,research_3ebbb9f_20260831_155027:candidate:9,research_3ebbb9f_20260831_155027:baseline:9,dba3f56b0c33b66ee0229dc94b5d12cbd06a482b81d52dc9cd4decd426f6e95a,965e7f3a8bf882b8cd0881268261a5937d8109dddab058aba91b0a63b4fa8c5d,f5b4f19a9b5efcfac2dd92cd212f31b692714f3a997e625727860eaea7956a48,4a798781822491f0a864685d13896d2591f44621b0560092b69928d96e304e64,9.39,0.23,9.17,-2.06,3.94,0.0,34,5098.1,2.39,0.23,2.16,-1.67,1.27,0.0,25,2651.65,7.01,7.01,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
10,10,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-12-24,2025-02-26,40,11906,11906,22fe35af942d04e02b0e36d40ba8a6aaffc2d1bc5fbf443cb10a61bd93e85c8a,3b4ba4e756e135a95c6da7bf90f9e8b9f79a6a08e74c885e7376e7418fe64069,research_3ebbb9f_20260831_155027:candidate:10,research_3ebbb9f_20260831_155027:baseline:10,a33c27c5d2072002b1ec4d1696b0eb140a90bc4a2addc09f7505435ace0f414a,a5e8cc67684458e327b7e7df5c720491fd85532b6dce2478e63b59e4de206917,5a0a3fc6d512c81a7cec8cbfa58cb14b5dea6377b1ca8c246a057b83c2f337dc,09f24967d95ea2ccfcdb29283c134e734c33efe8b04997c1cfe09793491ad7fa,7.82,-0.6,8.42,-5.97,2.64,0.0,32,5343.6,-4.36,-0.6,-3.76,-6.43,-2.7,0.0,23,3427.93,12.18,12.18,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
