fold,fold_id,candidate_model_id,baseline_model_id,test_start,test_end,test_dates_count,candidate_oos_rows,baseline_oos_rows,candidate_prediction_sha256,baseline_prediction_sha256,candidate_backtest_run_id,baseline_backtest_run_id,candidate_equity_sha256,baseline_equity_sha256,candidate_orders_sha256,baseline_orders_sha256,candidate_strategy_return,candidate_benchmark_return,candidate_excess_return,candidate_max_drawdown,candidate_sharpe,candidate_turnover,candidate_trade_count,candidate_transaction_cost,baseline_strategy_return,baseline_benchmark_return,baseline_excess_return,baseline_max_drawdown,baseline_sharpe,baseline_turnover,baseline_trade_count,baseline_transaction_cost,candidate_minus_baseline_excess,candidate_minus_baseline,engine_config_hash,dataset_sha256,source_code_sha,candidate_won
1,1,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-07-03,2023-08-25,40,11854,11854,d489a20835bc9977bd41da4189a6fe9c1f75acaa08641bb9f0241b290f59292e,5d5beb47336b7fa3afeb671b9ffbcc5bf681cff3cd965abcbb62fc3fc4383d4d,research_9f4e0be_20260905_023708:candidate:1,research_9f4e0be_20260905_023708:baseline:1,6b785d6a4f44c716193a14fb09a739d1c823b20c4cf377b621708dd585b44672,7780ffdc649c5486dfe1ef5a3787bfd38fa3c623f975397b8a665357d8f50293,7dd809f7e858f927e7ba553cd0c8584fefe2bf98c107b17b5ef9292e523386d7,ce5e5a0ed82663d7b493bcdb55d0489bcf7a5a2ac5d350c04c0f2105f1b7fc62,-2.19,-4.72,2.53,-4.67,-1.57,0.0,39,5855.61,-5.57,-4.72,-0.85,-6.95,-4.22,0.0,48,5749.34,3.38,3.38,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
2,2,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-08-28,2023-10-30,40,11880,11880,719d7a974e81ea41408c4c4f8ad32c5656ef5c09315fd5833829a9bdf2c29333,aac96570b624832a150b4714a1f7b5d63d4764e1c09e38e1ba294ed97ddeca30,research_9f4e0be_20260905_023708:candidate:2,research_9f4e0be_20260905_023708:baseline:2,312b818105c7dcfee45767c7530ea8c8bae0eff520474c4bcd3e1812829d960e,af411f5fcc799255d5f930aee52783ffd08770f08d4de62b3bc5ec45448a3b08,e0ac683ea9f7bb1f138a6c5535964d8a169c09f0579e07aee144ed8af04aeaf9,d5b710de36d1a1abe8a72b84fc16d1f723df50e45fb463a71db01c54c705a1df,6.04,-4.5,10.54,-3.87,2.39,0.0,45,4934.26,1.07,-4.5,5.57,-5.28,0.45,0.0,45,3677.89,4.97,4.97,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
3,3,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-10-31,2023-12-25,40,11880,11880,b0cd71558bb11916dbedcc1304e83e79d347a2f4ef95811597ad4afe789829ed,0eb3fed88358eff6638241f3f93602ab5d06bbca294b6f7836f5fcf0762ca784,research_9f4e0be_20260905_023708:candidate:3,research_9f4e0be_20260905_023708:baseline:3,f8449f0625bf89dacb5dd21c9a3deb8b723335dbcbf3ef0e9093f69dfb5ada43,564a4ff253283930dfeb1baf7bb2211f9c6bfb302c9df62af7ef02848b43898e,5eb3dbcba5ed7378e45e11b18147c5d5b1aee7cc7963b1f869cd98117d291f27,f5f00915efbc3cee7a33fe4da6bbec9ca2d2637033ceb0a9d1c8d9a606836451,3.72,-6.3,10.02,-2.49,2.17,0.0,49,4698.65,-4.02,-6.3,2.28,-5.68,-2.94,0.0,67,3739.64,7.74,7.74,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
4,4,lightgbm_reg_baseline,lightgbm_clf_baseline,2023-12-26,2024-02-28,40,11870,11870,56339fa394d3cf3cc844aa52f31c08a57f2283b960079ae2b5ba023edde150f9,7dbd5b53bca923cf256cf69bb39f6f5cdfb18fc5513dc66ef072087750e6433e,research_9f4e0be_20260905_023708:candidate:4,research_9f4e0be_20260905_023708:baseline:4,d89dc564db66e60b13dc8d7b52f9f22a6179547440dfdf1cafefde7a7d166f89,cfbd515078999cb15c7fd64dfebb5b22bae3604aac3e1a9b419182c34c35400a,deabf4d26bb0d7c892a8dfd834daf5b79de3756026c92ff0649813a253d6ead9,b544b5d86622e3062c223c29547f668ca9254b4bf646d6a42d1d307748b4ce9d,-8.75,3.77,-12.52,-13.08,-3.9,0.0,43,5109.4,2.67,3.77,-1.1,-4.46,1.27,0.0,49,3978.79,-11.42,-11.42,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,False
5,5,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-02-29,2024-04-26,40,11874,11874,34870421cc2967b3cd66651c26014d960e772f654c9ed9bb691bb60c195dc795,5c132ad13ac73f49ce819630fba6739873faea3b01035c769003d46a51c4147d,research_9f4e0be_20260905_023708:candidate:5,research_9f4e0be_20260905_023708:baseline:5,4f87350db6eac04c63f7ca759e6d2d1066aa869de05626a1b43af329e0b3d48e,bf5cbe75ded15a7379c4f086f6f33291f0b04b796ffda3185ae7ac1caab2b1d8,f9278643836af5fc5ccd1000cd225e25194555db65e135714bc37cf097bc2483,bef5e4520a6d619ed1d2e9736e8b7ae950c7b6d99da0238cf7013df82e296c1e,2.16,1.94,0.22,-2.95,0.89,0.0,54,5645.48,0.24,1.94,-1.7,-7.66,0.04,0.0,39,4309.11,1.92,1.92,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
6,6,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-04-29,2024-06-27,40,11871,11871,c584cff4ed0bb9761b9cc1e2f6d8ef3eb6da9a3f7d3ce828da287e419b75fbd7,11b7c297c2178255d575a9b37c5c31ade0cc78ab3708620526e108daf976c2e3,research_9f4e0be_20260905_023708:candidate:6,research_9f4e0be_20260905_023708:baseline:6,e08885cacc6e6e5e6c870d2bedd2923ede94921146253aa5b5452af4da898872,3788fc1d135711bffe7fec2cfeb4a35cdde541ecb77fcbefb9b7801c10d42ed9,9952990683ccddada09a75f47903add9ea9152ec0a2178c584076db450483a55,5a904638b5a0311de64170f649b470a1e0296db155b39d4b24ffbbf1b54c66e1,7.6,-4.69,12.28,-3.06,2.75,0.0,35,5551.22,-6.51,-4.69,-1.82,-8.27,-3.31,0.0,47,3971.58,14.1,14.1,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
7,7,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-06-28,2024-08-22,40,11869,11869,5b0f511c5ae593b228f8a43adfe04ce7d9c5af35b7d315cd8e8fb2fe2e3dca97,25ee54081079834e85fbcccff5711fb30e52a18d4596a34c2d1a23f0506d9547,research_9f4e0be_20260905_023708:candidate:7,research_9f4e0be_20260905_023708:baseline:7,2cfca9fab33819a289fc565657c4d21265b9235ce3fbed36b4d5b9a070838b50,41c1326ae7c0a907b77f8cdacae5b5127bbbbfacd87f746155557bbee51b08f0,41197c9e55ec22555707000dd07c03227ddf46456ada3d97663f762cb9f6f774,b787bdbaab82392ae956f9683a7b5317b44239f07722b9a426d03bfc599a6c44,4.19,-4.29,8.48,-4.29,1.38,0.0,62,5174.02,1.42,-4.29,5.72,-3.64,0.53,0.0,42,4143.83,2.76,2.76,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
8,8,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-08-23,2024-10-28,40,11843,11843,e5877d79aa476220cb695012574ca34070efcdb25daab4c61230f7e9aa6d94f7,322b50f875db057164308af86da5580be7d4dcf8ae0f84cc1cd24c5f2bdba636,research_9f4e0be_20260905_023708:candidate:8,research_9f4e0be_20260905_023708:baseline:8,5af80922683a858ba7dcfcdf22dde3b444af6eb33ca2f69a1830f690441ddf73,07124b656309401c706e3b8d30b6e11779e80fe7281c76f574b47d20cd5d47bd,be20c704dc9594403fb886cee41c0e8ecd7bbe6a34d8a472fa9ade77843b191a,c1387cb9b9143b5b91d050c327832c48702213e40bf283fd92a778ae0cf52c18,40.47,19.14,21.33,-4.72,4.15,0.0,54,6305.9,15.11,19.14,-4.04,-6.57,2.73,0.0,50,5853.42,25.37,25.37,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
9,9,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-10-29,2024-12-23,40,11870,11870,e9b6fb7f9a42e430e2be968d04f644d874fb3647c83e30e487b4afdebf3d494b,cbd73ebf756b68b1ad8110f4907507d153315ad7af935ec1b1b5cb54044397e6,research_9f4e0be_20260905_023708:candidate:9,research_9f4e0be_20260905_023708:baseline:9,07b6e38d6322dc7b9dde446862b817119de3e4dce1e541e41f3d197f813120e0,bdaddf2a0b48d707e4eb5a56dafea0d1f77ed7bef90a25b0e970603a783649b3,086ffb347f18ef5bedaab6c1429977409b9d1abbfed2619360c04842f2a65711,5f615168c2b33a7cc9a029cd3957b9772a0a8882f4d707543588920c25c03674,9.98,0.23,9.76,-2.23,3.57,0.0,34,5622.14,5.97,0.23,5.74,-1.51,3.47,0.0,27,4682.19,4.02,4.02,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
10,10,lightgbm_reg_baseline,lightgbm_clf_baseline,2024-12-24,2025-02-26,40,11906,11906,b03e0c94b01af0b70f8997ec9b52e64377d4fb909275b81529435aa9a739dd6f,8f93009e3e32dc977d4b1101d5df2eacedffc3650a5f104a69dd03014558ed39,research_9f4e0be_20260905_023708:candidate:10,research_9f4e0be_20260905_023708:baseline:10,06b3ee1504e025fc9716816353435167cd29a6adc4e9718f9317b3c22eda5789,c611504b8512b86e29fe0d4e695ec9dd6dfbd7c0f2c6c7fb89ee5fa138707d92,a91e85139f737cfec41ea5ecbe7f5ab2352cef8ed9addd7515bc05c847a8b53a,f1f2812037025e8ab028be6127cb96d7c6fb1e00ceead6645a833320a3903b0e,-1.95,-0.6,-1.35,-8.59,-0.8,0.0,30,4690.29,-5.77,-0.6,-5.17,-6.86,-3.9,0.0,20,2887.79,3.82,3.82,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,35e86afd954da6ababbaadaa843f035d4a2085000bb7bf35ced6798aa7390a39,9f4e0bec69367fb047badd37e3a3decc46835126,True
