signal_date,entry_date,entry_price_type,earliest_exit_date,actual_exit_date,exit_delay_days,exit_attempt_count,exit_status,exit_price_type,requested_long_count,executed_long_count,rejected_long_count,long_gross_return,benchmark_return,long_excess_return,entry_commission,exit_commission,stamp_duty,slippage,total_cost,long_net_return,factor_diagnostic_spread,long_turnover,short_turnover,gross_turnover,long_equity_curve,bench_equity_curve
2021-01-04,2021-01-05,open,2021-01-06,2021-01-06,0,1,EXECUTED_ON_TIME,open,1,1,0,0.014966022534348866,0.026817079298704805,-0.011851056764355938,0.0003,0.0003,0.0005,0.0004,0.0015,0.013466022534348867,0.020307557670454,1.0,1.0,1.0,1.0134660225343488,1.0268170792987048
2021-01-05,2021-01-06,open,2021-01-07,2021-01-07,0,1,EXECUTED_ON_TIME,open,1,1,0,0.0012136195188401366,0.007774972830294269,-0.006561353311454132,0.0003,0.0003,0.0005,0.0004,0.0015,-0.0002863804811598634,0.009958467117550884,1.0,1.0,1.0,1.0131757856471764,1.0348005541919343
2021-01-06,2021-01-07,open,2021-01-08,2021-01-08,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.020066804735774935,0.018033694680231305,-0.03810049941600624,0.0003,0.0003,0.0005,0.0004,0.0015,-0.021566804735774936,-0.02109749818999418,1.0,1.0,1.0,0.9913248213151084,1.0534618314411657
2021-01-07,2021-01-08,open,2021-01-11,2021-01-11,0,1,EXECUTED_ON_TIME,open,1,1,0,0.02593560354419222,-0.003990381970682577,0.029925985514874798,0.0003,0.0003,0.0005,0.0004,0.0015,0.02443560354419222,0.022826877126252754,1.0,1.0,1.0,1.0155484416322815,1.0492581163421806
2021-01-08,2021-01-11,open,2021-01-12,2021-01-12,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.029362266742520293,-0.015394688745177354,-0.01396757799734294,0.0003,0.0003,0.0005,0.0004,0.0015,-0.030862266742520295,-0.02429038899404934,1.0,1.0,1.0,0.9842063147366753,1.0331051142277416
2021-01-11,2021-01-12,open,2021-01-13,2021-01-13,0,1,EXECUTED_ON_TIME,open,1,1,0,0.0020482094592466638,0.035015038287664835,-0.03296682882841817,0.0,0.0,0.0,0.0,0.0,0.0020482094592466638,-0.027758629540691082,0.0,1.0,0.5,0.9862221754203693,1.0692793293576084
2021-01-12,2021-01-13,open,2021-01-14,2021-01-14,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.0032431269545826202,-0.009457747041323183,0.006214620086740563,0.0003,0.0003,0.0005,0.0004,0.0015,-0.00474312695458262,0.0034360663755269583,1.0,1.0,1.0,0.9815443984369259,1.0591663559440285
2021-01-13,2021-01-14,open,2021-01-15,2021-01-15,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.005687736199606608,-0.015266153403406313,0.009578417203799705,0.0,0.0,0.0,0.0,0.0,-0.005687736199606608,0.02553895580610177,0.0,1.0,0.5,0.975961632830415,1.0429969598744602
2021-01-14,2021-01-15,open,2021-01-18,2021-01-18,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.004258859785644442,-0.006073227082473043,0.0018143672968286007,0.0003,0.0003,0.0005,0.0004,0.0015,-0.005758859785644442,-0.018136441044750984,1.0,1.0,1.0,0.9703412066307762,1.0366626024908137
2021-01-15,2021-01-18,open,2021-01-19,2021-01-19,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.004271079114028242,0.016146448009456194,-0.020417527123484436,0.0,0.0,0.0,0.0,0.0,-0.004271079114028242,-0.008076992441949371,0.0,1.0,0.5,0.9661968025696545,1.0534010213052791
2021-01-18,2021-01-19,open,2021-01-20,2021-01-20,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.023540590053621635,-0.015573377266502986,-0.00796721278711865,0.0,0.0,0.0,0.0,0.0,-0.023540590053621635,-0.06828040079409115,0.0,1.0,0.5,0.9434519597292422,1.0369960097875726
2021-01-19,2021-01-20,open,2021-01-21,2021-01-21,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.03465620820693549,0.009751630127772248,-0.04440783833470774,0.0,0.0,0.0,0.0,0.0,-0.03465620820693549,-0.031218092577876555,0.0,1.0,0.5,0.9107554921796243,1.0471084113189966
2021-01-20,2021-01-21,open,2021-01-22,2021-01-22,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.02239226682315687,0.012637997115944266,-0.035030263939101136,0.0003,0.0003,0.0005,0.0004,0.0015,-0.02389226682315687,-0.006162216496710227,1.0,1.0,1.0,0.888995478949813,1.060341764401327
2021-01-21,2021-01-22,open,2021-01-25,2021-01-25,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.012864141028192999,0.0003137146893441578,-0.013177855717537157,0.0003,0.0003,0.0005,0.0004,0.0015,-0.014364141028192999,-0.040662910365279914,1.0,1.0,1.0,0.876225822516752,1.060674409188545
2021-01-22,2021-01-25,open,2021-01-26,2021-01-26,0,1,EXECUTED_ON_TIME,open,1,1,0,0.05101512830689625,0.006609845503083633,0.04440528280381262,0.0003,0.0003,0.0005,0.0004,0.0015,0.04951512830689625,0.040555061834076644,1.0,1.0,1.0,0.9196122565444846,1.0676853031623557
2021-01-25,2021-01-26,open,2021-01-27,2021-01-27,0,1,EXECUTED_ON_TIME,open,1,1,0,0.000817012584040544,-0.016984942782430457,0.017801955366471,0.0003,0.0003,0.0005,0.0004,0.0015,-0.000682987415959456,0.00787037812199698,1.0,1.0,1.0,0.9189841729457028,1.0495507293785011
2021-01-26,2021-01-27,open,2021-01-28,2021-01-28,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.018673633118445054,-0.010062350940494902,-0.008611282177950152,0.0003,0.0003,0.0005,0.0004,0.0015,-0.020173633118445056,-0.014173310426194186,1.0,1.0,1.0,0.9004449233990386,1.0389897816096423
2021-01-27,2021-01-28,open,2021-01-29,2021-01-29,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.006991231351620053,-0.006678812631069064,-0.00031241872055098874,0.0,0.0,0.0,0.0,0.0,-0.006991231351620053,-0.012211567901218912,0.0,1.0,0.5,0.8941497046201641,1.0320505635326762
2021-01-28,2021-01-29,open,2021-02-01,2021-02-01,0,1,EXECUTED_ON_TIME,open,1,1,0,0.014616025007856193,-0.010549378939808896,0.025165403947665088,0.0,0.0,0.0,0.0,0.0,0.014616025007856193,0.012794080592420043,0.0,1.0,0.5,0.9072186190636596,1.0211630710529267
2021-01-29,2021-02-01,open,2021-02-02,2021-02-02,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.005733925563532916,0.013599213269579469,-0.019333138833112384,0.0003,0.0003,0.0005,0.0004,0.0015,-0.007233925563532915,0.00668664949080322,1.0,1.0,1.0,0.9006558671035021,1.0350500854391942
2021-02-01,2021-02-02,open,2021-02-03,2021-02-03,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.009069736399739403,0.012817091468907194,-0.021886827868646597,0.0003,0.0003,0.0005,0.0004,0.0015,-0.010569736399739403,0.002899411383476047,1.0,1.0,1.0,0.8911361720013394,1.0483164170591686
2021-02-02,2021-02-03,open,2021-02-04,2021-02-04,0,1,EXECUTED_ON_TIME,open,1,1,0,0.019073331034874963,-0.008241054855021579,0.027314385889896542,0.0003,0.0003,0.0005,0.0004,0.0015,0.01757333103487496,0.026342515232886332,1.0,1.0,1.0,0.9067964029490702,1.0396771839607644
2021-02-03,2021-02-04,open,2021-02-05,2021-02-05,0,1,EXECUTED_ON_TIME,open,1,1,0,0.002021910079621936,0.007467029557885807,-0.005445119478263871,0.0003,0.0003,0.0005,0.0004,0.0015,0.0005219100796219358,-8.737320097629286e-05,1.0,1.0,1.0,0.9072696691319342,1.0474404842240588
2021-02-04,2021-02-05,open,2021-02-08,2021-02-08,0,1,EXECUTED_ON_TIME,open,1,1,0,0.01997427887576042,0.0020821879115897612,0.01789209096417066,0.0,0.0,0.0,0.0,0.0,0.01997427887576042,0.0013287452515771125,0.0,1.0,0.5,0.9253917265186943,1.0496214521384197
2021-02-05,2021-02-08,open,2021-02-09,2021-02-09,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.02448687448401443,0.014170175778249083,-0.038657050262263515,0.0,0.0,0.0,0.0,0.0,-0.02448687448401443,-0.017888991022386058,0.0,1.0,0.5,0.9027317754628856,1.0644947726158422
2021-02-08,2021-02-09,open,2021-02-10,2021-02-10,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.02713414227694677,0.022477666759488812,-0.049611809036435583,0.0003,0.0003,0.0005,0.0004,0.0015,-0.028634142276946772,-0.03178391095737332,1.0,1.0,1.0,0.8768828253663606,1.088422131381919
2021-02-09,2021-02-10,open,2021-02-11,2021-02-11,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.009991912176010476,0.0,-0.009991912176010476,0.0003,0.0003,0.0005,0.0004,0.0015,-0.011491912176010475,-0.006992294123853382,1.0,1.0,1.0,0.8668057649485985,1.088422131381919
2021-02-10,2021-02-11,open,2021-02-12,2021-02-12,0,1,EXECUTED_ON_TIME,open,1,1,0,0.02785279535708729,0.0,0.02785279535708729,0.0003,0.0003,0.0005,0.0004,0.0015,0.02635279535708729,0.029810087222099657,1.0,1.0,1.0,0.8896485198866324,1.088422131381919
2021-02-11,2021-02-12,open,2021-02-15,2021-02-15,0,1,EXECUTED_ON_TIME,open,1,1,0,0.019606360195155936,0.0,0.019606360195155936,0.0003,0.0003,0.0005,0.0004,0.0015,0.018106360195155935,0.0014594035396786609,1.0,1.0,1.0,0.9057568164347871,1.088422131381919
2021-02-12,2021-02-15,open,2021-02-16,2021-02-16,0,1,EXECUTED_ON_TIME,open,1,1,0,0.0041216892693638485,0.0,0.0041216892693638485,0.0003,0.0003,0.0005,0.0004,0.0015,0.0026216892693638485,0.007263766154921636,1.0,1.0,1.0,0.9081314293610873,1.088422131381919
2021-02-15,2021-02-16,open,2021-02-17,2021-02-17,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.015728511874656737,0.0,-0.015728511874656737,0.0003,0.0003,0.0005,0.0004,0.0015,-0.017228511874656738,-0.005455958796595217,1.0,1.0,1.0,0.8924856762465908,1.088422131381919
2021-02-16,2021-02-17,open,2021-02-18,2021-02-18,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.020756946787757302,0.03719768029193915,-0.05795462707969645,0.0003,0.0003,0.0005,0.0004,0.0015,-0.022256946787757304,-0.05915443316374658,1.0,1.0,1.0,0.8726216700415348,1.1289089098477345
2021-02-17,2021-02-18,open,2021-02-19,2021-02-19,0,1,EXECUTED_ON_TIME,open,1,1,0,0.00354732907589006,-0.03175443185331617,0.03530176092920623,0.0,0.0,0.0,0.0,0.0,0.00354732907589006,-0.01356908115074984,0.0,1.0,0.5,0.8757171462639248,1.0930610488013732
2021-02-18,2021-02-19,open,2021-02-22,2021-02-22,0,1,EXECUTED_ON_TIME,open,1,1,0,0.014399516674142854,0.008979914436976877,0.005419602237165977,0.0,0.0,0.0,0.0,0.0,0.014399516674142854,0.013449896989831567,0.0,1.0,0.5,0.888327049913385,1.1028766434940018
2021-02-19,2021-02-22,open,2021-02-23,2021-02-23,0,1,EXECUTED_ON_TIME,open,1,1,0,0.009960642549563747,-0.04197140787933995,0.0519320504289037,0.0003,0.0003,0.0005,0.0004,0.0015,0.008460642549563748,0.03330103933495443,1.0,1.0,1.0,0.8958428675498106,1.0565873580493177
2021-02-22,2021-02-23,open,2021-02-24,2021-02-24,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.022731911066779187,0.008803677063314419,-0.031535588130093606,0.0003,0.0003,0.0005,0.0004,0.0015,-0.024231911066779188,-0.013995091023665474,1.0,1.0,1.0,0.874134882853535,1.0658892119387644
2021-02-23,2021-02-24,open,2021-02-25,2021-02-25,0,1,EXECUTED_ON_TIME,open,1,1,0,0.0030439053278261685,-0.017349431635273693,0.020393336963099862,0.0003,0.0003,0.0005,0.0004,0.0015,0.0015439053278261685,-0.02339054943578489,1.0,1.0,1.0,0.8754844643564113,1.047396639925457
2021-02-24,2021-02-25,open,2021-02-26,2021-02-26,0,1,EXECUTED_ON_TIME,open,1,1,0,0.028824588381335614,-0.027403366038331822,0.056227954419667436,0.0003,0.0003,0.0005,0.0004,0.0015,0.027324588381335613,0.024620088574584864,1.0,1.0,1.0,0.8994067169792043,1.0186944464142609
2021-02-25,2021-02-26,open,2021-03-01,2021-03-01,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.01353393369827982,0.008485556626765645,-0.022019490325045465,0.0,0.0,0.0,0.0,0.0,-0.01353393369827982,-0.0078095493787893044,0.0,1.0,0.5,0.8872342061038202,1.0273386358246808
2021-02-26,2021-03-01,open,2021-03-02,2021-03-02,0,1,EXECUTED_ON_TIME,open,1,1,0,0.022015242731030282,0.011881987289511509,0.010133255441518774,0.0003,0.0003,0.0005,0.0004,0.0015,0.02051524273103028,0.03848125816839354,1.0,1.0,1.0,0.905436031201313,1.0395454604375738
2021-03-01,2021-03-02,open,2021-03-03,2021-03-03,0,1,EXECUTED_ON_TIME,open,1,1,0,0.028080071472806667,-0.02309396996489277,0.051174041437699436,0.0003,0.0003,0.0005,0.0004,0.0015,0.026580071472806666,0.033166313723899776,1.0,1.0,1.0,0.9295025856246982,1.0155382287970878
2021-03-02,2021-03-03,open,2021-03-04,2021-03-04,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.013807686289599608,0.011475130116360033,-0.02528281640595964,0.0003,0.0003,0.0005,0.0004,0.0015,-0.015307686289599607,-0.028475061042201877,1.0,1.0,1.0,0.9152740516385837,1.0271916621106723
2021-03-03,2021-03-04,open,2021-03-05,2021-03-05,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.0035442041775730626,-0.036468361480113454,0.03292415730254039,0.0,0.0,0.0,0.0,0.0,-0.0035442041775730626,0.022610609032596152,0.0,1.0,0.5,0.9120301335211419,0.9897316652674617
2021-03-04,2021-03-05,open,2021-03-08,2021-03-08,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.005616434828320305,0.020766876542044788,-0.026383311370365092,0.0003,0.0003,0.0005,0.0004,0.0015,-0.007116434828320304,0.0002424537210693467,1.0,1.0,1.0,0.9055397305144745,1.0102853005698236
2021-03-05,2021-03-08,open,2021-03-09,2021-03-09,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.025738259873194225,-0.04408400255783684,0.01834574268464262,0.0003,0.0003,0.0005,0.0004,0.0015,-0.027238259873194226,-0.03253219131207319,1.0,1.0,1.0,0.880874404009219,0.9657478807953586
2021-03-08,2021-03-09,open,2021-03-10,2021-03-10,0,1,EXECUTED_ON_TIME,open,1,1,0,0.018780878483175334,-0.003769328020954643,0.022550206504129977,0.0003,0.0003,0.0005,0.0004,0.0015,0.017280878483175333,0.014139652465710695,1.0,1.0,1.0,0.8960966875438418,0.962107660247099
2021-03-09,2021-03-10,open,2021-03-11,2021-03-11,0,1,EXECUTED_ON_TIME,open,1,1,0,0.007471458884033666,-0.004458041802166357,0.011929500686200023,0.0003,0.0003,0.0005,0.0004,0.0015,0.005971458884033666,-0.005697091644385699,1.0,1.0,1.0,0.9014476920696285,0.957818544079533
2021-03-10,2021-03-11,open,2021-03-12,2021-03-12,0,1,EXECUTED_ON_TIME,open,1,1,0,0.007873689902416547,0.025696782543502827,-0.01782309264108628,0.0,0.0,0.0,0.0,0.0,0.007873689902416547,-0.0024836273783790386,0.0,1.0,0.5,0.9085454116602338,0.9824313989228792
2021-03-11,2021-03-12,open,2021-03-15,2021-03-15,0,1,EXECUTED_ON_TIME,open,1,1,0,0.018478624324784976,-0.007286258308150773,0.02576488263293575,0.0003,0.0003,0.0005,0.0004,0.0015,0.016978624324784974,-0.014456335279354526,1.0,1.0,1.0,0.92397126288682,0.9752731499802892
2021-03-12,2021-03-15,open,2021-03-16,2021-03-16,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.005669461416401234,-0.012062649783830426,0.006393188367429192,0.0003,0.0003,0.0005,0.0004,0.0015,-0.007169461416401233,-0.03895268604058355,1.0,1.0,1.0,0.9173468865676895,0.9635087715285039
2021-03-15,2021-03-16,open,2021-03-17,2021-03-17,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.00657533107380226,0.001654397180758549,-0.008229728254560809,0.0003,0.0003,0.0005,0.0004,0.0015,-0.00807533107380226,-0.02539875134683578,1.0,1.0,1.0,0.9099390067491337,0.9651027977237567
2021-03-16,2021-03-17,open,2021-03-18,2021-03-18,0,1,EXECUTED_ON_TIME,open,1,1,0,-0.013290413571015236,0.010234711386314155,-0.02352512495732939,0.0003,0.0003,0.0005,0.0004,0.0015,-0.014790413571015236,-0.010275566590357221,1.0,1.0,1.0,0.8964806325149153,0.9749803463165837
2021-03-17,2021-03-18,open,2021-03-19,2021-03-19,0,1,EXECUTED_ON_TIME,open,1,1,0,0.005539356997587674,-0.009004637129058524,0.014543994126646198,0.0003,0.0003,0.0005,0.0004,0.0015,0.004039356997587675,-0.028171524664214243,1.0,1.0,1.0,0.9001018378310661,0.966201002090039
