factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
KMID,1D,0.0312,1.8845,0.059819,0.425817
KMID,3D,0.0247,1.4987,0.1343,0.425817
KMID,5D,0.0074,0.4325,0.665472,0.768059
KMID,10D,-0.0034,-0.2207,0.825364,0.825364
KMID,20D,-0.0108,-0.68,0.4967,0.733286
KLEN,1D,0.0127,0.768,0.442666,0.733286
KLEN,3D,0.0111,0.6657,0.505763,0.733286
KLEN,5D,0.0104,0.6165,0.537743,0.733286
KLEN,10D,0.0195,1.0822,0.27944,0.6986
KLEN,20D,0.0248,1.4699,0.141939,0.425817
KMID2,1D,0.0315,1.9133,0.056021,0.425817
KMID2,3D,0.0282,1.6799,0.09333,0.425817
KMID2,5D,0.0136,0.8101,0.418094,0.733286
KMID2,10D,0.0051,0.334,0.738476,0.791224
KMID2,20D,0.0071,0.4323,0.665651,0.768059
