fold_id,factor,horizon,train_mean_rank_ic,train_hac_t,train_hac_p,train_global_fdr_p,selected,selected_horizon,train_direction,validation_raw_rank_ic,validation_aligned_rank_ic
1,KMID,1D,0.0482,1.8782,0.061129,0.499675,False,20D,-1,0.0368,-0.0368
1,KMID,3D,0.025,1.0383,0.299805,0.499675,False,20D,-1,0.0309,-0.0309
1,KMID,5D,0.0307,1.3093,0.191246,0.499675,False,20D,-1,-0.0307,0.0307
1,KMID,10D,-0.024,-1.0558,0.291751,0.499675,False,20D,-1,-0.0053,0.0053
1,KMID,20D,-0.0167,-0.6788,0.497676,0.688399,False,20D,-1,-0.1014,0.1014
1,KLEN,1D,-0.0131,-0.5072,0.612315,0.707034,False,20D,1,-0.0484,-0.0484
1,KLEN,3D,0.0128,0.5066,0.612763,0.707034,False,20D,1,-0.0269,-0.0269
1,KLEN,5D,0.0296,1.1247,0.261414,0.499675,False,20D,1,-0.0086,-0.0086
1,KLEN,10D,0.0201,0.6676,0.504826,0.688399,False,20D,1,-0.0097,-0.0097
1,KLEN,20D,0.0333,1.2735,0.203612,0.499675,False,20D,1,-0.0121,-0.0121
1,KMID2,1D,0.0405,1.586,0.113583,0.499675,False,20D,1,0.0319,0.0319
1,KMID2,3D,0.0295,1.2002,0.230826,0.499675,False,20D,1,0.022,0.022
1,KMID2,5D,0.0426,1.8274,0.068433,0.499675,False,20D,1,-0.0217,-0.0217
1,KMID2,10D,-0.0094,-0.4226,0.672799,0.720856,False,20D,1,-0.0162,-0.0162
1,KMID2,20D,0.0081,0.3211,0.748285,0.748285,False,20D,1,-0.0913,-0.0913
2,KMID,1D,0.056,2.1437,0.032699,0.245243,False,20D,-1,0.0203,-0.0203
2,KMID,3D,0.0164,0.6467,0.518243,0.724476,False,20D,-1,0.0539,-0.0539
2,KMID,5D,0.0142,0.5454,0.585819,0.724476,False,20D,-1,0.0461,-0.0461
2,KMID,10D,-0.0201,-0.8023,0.422875,0.724476,False,20D,-1,0.0579,-0.0579
2,KMID,20D,-0.0267,-1.1241,0.2617,0.724476,False,20D,-1,0.1126,-0.1126
2,KLEN,1D,-0.0091,-0.3589,0.719877,0.771297,False,20D,1,0.0247,0.0247
2,KLEN,3D,0.0039,0.1573,0.8751,0.8751,False,20D,1,0.0002,0.0002
2,KLEN,5D,0.018,0.6895,0.490958,0.724476,False,20D,1,0.0202,0.0202
2,KLEN,10D,0.029,0.9787,0.328356,0.724476,False,20D,1,0.0634,0.0634
2,KLEN,20D,0.033,1.2314,0.218947,0.724476,False,20D,1,0.018,0.018
2,KMID2,1D,0.0591,2.3031,0.021814,0.245243,False,20D,-1,0.0389,-0.0389
2,KMID2,3D,0.024,0.9455,0.344995,0.724476,False,20D,-1,0.059,-0.059
2,KMID2,5D,0.0262,1.0253,0.305902,0.724476,False,20D,-1,0.0339,-0.0339
2,KMID2,10D,-0.0126,-0.4851,0.627879,0.724476,False,20D,-1,0.0493,-0.0493
2,KMID2,20D,-0.015,-0.6103,0.542012,0.724476,False,20D,-1,0.116,-0.116
3,KMID,1D,0.0507,1.9328,0.054012,0.215979,False,20D,-1,-0.023,0.023
3,KMID,3D,0.0427,1.5863,0.113503,0.283758,False,20D,-1,0.0432,-0.0432
3,KMID,5D,0.021,0.7286,0.466692,0.77782,False,20D,-1,0.0111,-0.0111
3,KMID,10D,-0.0052,-0.2043,0.838218,0.883214,False,20D,-1,0.0161,-0.0161
3,KMID,20D,-0.0072,-0.2949,0.768209,0.883214,False,20D,-1,0.0183,-0.0183
3,KLEN,1D,0.0047,0.1873,0.851558,0.883214,False,10D,1,0.1042,0.1042
3,KLEN,3D,0.0078,0.3098,0.756858,0.883214,False,10D,1,0.0256,0.0256
3,KLEN,5D,0.0371,1.3641,0.173358,0.371481,False,10D,1,0.0045,0.0045
3,KLEN,10D,0.0668,2.5078,0.012567,0.188505,True,10D,1,0.0035,0.0035
3,KLEN,20D,0.048,1.8042,0.071993,0.215979,False,10D,1,0.0447,0.0447
3,KMID2,1D,0.0566,2.1743,0.0303,0.215979,False,20D,1,-0.021,-0.021
3,KMID2,3D,0.0495,1.8326,0.067646,0.215979,False,20D,1,0.0538,0.0538
3,KMID2,5D,0.0297,1.0709,0.284892,0.534172,False,20D,1,0.0147,0.0147
3,KMID2,10D,-0.0036,-0.147,0.883214,0.883214,False,20D,1,0.0438,0.0438
3,KMID2,20D,0.0091,0.371,0.710867,0.883214,False,20D,1,0.0517,0.0517
