factor_name,mean_turnover,gross_annual_return,net_sharpe,5bps,10bps,20bps,30bps
KMID,0.7486,-0.1952,-1.6545,-0.115906,-0.268012,-0.498432,-0.656514
KLEN,0.744,-0.184,-1.5918,-0.10244,-0.256007,-0.489028,-0.649263
KMID2,0.7285,-0.2363,-2.025,-0.162422,-0.303027,-0.517583,-0.66627
KUP,0.7403,-0.298,-2.7071,-0.228512,-0.359976,-0.5597,-0.697267
KLOW,0.7432,-0.2476,-2.162,-0.17329,-0.314637,-0.529159,-0.676716
KSFT,0.7523,-0.2827,-2.4987,-0.211078,-0.347478,-0.553799,-0.695058
ROC5,0.3431,-0.1451,-1.2102,-0.109221,-0.18305,-0.312921,-0.422215
MAX_RATIO_5,0.4694,-0.2011,-1.6869,-0.147628,-0.242794,-0.402538,-0.528686
MIN_RATIO_5,0.4448,-0.168,-1.4189,-0.124713,-0.217598,-0.374936,-0.500735
MA_RATIO_5,0.4444,-0.1906,-1.614,-0.144886,-0.235562,-0.38918,-0.512025
ROC10,0.2537,-0.098,-0.8175,-0.065303,-0.123216,-0.228536,-0.32125
MAX_RATIO_10,0.3555,-0.1011,-0.8379,-0.064273,-0.144493,-0.284959,-0.402438
MIN_RATIO_10,0.3168,-0.0868,-0.7033,-0.058013,-0.130311,-0.258743,-0.368272
MA_RATIO_10,0.3092,-0.1435,-1.1981,-0.107353,-0.174303,-0.293569,-0.395665
ROC20,0.1777,-0.1385,-1.2002,-0.118801,-0.157405,-0.229633,-0.295691
MAX_RATIO_20,0.2423,-0.0955,-0.7849,-0.07284,-0.127781,-0.228122,-0.316961
MIN_RATIO_20,0.2355,-0.0684,-0.5683,-0.033593,-0.08929,-0.191273,-0.281876
MA_RATIO_20,0.1972,-0.0565,-0.4637,-0.029797,-0.076854,-0.164255,-0.243411
ROC30,0.1446,0.036,0.2853,0.055234,0.017476,-0.05405,-0.120567
MAX_RATIO_30,0.2216,-0.1179,-0.9836,-0.096459,-0.145548,-0.235898,-0.316728
MIN_RATIO_30,0.1964,-0.0518,-0.4206,-0.022766,-0.069975,-0.157686,-0.237155
MA_RATIO_30,0.1834,-0.1028,-0.8717,-0.080168,-0.12174,-0.199353,-0.270133
ROC60,0.0762,-0.0156,-0.1201,-0.006964,-0.025849,-0.062554,-0.097881
MAX_RATIO_60,0.1406,-0.0762,-0.6036,-0.061839,-0.094518,-0.156513,-0.214278
MIN_RATIO_60,0.1242,-0.1311,-1.1098,-0.1121,-0.139483,-0.191753,-0.240859
MA_RATIO_60,0.1256,-0.118,-0.9775,-0.102038,-0.13003,-0.183432,-0.233568
ROC120,0.0719,-0.0876,-0.7122,-0.078445,-0.094995,-0.127212,-0.158287
MAX_RATIO_120,0.1096,-0.1085,-0.8757,-0.097825,-0.122415,-0.169609,-0.214274
MIN_RATIO_120,0.0916,-0.083,-0.6934,-0.068119,-0.089383,-0.130471,-0.169713
MA_RATIO_120,0.0723,-0.13,-1.1054,-0.122304,-0.138152,-0.168997,-0.198743
ROC250,0.0477,-0.0711,-0.5802,-0.06416,-0.075335,-0.097287,-0.11872
MAX_RATIO_250,0.0576,-0.1453,-1.2268,-0.137789,-0.150215,-0.174535,-0.198162
MIN_RATIO_250,0.0618,-0.0411,-0.325,-0.029444,-0.04445,-0.073772,-0.102198
MA_RATIO_250,0.047,-0.0739,-0.5987,-0.067309,-0.078287,-0.099858,-0.120926
STD5,0.3756,-0.1609,-1.3307,-0.120577,-0.200044,-0.338156,-0.452501
STD10,0.2403,-0.0781,-0.6236,-0.050894,-0.106689,-0.208667,-0.299044
STD20,0.1703,0.0252,0.1889,0.048906,0.004845,-0.077821,-0.153711
STD30,0.1412,-0.0042,-0.0322,0.014727,-0.020746,-0.088029,-0.150706
STD60,0.0828,0.0563,0.4185,0.068281,0.046217,0.003441,-0.037593
STD120,0.0788,0.0155,0.118,0.024992,0.004846,-0.03427,-0.071869
STD250,0.0197,0.0133,0.1001,0.014697,0.009665,-0.000323,-0.010213
ATR_RATIO_5,0.3557,-0.1032,-0.8489,-0.060136,-0.14075,-0.281897,-0.399935
ATR_RATIO_20,0.1723,-0.0981,-0.7879,-0.079417,-0.118543,-0.191895,-0.259165
ATR_RATIO_60,0.1268,-0.0545,-0.4373,-0.037847,-0.068116,-0.125839,-0.18
ROC_STD_20,0.1775,-0.1356,-1.1837,-0.116624,-0.155296,-0.227652,-0.293834
ROC_STD_60,0.0758,-0.0121,-0.0938,-0.002123,-0.020998,-0.057688,-0.093008
ROC_STD_120,0.0706,-0.0946,-0.7693,-0.08544,-0.101575,-0.132997,-0.163325
ROC_STD_250,0.0508,-0.073,-0.5893,-0.065803,-0.077685,-0.101,-0.123727
MOM_ACC_20_60,0.0387,-0.0561,-0.4425,-0.050787,-0.06,-0.078159,-0.095969
MOM_ACC_60_120,0.0183,0.0649,0.4832,0.067792,0.062872,0.053099,0.043417
VMA_RATIO_5,0.7684,-0.2678,-2.3457,-0.190823,-0.333438,-0.547895,-0.693537
VSTD_5,0.3443,-0.0432,-0.3363,-0.000779,-0.083839,-0.229888,-0.352732
VMA_RATIO_10,0.75,-0.2684,-2.3504,-0.195429,-0.334143,-0.544143,-0.68809
VSTD_10,0.2231,-0.1521,-1.2534,-0.126456,-0.174244,-0.262146,-0.340725
VMA_RATIO_20,0.7459,-0.277,-2.4278,-0.204242,-0.340763,-0.54775,-0.689922
VSTD_20,0.1372,-0.1147,-0.9161,-0.099292,-0.129916,-0.188086,-0.242382
VMA_RATIO_60,0.7551,-0.2287,-1.9583,-0.150973,-0.298234,-0.520767,-0.672923
VSTD_60,0.074,-0.1294,-1.0839,-0.120103,-0.136361,-0.167983,-0.198452
CORR_PV_5,0.4641,-0.1474,-1.2326,-0.094501,-0.194507,-0.362709,-0.495897
WVMA_5,0.3385,-0.0817,-0.6553,-0.043766,-0.121968,-0.259773,-0.376022
CORR_PV_10,0.346,-0.0072,-0.0551,0.039033,-0.047733,-0.200204,-0.328344
WVMA_10,0.2342,-0.1154,-0.957,-0.089581,-0.141785,-0.237417,-0.32243
CORR_PV_20,0.2367,-0.0865,-0.6671,-0.059979,-0.114434,-0.214097,-0.302583
WVMA_20,0.1617,-0.0233,-0.1776,-0.003451,-0.043258,-0.118182,-0.18726
TURNOVER_SURGE_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNOVER_SURGE_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNOVER_STD_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOUNT_RATIO_5_20,0.3414,-0.0028,-0.021,0.041817,-0.044062,-0.195237,-0.322584
LIMIT_UP_SPACE,0.7508,-0.2174,-1.8189,-0.140102,-0.288467,-0.513027,-0.666906
IS_LIMIT_UP_LAG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IS_LIMIT_DOWN_LAG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPPER_SHADOW_RATIO,0.7314,-0.2811,-2.4489,-0.209813,-0.342981,-0.545957,-0.686397
LOWER_SHADOW_RATIO,0.7383,-0.2876,-2.5132,-0.217764,-0.350724,-0.55287,-0.692251
ENTITY_RATIO,0.7276,-0.3154,-2.8765,-0.250619,-0.376331,-0.5682,-0.701202
INTRADAY_CLOSE_LOC,0.7523,-0.2994,-2.611,-0.229405,-0.362647,-0.564186,-0.702167
LOG_CIRC_MV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFFICIENCY_RATIO_10,0.4184,-0.0982,-0.8115,-0.058242,-0.152526,-0.313812,-0.444501
AMIHUD_20,0.1162,-0.0492,-0.3813,-0.036024,-0.063839,-0.117093,-0.167329
AMIHUD_20_LN,0.1162,-0.0492,-0.3813,-0.036024,-0.063839,-0.117093,-0.167329
