factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
KMID,3D,6.1,0.0085,0.0273,0.0203,0.0157,0.0017
KLEN,10D,,0.0014,-0.0067,-0.0165,0.0175,0.0084
KMID2,3D,,0.0158,0.039,0.0289,0.0207,0.0181
KUP,20D,,0.006,0.0063,0.0047,0.0062,-0.0122
KLOW,10D,,-0.0011,0.0041,-0.0208,0.0237,0.0165
KSFT,20D,,0.0122,0.0044,-0.0058,0.013,0.0273
ROC5,10D,11.6,0.0033,0.014,0.0114,0.0201,0.0018
MAX_RATIO_5,20D,,-0.0036,0.0059,0.0093,0.01,0.0225
MIN_RATIO_5,10D,21.8,0.0042,-0.0064,0.0028,0.0183,0.0019
MA_RATIO_5,20D,,0.0001,0.0147,0.015,0.021,0.0235
ROC10,20D,,0.0025,0.0044,0.0093,-0.0091,0.013
MAX_RATIO_10,5D,10.6,-0.0114,-0.0045,-0.0214,-0.0047,-0.0031
MIN_RATIO_10,10D,,0.002,-0.0031,0.0037,0.0045,-0.0016
MA_RATIO_10,5D,7.9,-0.0095,-0.011,-0.0124,-0.0031,-0.0025
ROC20,20D,,-0.0174,0.011,0.0075,0.0241,0.079
MAX_RATIO_20,20D,,0.0047,-0.0142,-0.0075,-0.0059,-0.0498
MIN_RATIO_20,20D,,-0.0002,0.0012,0.013,0.0156,-0.0211
MA_RATIO_20,20D,,-0.0062,-0.0069,0.0036,0.0138,-0.0278
ROC30,5D,,0.0202,0.0335,0.0473,0.0403,0.044
MAX_RATIO_30,20D,,-0.0051,-0.0268,-0.0311,-0.0421,-0.068
MIN_RATIO_30,10D,,-0.0155,-0.0096,0.0086,0.0171,-0.0136
MA_RATIO_30,20D,,-0.0111,-0.0113,-0.008,-0.0151,-0.0495
ROC60,3D,,0.0251,0.0339,0.01,0.0292,0.0271
MAX_RATIO_60,20D,,-0.0226,-0.0184,-0.0126,-0.0173,-0.0573
MIN_RATIO_60,20D,,-0.0165,-0.0281,-0.0168,-0.0344,-0.043
MA_RATIO_60,20D,,-0.0161,-0.0254,-0.0271,-0.0354,-0.0596
ROC120,20D,,0.0075,0.0092,0.0106,0.0169,0.0279
MAX_RATIO_120,20D,,0.0003,-0.0035,0.0025,-0.0141,-0.0248
MIN_RATIO_120,20D,,-0.0164,-0.0343,-0.0149,-0.0272,-0.048
MA_RATIO_120,20D,,-0.0177,-0.0197,-0.0098,-0.024,-0.0402
