factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
KMID,1D,0.0312,1.8845,0.059819,0.908789
KMID,3D,0.0247,1.4987,0.1343,1.0
KMID,5D,0.0074,0.4325,0.665472,1.0
KMID,10D,-0.0034,-0.2207,0.825364,1.0
KMID,20D,-0.0108,-0.68,0.4967,1.0
KLEN,1D,0.0127,0.768,0.442666,1.0
KLEN,3D,0.0111,0.6657,0.505763,1.0
KLEN,5D,0.0104,0.6165,0.537743,1.0
KLEN,10D,0.0195,1.0822,0.27944,1.0
KLEN,20D,0.0248,1.4699,0.141939,1.0
KMID2,1D,0.0315,1.9133,0.056021,0.908789
KMID2,3D,0.0282,1.6799,0.09333,1.0
KMID2,5D,0.0136,0.8101,0.418094,1.0
KMID2,10D,0.0051,0.334,0.738476,1.0
KMID2,20D,0.0071,0.4323,0.665651,1.0
KUP,1D,0.0143,0.8388,0.401781,1.0
KUP,3D,0.0004,0.0221,0.982362,1.0
KUP,5D,0.0035,0.2216,0.824698,1.0
KUP,10D,-0.0125,-0.7665,0.443607,1.0
KUP,20D,-0.0131,-0.7937,0.427565,1.0
KLOW,1D,0.0032,0.1944,0.845889,1.0
KLOW,3D,0.0057,0.3432,0.731557,1.0
KLOW,5D,0.0062,0.3869,0.698915,1.0
KLOW,10D,0.0247,1.517,0.129607,1.0
KLOW,20D,0.0354,2.1093,0.035201,0.829539
KSFT,1D,-0.0083,-0.4961,0.619936,1.0
KSFT,3D,0.0143,0.8614,0.389256,1.0
KSFT,5D,0.0117,0.7289,0.466276,1.0
KSFT,10D,0.0106,0.6805,0.496361,1.0
KSFT,20D,0.039,2.5235,0.011791,0.811804
ROC5,1D,0.0011,0.0675,0.946219,1.0
ROC5,3D,0.0034,0.1619,0.871422,1.0
ROC5,5D,0.0014,0.0583,0.953549,1.0
ROC5,10D,0.017,0.5428,0.587429,1.0
ROC5,20D,0.0076,0.2195,0.826343,1.0
MAX_RATIO_5,1D,-0.0022,-0.135,0.892681,1.0
MAX_RATIO_5,3D,0.0112,0.5498,0.582563,1.0
MAX_RATIO_5,5D,0.0177,0.7901,0.429698,1.0
MAX_RATIO_5,10D,0.0015,0.057,0.954557,1.0
MAX_RATIO_5,20D,0.016,0.5357,0.592303,1.0
MIN_RATIO_5,1D,0.0044,0.2676,0.789077,1.0
MIN_RATIO_5,3D,0.0041,0.2071,0.835981,1.0
MIN_RATIO_5,5D,0.0123,0.5797,0.562244,1.0
MIN_RATIO_5,10D,0.0219,0.8571,0.391634,1.0
MIN_RATIO_5,20D,0.0002,0.007,0.994381,1.0
MA_RATIO_5,1D,0.0013,0.0782,0.937686,1.0
MA_RATIO_5,3D,0.0179,0.8933,0.371925,1.0
MA_RATIO_5,5D,0.0235,1.0626,0.288266,1.0
MA_RATIO_5,10D,0.0163,0.6182,0.536613,1.0
MA_RATIO_5,20D,0.0178,0.5802,0.561961,1.0
ROC10,1D,0.003,0.1829,0.854925,1.0
ROC10,3D,0.0015,0.0735,0.941392,1.0
ROC10,5D,0.0019,0.0701,0.944132,1.0
ROC10,10D,-0.0184,-0.5324,0.594578,1.0
ROC10,20D,0.0195,0.4839,0.628557,1.0
MAX_RATIO_10,1D,0.0052,0.3055,0.760058,1.0
MAX_RATIO_10,3D,-0.0063,-0.3004,0.763931,1.0
