factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
LOG_CIRC_MV,-0.0507,0.1682,-0.3016,-1.0705,0.3739,-10.2977,-2.8405,0.0,0.004582,0.109528
MOM_ACC_20_60,-0.0169,0.1613,-0.1049,-0.3724,0.4726,-3.5824,-1.0129,0.000355,0.311322,0.021847
TURNOVER_STD_20,-0.0092,0.17,-0.0538,-0.1911,0.4691,-1.8387,-0.4971,0.06621,0.619182,0.019927
MA_RATIO_60,0.0096,0.1679,0.0573,0.2032,0.5086,1.955,0.5636,0.050819,0.573135,0.039933
VSTD_20,-0.0147,0.081,-0.1811,-0.643,0.4262,-6.1856,-1.9903,0.0,0.046792,0.021847
CORR_PV_20,-0.0179,0.1059,-0.1686,-0.5984,0.4391,-5.756,-1.742,0.0,0.081773,0.058279
STD30,0.0091,0.2073,0.0441,0.1566,0.5069,1.5062,0.4122,0.132275,0.680242,0.069653
ROC30,-0.0061,0.161,-0.0378,-0.1341,0.4794,-1.2898,-0.3818,0.197388,0.702675,0.041525
STD60,0.0092,0.2129,0.0433,0.1536,0.5137,1.478,0.4026,0.139668,0.687312,0.089453
CORR_PV_10,-0.0141,0.0996,-0.1416,-0.5025,0.4666,-4.8339,-1.549,2e-06,0.121663,0.04843
MIN_RATIO_60,-0.0059,0.1794,-0.033,-0.1172,0.4974,-1.127,-0.3101,0.259968,0.756558,0.04843
ATR_RATIO_20,0.0132,0.2088,0.0634,0.2251,0.5274,2.1655,0.5915,0.03055,0.554322,0.095747
WVMA_20,0.0118,0.1734,0.0682,0.2421,0.5343,2.3289,0.6463,0.020037,0.518229,0.073457
EFFICIENCY_RATIO_10,0.02,0.0865,0.2315,0.8219,0.5909,7.9065,4.0622,0.0,5.2e-05,0.003855
STD20,0.0123,0.1994,0.0615,0.2182,0.5154,2.0994,0.5742,0.035992,0.565944,0.098218
STD120,0.0102,0.2144,0.0475,0.1686,0.5137,1.6221,0.4386,0.105053,0.661016,0.130094
ROC60,-0.0068,0.1709,-0.04,-0.1421,0.518,-1.3671,-0.3911,0.171857,0.695788,0.092806
MIN_RATIO_120,-0.01,0.1899,-0.0525,-0.1865,0.464,-1.794,-0.4936,0.073068,0.62165,0.126943
ATR_RATIO_60,0.0118,0.2012,0.0586,0.2079,0.5154,1.9998,0.551,0.045759,0.581724,0.129953
