factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
LOG_CIRC_MV,-0.0382,0.1829,-0.2088,-0.7412,0.4255,-7.1579,-1.9832,0.0,0.047576,0.111183,-1
TURNOVER_STD_20,-0.0457,0.1453,-0.3146,-1.1165,0.4043,-10.7823,-2.9996,0.0,0.002761,0.015019,-1
VSTD_20,-0.0209,0.0786,-0.266,-0.9443,0.3847,-9.1194,-3.026,0.0,0.002532,0.014096,-1
MOM_ACC_20_60,-0.0401,0.1457,-0.2755,-0.9779,0.3889,-9.443,-2.7656,0.0,0.005771,0.025583,-1
MA_RATIO_60,0.0379,0.1496,0.253,0.8981,0.5787,8.673,2.5757,0.0,0.010126,0.041468,1
CORR_PV_10,-0.0266,0.1067,-0.2492,-0.8845,0.4077,-8.5417,-2.6324,0.0,0.008588,0.036827,-1
CORR_PV_20,-0.0278,0.112,-0.2481,-0.8807,0.4026,-8.5045,-2.4945,0.0,0.012752,0.0481,-1
ROC30,-0.035,0.1438,-0.2435,-0.8645,0.4162,-8.3479,-2.5894,0.0,0.009734,0.040246,-1
STD30,-0.0443,0.1787,-0.248,-0.8803,0.3957,-8.501,-2.3558,0.0,0.018646,0.063633,-1
STD60,-0.0441,0.1881,-0.2342,-0.8312,0.4017,-8.0269,-2.2293,0.0,0.025986,0.079814,-1
ATR_RATIO_20,-0.0414,0.1788,-0.2314,-0.8215,0.4102,-7.9327,-2.2106,0.0,0.027253,0.082479,-1
MIN_RATIO_60,0.0382,0.1492,0.2559,0.9083,0.5847,8.771,2.5124,0.0,0.012126,0.046975,1
WVMA_20,-0.0346,0.1455,-0.2379,-0.8446,0.4026,-8.1564,-2.3082,0.0,0.021162,0.067153,-1
ALPHA_IDIO_VOL_PENALTY,0.0383,0.1681,0.228,0.8093,0.5991,7.8156,2.1844,0.0,0.029128,0.084911,1
ALPHA_MONEY_FLOW_DIV_10,-0.0199,0.0985,-0.2022,-0.7177,0.4255,-6.9304,-1.8725,0.0,0.061382,0.131315,-1
