factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
LOG_CIRC_MV,0.0395,-0.0395,0.772,1.0,0.8333,3.4255,0.0177,0.0,1.0,0.0,-1,1.488
MOM_ACC_20_60,0.0418,-0.0418,1.0167,0.3,1.0,2.3561,0.0401,0.0038,0.9962,1.0,-1,1.0897
TURNOVER_STD_20,0.0455,-0.0455,1.104,0.1,0.8333,1.232,0.0556,0.0011,0.9989,0.0,-1,0.9158
MA_RATIO_60,0.0384,0.0384,0.908,0.3,1.0,2.2413,0.1166,0.0038,0.9962,1.0,1,0.9119
VSTD_20,0.0194,-0.0194,0.8897,0.9,1.0,1.8716,0.1403,0.0011,0.9989,0.0,-1,0.8944
CORR_PV_20,0.027,-0.027,0.8515,0.6,0.8333,2.1434,0.141,0.0,1.0,0.0,-1,0.7968
STD30,0.0443,-0.0443,0.8735,0.2,0.8333,1.7909,0.053,0.0018,0.9982,1.0,-1,0.7903
ROC30,0.035,-0.035,0.8622,0.3,1.0,2.0256,0.1446,0.0018,0.9982,1.0,-1,0.7864
STD60,0.0441,-0.0441,0.8244,0.2,0.8333,2.0014,0.0304,0.0038,0.9962,1.0,-1,0.7762
CORR_PV_10,0.0255,-0.0255,0.8419,0.5,0.8333,2.164,0.249,0.0,1.0,0.0,-1,0.6833
MIN_RATIO_60,0.0385,0.0385,0.9092,0.2,0.8333,1.6104,0.1324,0.0038,0.9962,1.0,1,0.6225
ATR_RATIO_20,0.0408,-0.0408,0.8052,0.1,0.8333,1.6921,0.0487,0.0012,0.9988,1.0,-1,0.6046
WVMA_20,0.0348,-0.0348,0.8439,0.3,0.8333,1.7125,0.0941,0.0023,0.9977,1.0,-1,0.5991
EFFICIENCY_RATIO_10,0.0172,0.0172,0.6955,0.9,0.8333,2.01,0.3378,0.0006,0.9994,0.0,1,0.5895
STD20,0.0387,-0.0387,0.7983,0.1,0.8333,1.8048,0.0745,0.0012,0.9988,1.0,-1,0.5698
STD120,0.0406,-0.0406,0.7306,0.1,0.8333,1.9742,0.0188,0.0082,0.9918,1.0,-1,0.5392
ROC60,0.0327,-0.0327,0.7627,0.0,1.0,2.1475,0.1056,0.0038,0.9962,1.0,-1,0.5125
MIN_RATIO_120,0.0317,0.0317,0.704,0.6,0.8333,1.3421,0.0915,0.0082,0.9918,1.0,1,0.4922
ATR_RATIO_60,0.0374,-0.0374,0.7153,0.1,0.8333,1.8057,0.0306,0.0038,0.9962,1.0,-1,0.4726
STD5,0.0277,-0.0277,0.7146,0.6,0.8333,1.3561,0.2568,0.0003,0.9997,1.0,-1,0.4599
STD250,0.0402,-0.0402,0.6947,0.1,0.8333,2.1543,0.0121,0.0189,0.9811,1.0,-1,0.4358
ATR_RATIO_5,0.0358,-0.0358,0.7785,0.1,0.8333,1.436,0.1381,0.0003,0.9997,1.0,-1,0.4269
STD10,0.0342,-0.0342,0.7701,0.1,0.8333,1.4459,0.1367,0.0006,0.9994,1.0,-1,0.3866
MA_RATIO_120,0.0338,0.0338,0.7465,0.0,0.8333,1.8515,0.0831,0.0082,0.9918,1.0,1,0.3133
MIN_RATIO_30,0.0314,0.0314,0.7908,0.0,0.8333,1.666,0.1895,0.0018,0.9982,1.0,1,0.2993
WVMA_5,0.0249,-0.0249,0.6908,0.5,0.8333,1.1959,0.2633,0.0005,0.9995,1.0,-1,0.2969
MA_RATIO_30,0.0234,0.0234,0.592,0.1,1.0,2.1258,0.1615,0.0018,0.9982,1.0,1,0.2663
WVMA_10,0.0298,-0.0298,0.7685,0.1,0.8333,1.3292,0.1588,0.0011,0.9989,1.0,-1,0.2622
KLEN,0.0271,-0.0271,0.7045,0.6,0.8333,0.5437,0.4808,0.0,1.0,1.0,-1,0.2562
CORR_PV_5,0.0186,-0.0186,0.7232,0.2,1.0,1.432,0.4149,0.0,1.0,0.0,-1,0.2502
VSTD_10,0.0134,-0.0134,0.6451,0.7,0.6667,1.9176,0.235,0.0005,0.9995,0.0,-1,0.2463
ROC120,0.0258,-0.0258,0.5695,0.3,0.8333,2.0332,0.0769,0.0082,0.9918,1.0,-1,0.2331
ROC20,0.0227,-0.0227,0.5707,0.0,1.0,2.1563,0.1732,0.0012,0.9988,1.0,-1,0.1896
MIN_RATIO_20,0.0237,0.0237,0.6368,0.2,0.8333,1.4596,0.231,0.0011,0.9989,1.0,1,0.1127
