factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
KMID,-0.0036,0.8333,VALID,-0.009,-0.0162,0.005,-0.0106,-0.0046,0.0015,-0.003,-0.0077,-0.0019
KLEN,-0.0271,0.8333,VALID,-0.0223,-0.0011,-0.0424,-0.0688,-0.021,-0.0675,-0.0385,0.0237,-0.0172
KMID2,0.0,0.5,VALID,-0.0026,-0.0134,0.008,-0.0058,-0.0025,0.0041,0.0029,-0.003,0.0003
KUP,-0.0146,0.8333,VALID,-0.0127,0.0012,-0.0234,-0.0474,-0.0235,-0.0362,-0.0135,0.0225,-0.013
KLOW,-0.0141,0.8333,VALID,-0.0078,-0.012,-0.0179,-0.0396,-0.02,-0.0325,-0.0117,0.008,-0.0025
KSFT,-0.0026,0.8333,VALID,-0.0052,-0.022,0.0083,-0.0,-0.0019,0.0088,-0.0006,-0.0167,-0.0038
ROC5,-0.0066,0.6667,VALID,-0.0048,-0.0313,0.0051,-0.0267,-0.0153,0.0064,-0.0134,-0.0046,0.0035
MAX_RATIO_5,-0.011,0.6667,VALID,-0.0105,0.0215,-0.0276,-0.0068,0.0042,-0.0376,-0.0141,0.0084,-0.0218
MIN_RATIO_5,0.0127,0.8333,VALID,0.0115,0.0172,0.0111,0.0478,0.0016,0.0272,0.0215,-0.0025,0.0022
MA_RATIO_5,0.0037,0.6667,VALID,0.0052,0.024,-0.0073,0.0221,0.0084,-0.0061,0.0093,0.0066,-0.0115
ROC10,-0.0129,0.8333,VALID,0.0128,-0.0521,-0.0042,-0.03,-0.0265,-0.0013,-0.0222,-0.0056,0.0028
MAX_RATIO_10,-0.0106,0.6667,VALID,-0.0155,0.035,-0.0315,-0.0099,0.0122,-0.0464,-0.0071,0.0081,-0.0278
MIN_RATIO_10,0.016,0.8333,VALID,0.0052,0.0258,0.0158,0.0467,0.0084,0.0352,0.0254,-0.0096,0.0102
MA_RATIO_10,0.0071,0.6667,VALID,0.0004,0.0398,-0.0066,0.0259,0.0181,-0.0058,0.0171,0.0041,-0.0112
ROC20,-0.0227,1.0,VALID,0.0089,-0.0668,-0.0142,-0.0732,-0.0441,-0.0033,-0.02,-0.0146,-0.0152
MAX_RATIO_20,-0.0079,0.5,VALID,-0.0322,0.05,-0.0267,-0.0093,0.02,-0.0535,0.0032,0.0067,-0.0219
MIN_RATIO_20,0.0237,0.8333,VALID,0.0008,0.0359,0.0275,0.0761,0.0218,0.0378,0.0328,-0.0101,0.0218
MA_RATIO_20,0.0153,1.0,VALID,-0.0102,0.0575,0.0051,0.0452,0.0324,0.0005,0.0204,0.0083,0.0009
ROC30,-0.035,1.0,VALID,0.0028,-0.0778,-0.0297,-0.1061,-0.0642,-0.009,-0.0252,-0.022,-0.0368
MAX_RATIO_30,-0.0024,0.3333,VALID,-0.0302,0.0564,-0.0201,0.0185,0.0253,-0.0526,0.0069,0.0103,-0.0117
MIN_RATIO_30,0.0314,0.8333,VALID,0.0032,0.0438,0.0375,0.0946,0.0362,0.0413,0.0337,-0.0056,0.038
MA_RATIO_30,0.0234,1.0,VALID,-0.009,0.0689,0.0146,0.0718,0.0468,0.0043,0.0223,0.0132,0.0137
ROC60,-0.0327,1.0,VALID,0.0158,-0.0715,-0.0342,-0.0792,-0.052,-0.0034,-0.0395,-0.0176,-0.0437
MAX_RATIO_60,0.0076,0.6667,VALID,-0.029,0.0675,-0.0068,0.066,0.0295,-0.0335,0.0007,0.0269,-0.0078
MIN_RATIO_60,0.0385,0.8333,VALID,0.0009,0.0529,0.0477,0.1146,0.0377,0.0423,0.0478,-0.0,0.0508
MA_RATIO_60,0.0384,1.0,VALID,-0.008,0.0836,0.0357,0.1304,0.0603,0.0091,0.0291,0.0304,0.0395
ROC120,-0.0258,0.8333,VALID,-0.0043,-0.0397,-0.0282,-0.1076,-0.057,0.0153,-0.0376,-0.0057,-0.0203
MAX_RATIO_120,-0.0022,0.5,VALID,-0.0551,0.0628,-0.0121,0.0289,0.0377,-0.0483,-0.0044,0.0178,-0.0379
