factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
LOG_CIRC_MV,USEFUL,USEFUL,1.3412,-1,20D,-0.0382,0.1829,-0.2088,-0.7412,-7.1579,-1.9832,0.0,0.047576,0.111183,0.4255,-0.0496,0.169,-0.2935,-1.042,0.3787,-10.0621,-2.7899,0.0,0.005358,0.111183,-1.0,0.2826,0.001173,0.001127,1.0529,-0.2892,0.5163,0.28,1.735,0.0303,0.2574,1.2108,1.0,0.5151,0.8333,VALID,-0.0639,-0.0598,-0.0157,0.816,0.184,0
TURNOVER_STD_20,STRONG,IN_SAMPLE_STRONG,1.0801,-1,20D,-0.0457,0.1453,-0.3146,-1.1165,-10.7823,-2.9996,0.0,0.002761,0.015019,0.4043,-0.0101,0.1685,-0.0598,-0.2122,0.4732,-2.0494,-0.5559,0.040641,0.578394,0.015019,0.1,0.1176,0.000666,0.000549,0.5829,-0.2983,0.505,0.1144,1.1798,0.078,-0.0286,-0.1657,1.0,0.539,0.8333,VALID,-0.0329,-0.0149,-0.0673,0.8044,0.1956,0
VSTD_20,USEFUL,USEFUL,1.0001,-1,20D,-0.0209,0.0786,-0.266,-0.9443,-9.1194,-3.026,0.0,0.002532,0.014096,0.3847,-0.0164,0.082,-0.1994,-0.7078,0.4187,-6.8352,-2.2065,0.0,0.02754,0.014096,-1.0,0.105,0.000772,0.000537,0.4987,-0.375,0.5063,0.0941,1.1831,0.1565,0.0416,0.2859,1.0,0.5782,1.0,VALID,-0.012,-0.0203,-0.0252,0.8044,0.1956,0
MOM_ACC_20_60,USEFUL,USEFUL,0.9852,-1,20D,-0.0401,0.1457,-0.2755,-0.9779,-9.443,-2.7656,0.0,0.005771,0.025583,0.3889,-0.0158,0.1613,-0.0978,-0.3472,0.4834,-3.3533,-0.9446,0.000824,0.345032,0.025583,-0.3,0.1684,0.00085,0.000758,0.7095,-0.2632,0.5092,0.1775,1.3907,0.0611,0.0359,0.1792,1.0,0.5306,1.0,VALID,0.0061,-0.0765,-0.0415,0.78,0.22,12
MA_RATIO_60,USEFUL,USEFUL,0.8893,1,20D,0.0379,0.1496,0.253,0.8981,8.673,2.5757,0.0,0.010126,0.041468,0.5787,0.0094,0.1683,0.0557,0.1979,0.503,1.911,0.5482,0.05625,0.583674,0.041468,0.3,0.1895,0.001034,0.000828,0.7744,-0.2991,0.5046,0.1875,1.624,0.1374,0.0571,0.2733,1.0,0.5687,1.0,VALID,-0.0062,0.0839,0.0332,0.78,0.22,10
CORR_PV_10,USEFUL,USEFUL,0.8733,-1,20D,-0.0266,0.1067,-0.2492,-0.8845,-8.5417,-2.6324,0.0,0.008588,0.036827,0.4077,-0.0154,0.0991,-0.155,-0.5501,0.4604,-5.312,-1.6994,0.0,0.089503,0.036827,-0.8,0.1115,0.000946,0.000536,0.5487,-0.3109,0.5054,0.1219,1.8444,0.2735,0.088,0.6501,1.0,0.6368,0.8333,VALID,-0.0083,-0.0215,-0.0373,0.816,0.184,0
CORR_PV_20,USEFUL,USEFUL,0.8283,-1,20D,-0.0278,0.112,-0.2481,-0.8807,-8.5045,-2.4945,0.0,0.012752,0.0481,0.4026,-0.0188,0.1051,-0.1794,-0.6366,0.4255,-6.148,-1.8646,0.0,0.062493,0.0481,-0.6,0.1283,0.000846,0.000598,0.607,-0.3017,0.5063,0.1299,1.5583,0.1656,0.0571,0.4247,1.0,0.5828,0.8333,VALID,-0.0064,-0.02,-0.0412,0.816,0.184,0
ROC30,REJECT,REJECT,0.7872,-1,20D,-0.035,0.1438,-0.2435,-0.8645,-8.3479,-2.5894,0.0,0.009734,0.040246,0.4162,-0.0068,0.1615,-0.0419,-0.1487,0.4791,-1.4359,-0.422,0.151308,0.673123,0.040246,-0.3,0.1389,0.000908,0.000664,0.6042,-0.3063,0.5075,0.1646,1.5848,0.1629,0.0322,0.1569,1.0,0.5814,1.0,VALID,0.0011,-0.0794,-0.0278,0.7977,0.2023,10
STD30,USEFUL,USEFUL,0.7614,-1,20D,-0.0443,0.1787,-0.248,-0.8803,-8.501,-2.3558,0.0,0.018646,0.063633,0.3957,0.0092,0.2069,0.0446,0.1584,0.5013,1.5299,0.4199,0.126312,0.674623,0.063633,0.2,0.0456,0.000373,0.000254,0.32,-0.256,0.5063,0.0362,0.619,0.0799,-0.1558,-0.7942,1.0,0.54,0.8333,VALID,-0.0396,0.0047,-0.0719,0.7977,0.2023,2
STD60,USEFUL,USEFUL,0.7518,-1,20D,-0.0441,0.1881,-0.2342,-0.8312,-8.0269,-2.2293,0.0,0.025986,0.079814,0.4017,0.0096,0.2118,0.0454,0.161,0.5166,1.5547,0.4254,0.120294,0.670618,0.079814,0.2,0.0901,0.000508,0.00042,0.5246,-0.2575,0.5029,0.0714,0.82,0.0583,-0.1152,-0.5679,1.0,0.5291,0.8333,VALID,-0.0405,0.0056,-0.0714,0.7794,0.2206,17
ATR_RATIO_20,REJECT,REJECT,0.6529,-1,20D,-0.0414,0.1788,-0.2314,-0.8215,-7.9327,-2.2106,0.0,0.027253,0.082479,0.4102,0.0127,0.2081,0.0611,0.2171,0.5217,2.0961,0.5745,0.036291,0.565735,0.082479,0.1,0.0691,0.000455,0.000344,0.4289,-0.2147,0.4979,0.0438,0.6269,0.0741,-0.1328,-0.6577,1.0,0.5371,0.8333,VALID,-0.0397,0.0012,-0.0642,0.8038,0.1962,2
MIN_RATIO_60,USEFUL,USEFUL,0.6282,1,20D,0.0382,0.1492,0.2559,0.9083,8.771,2.5124,0.0,0.012126,0.046975,0.5847,-0.0063,0.1784,-0.0352,-0.1248,0.4868,-1.2056,-0.331,0.228222,0.740691,0.046975,-0.1,0.0248,0.000413,0.000193,0.2189,-0.402,0.5029,0.0239,0.7416,0.1467,-0.0917,-0.4952,1.0,0.5734,1.0,VALID,0.0027,0.0541,0.0455,0.78,0.22,11
WVMA_20,USEFUL,USEFUL,0.6094,-1,20D,-0.0346,0.1455,-0.2379,-0.8446,-8.1564,-2.3082,0.0,0.021162,0.067153,0.4026,0.0119,0.1726,0.0691,0.2452,0.5285,2.3681,0.659,0.018041,0.509997,0.067153,0.3,0.0816,0.000575,0.0004,0.4691,-0.2545,0.5071,0.0514,0.8648,0.1171,-0.0923,-0.5255,1.0,0.5585,0.8333,VALID,-0.0305,0.0024,-0.0557,0.7928,0.2072,20
ALPHA_IDIO_VOL_PENALTY,REJECT,REJECT,0.5832,1,20D,0.0383,0.1681,0.228,0.8093,7.8156,2.1844,0.0,0.029128,0.084911,0.5991,-0.0112,0.1971,-0.0569,-0.202,0.4894,-1.9508,-0.5365,0.051322,0.591683,0.084911,-0.1,0.077,0.000523,0.000375,0.4635,-0.2391,0.5021,0.0576,0.8702,0.0987,-0.128,-0.6544,1.0,0.5493,0.8333,VALID,0.0371,-0.0108,0.0644,0.8038,0.1962,2
ALPHA_MONEY_FLOW_DIV_10,WEAK,WEAK,0.5526,-1,20D,-0.0199,0.0985,-0.2022,-0.7177,-6.9304,-1.8725,0.0,0.061382,0.131315,0.4255,-0.0099,0.0724,-0.1373,-0.4874,0.4613,-4.7071,-1.2658,3e-06,0.205822,0.131315,-0.3,0.3099,0.001386,0.001204,1.1665,-0.2692,0.5212,0.4269,1.9571,0.1217,0.3517,1.1982,1.0,0.5609,0.8333,VALID,0.0142,-0.023,-0.0333,0.8105,0.1895,0
STD20,REJECT,REJECT,0.5508,-1,20D,-0.039,0.1711,-0.2281,-0.8097,-7.8196,-2.1815,0.0,0.029342,0.084911,0.406,0.0116,0.1988,0.0584,0.2075,0.5106,2.0035,0.5498,0.045355,0.582555,0.084911,0.1,0.042,0.000393,0.000241,0.3031,-0.2617,0.5004,0.0307,0.6519,0.1015,-0.1566,-0.8188,1.0,0.5508,0.8333,VALID,-0.0354,0.0107,-0.0665,0.8038,0.1962,2
MIN_RATIO_120,USEFUL,USEFUL,0.5407,1,20D,0.0308,0.1587,0.1942,0.6892,6.6559,1.9169,0.0,0.055493,0.122629,0.5591,-0.0112,0.1889,-0.0595,-0.2112,0.4596,-2.0396,-0.5625,0.041615,0.573859,0.122629,-0.7,0.07,0.000531,0.000364,0.413,-0.3434,0.5046,0.0644,0.9686,0.1115,-0.0821,-0.4163,1.0,0.5557,0.8333,VALID,0.0045,0.0355,0.0399,0.7502,0.2498,15
CORR_PV_5,WEAK,WEAK,0.5392,-1,20D,-0.0199,0.0917,-0.2175,-0.7722,-7.4566,-2.8287,0.0,0.004753,0.022215,0.4272,-0.0107,0.0853,-0.1259,-0.4469,0.4545,-4.3154,-1.7299,1.7e-05,0.083907,0.022215,-0.7,-0.0158,0.00071,5.6e-05,0.0567,-0.4875,0.4803,-0.0128,1.3042,0.4362,-0.0213,-0.1821,1.0,0.7181,1.0,VALID,-0.0148,-0.0188,-0.0228,0.816,0.184,0
ROC60,REJECT,REJECT,0.4916,-1,20D,-0.0318,0.1517,-0.2096,-0.744,-7.1847,-2.1324,0.0,0.033183,0.091474,0.4451,-0.0058,0.1703,-0.0341,-0.121,0.5277,-1.1689,-0.3336,0.242698,0.738721,0.091474,0.0,0.1759,0.00096,0.000771,0.7559,-0.284,0.5113,0.1724,1.5874,0.1261,0.044,0.2155,1.0,0.563,1.0,VALID,0.0144,-0.0707,-0.0319,0.7794,0.2206,12
STD250,REJECT,REJECT,0.4907,-1,20D,-0.0404,0.2038,-0.1984,-0.7044,-6.8022,-1.8334,0.0,0.066995,0.138499,0.4034,0.0089,0.2155,0.0414,0.147,0.5123,1.4192,0.3801,0.156094,0.703908,0.138499,0.1,0.1154,0.00058,0.000515,0.6255,-0.2542,0.4996,0.1033,0.993,0.0431,-0.0861,-0.4317,1.0,0.5215,0.8333,VALID,-0.0384,0.0131,-0.0692,0.7421,0.2579,17
