factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
KMID,-0.0039,-0.0041,-0.0001,1619,1282,337,291.4,256,300,REAL_CALCULATED
KLEN,-0.0274,-0.0187,0.0087,1619,1282,337,291.4,256,300,REAL_CALCULATED
KMID2,-0.0007,0.0003,0.001,1619,1282,337,291.4,256,300,REAL_CALCULATED
KUP,-0.0145,-0.0103,0.0043,1619,1282,337,291.4,256,300,REAL_CALCULATED
KLOW,-0.0146,-0.0125,0.0021,1619,1282,337,291.4,256,300,REAL_CALCULATED
KSFT,-0.0026,-0.003,-0.0004,1619,1282,337,291.4,256,300,REAL_CALCULATED
ROC5,-0.0078,-0.0068,0.001,1619,1277,342,291.4,256,300,REAL_CALCULATED
MAX_RATIO_5,-0.0102,-0.0078,0.0025,1619,1278,341,291.4,256,300,REAL_CALCULATED
MIN_RATIO_5,0.0132,0.0087,-0.0045,1619,1278,341,291.4,256,300,REAL_CALCULATED
MA_RATIO_5,0.0044,0.0031,-0.0013,1619,1278,341,291.4,256,300,REAL_CALCULATED
ROC10,-0.0138,-0.0147,-0.0009,1619,1272,347,291.5,256,300,REAL_CALCULATED
MAX_RATIO_10,-0.0099,-0.0056,0.0042,1619,1273,346,291.4,256,300,REAL_CALCULATED
MIN_RATIO_10,0.017,0.013,-0.004,1619,1273,346,291.4,256,300,REAL_CALCULATED
MA_RATIO_10,0.0082,0.0074,-0.0009,1619,1273,346,291.4,256,300,REAL_CALCULATED
ROC20,-0.0233,-0.0249,-0.0016,1619,1262,357,291.5,255,300,REAL_CALCULATED
MAX_RATIO_20,-0.0073,-0.0019,0.0054,1619,1263,356,291.5,255,300,REAL_CALCULATED
MIN_RATIO_20,0.0246,0.0209,-0.0037,1619,1263,356,291.5,255,300,REAL_CALCULATED
MA_RATIO_20,0.0163,0.0185,0.0022,1619,1263,356,291.5,255,300,REAL_CALCULATED
ROC30,-0.035,-0.0352,-0.0001,1619,1252,367,291.6,255,300,REAL_CALCULATED
MAX_RATIO_30,-0.0021,0.0027,0.0048,1619,1253,366,291.6,255,300,REAL_CALCULATED
MIN_RATIO_30,0.032,0.0274,-0.0046,1619,1253,366,291.6,255,300,REAL_CALCULATED
MA_RATIO_30,0.024,0.0254,0.0014,1619,1253,366,291.6,255,300,REAL_CALCULATED
ROC60,-0.0318,-0.0317,0.0001,1619,1222,397,291.8,253,300,REAL_CALCULATED
MAX_RATIO_60,0.0069,0.0122,0.0053,1619,1223,396,291.8,253,300,REAL_CALCULATED
MIN_RATIO_60,0.0382,0.0344,-0.0038,1619,1223,396,291.8,253,300,REAL_CALCULATED
MA_RATIO_60,0.0379,0.038,0.0002,1619,1223,396,291.8,253,300,REAL_CALCULATED
ROC120,-0.0234,-0.0236,-0.0002,1619,1175,444,291.8,271,300,REAL_CALCULATED
MAX_RATIO_120,-0.0033,-0.0033,-0.0,1619,1175,444,291.9,271,300,REAL_CALCULATED
MIN_RATIO_120,0.0308,0.0312,0.0003,1619,1175,444,291.9,271,300,REAL_CALCULATED
MA_RATIO_120,0.0328,0.0324,-0.0004,1619,1175,444,291.9,271,300,REAL_CALCULATED
ROC250,0.0034,0.0035,0.0001,1619,1175,444,288.7,267,299,REAL_CALCULATED
MAX_RATIO_250,-0.0082,-0.0081,0.0001,1619,1175,444,288.7,267,299,REAL_CALCULATED
MIN_RATIO_250,0.023,0.0235,0.0005,1619,1175,444,288.7,267,299,REAL_CALCULATED
MA_RATIO_250,0.0153,0.0154,0.0001,1619,1175,444,288.7,267,299,REAL_CALCULATED
STD5,-0.0274,-0.02,0.0074,1619,1277,342,291.4,256,300,REAL_CALCULATED
STD10,-0.0341,-0.0252,0.0088,1619,1272,347,291.5,256,300,REAL_CALCULATED
STD20,-0.039,-0.0311,0.0079,1619,1262,357,291.5,255,300,REAL_CALCULATED
STD30,-0.0443,-0.0365,0.0078,1619,1252,367,291.6,255,300,REAL_CALCULATED
STD60,-0.0441,-0.0357,0.0083,1619,1222,397,291.8,253,300,REAL_CALCULATED
STD120,-0.0404,-0.0396,0.0008,1619,1175,444,291.8,271,300,REAL_CALCULATED
STD250,-0.0404,-0.0393,0.0012,1619,1175,444,288.7,267,299,REAL_CALCULATED
ATR_RATIO_5,-0.0361,-0.0238,0.0123,1619,1277,342,291.4,256,300,REAL_CALCULATED
ATR_RATIO_20,-0.0414,-0.0327,0.0087,1619,1262,357,291.5,255,300,REAL_CALCULATED
ATR_RATIO_60,-0.0377,-0.0285,0.0092,1619,1222,397,291.8,253,300,REAL_CALCULATED
ROC_STD_20,-0.0139,-0.0146,-0.0007,1619,1262,357,291.5,255,300,REAL_CALCULATED
ROC_STD_60,-0.0205,-0.0197,0.0008,1619,1222,397,291.8,253,300,REAL_CALCULATED
ROC_STD_120,-0.013,-0.0132,-0.0002,1619,1175,444,291.8,271,300,REAL_CALCULATED
ROC_STD_250,0.007,0.0069,-0.0001,1619,1175,444,288.7,267,299,REAL_CALCULATED
MOM_ACC_20_60,-0.0401,-0.0408,-0.0007,1619,1223,396,291.8,253,300,REAL_CALCULATED
MOM_ACC_60_120,-0.0147,-0.0136,0.001,1619,1175,444,291.9,271,300,REAL_CALCULATED
VMA_RATIO_5,-0.0057,-0.0047,0.001,1619,1278,341,291.4,256,300,REAL_CALCULATED
VSTD_5,-0.0068,-0.0053,0.0015,1619,1278,341,291.4,256,300,REAL_CALCULATED
VMA_RATIO_10,-0.0069,-0.0057,0.0012,1619,1273,346,291.4,256,300,REAL_CALCULATED
VSTD_10,-0.0143,-0.0127,0.0015,1619,1273,346,291.4,256,300,REAL_CALCULATED
VMA_RATIO_20,-0.0067,-0.0057,0.001,1619,1263,356,291.5,255,300,REAL_CALCULATED
VSTD_20,-0.0209,-0.0217,-0.0008,1619,1263,356,291.5,255,300,REAL_CALCULATED
VMA_RATIO_60,0.0049,0.0056,0.0006,1619,1223,396,291.8,253,300,REAL_CALCULATED
VSTD_60,-0.0149,-0.0198,-0.0049,1619,1223,396,291.8,253,300,REAL_CALCULATED
CORR_PV_5,-0.0199,-0.0201,-0.0002,1619,1282,337,291.4,256,300,REAL_CALCULATED
WVMA_5,-0.0246,-0.0185,0.0061,1619,1274,345,291.4,256,300,REAL_CALCULATED
CORR_PV_10,-0.0266,-0.0268,-0.0002,1619,1282,337,291.4,256,300,REAL_CALCULATED
WVMA_10,-0.0295,-0.0239,0.0056,1619,1264,355,291.5,255,300,REAL_CALCULATED
CORR_PV_20,-0.0278,-0.0304,-0.0026,1619,1282,337,291.4,256,300,REAL_CALCULATED
WVMA_20,-0.0346,-0.0261,0.0085,1619,1244,375,291.6,255,300,REAL_CALCULATED
TURNOVER_SURGE_5,0.0042,0.0032,-0.0009,1619,1278,341,291.4,256,300,REAL_CALCULATED
TURNOVER_SURGE_20,0.0038,0.0026,-0.0012,1619,1263,356,291.5,255,300,REAL_CALCULATED
TURNOVER_STD_20,-0.0457,-0.0394,0.0063,1619,1263,356,291.5,255,300,REAL_CALCULATED
AMOUNT_RATIO_5_20,-0.0012,-0.0022,-0.001,1619,1263,356,291.5,255,300,REAL_CALCULATED
LIMIT_UP_SPACE,-0.0143,-0.0124,0.0019,1619,1282,337,291.4,256,300,REAL_CALCULATED
IS_LIMIT_UP_LAG1,-0.0008,-0.0001,0.0007,1619,1282,337,291.4,256,300,REAL_CALCULATED
IS_LIMIT_DOWN_LAG1,-0.0002,0.0002,0.0004,1619,1282,337,291.4,256,300,REAL_CALCULATED
UPPER_SHADOW_RATIO,0.0005,0.0012,0.0006,1619,1282,337,291.4,256,300,REAL_CALCULATED
LOWER_SHADOW_RATIO,0.0003,-0.0018,-0.0021,1619,1282,337,291.4,256,300,REAL_CALCULATED
ENTITY_RATIO,-0.001,-0.0012,-0.0003,1619,1282,337,291.4,256,300,REAL_CALCULATED
INTRADAY_CLOSE_LOC,-0.0015,-0.0022,-0.0007,1619,1282,337,291.4,256,300,REAL_CALCULATED
LOG_CIRC_MV,-0.0382,0.0,0.0382,1619,1282,337,291.4,256,300,REAL_CALCULATED
EFFICIENCY_RATIO_10,0.0163,0.0154,-0.001,1619,1272,347,291.5,256,300,REAL_CALCULATED
AMIHUD_20,0.0,0.0,0.0,1619,1262,357,291.5,255,300,REAL_CALCULATED
AMIHUD_20_LN,0.0,0.0,0.0,1619,1262,357,291.5,255,300,REAL_CALCULATED
ALPHA_RESIDUAL_MOMENTUM_20,-0.0251,-0.0264,-0.0014,1619,1262,357,291.5,255,300,REAL_CALCULATED
ALPHA_TURNOVER_SURPRISE_5_20,0.002,0.0014,-0.0005,1619,1263,356,291.5,255,300,REAL_CALCULATED
ALPHA_QUALITY_X_MOMENTUM,-0.0159,-0.0147,0.0013,1619,1262,357,291.5,255,300,REAL_CALCULATED
ALPHA_LIQUIDITY_X_VOL,0.0,0.0,0.0,1619,1262,357,291.5,255,300,REAL_CALCULATED
ALPHA_SHORT_REVERSAL_5,0.0035,0.0038,0.0003,1619,1263,356,291.5,255,300,REAL_CALCULATED
ALPHA_IDIO_VOL_PENALTY,0.0383,0.0307,-0.0077,1619,1262,357,291.5,255,300,REAL_CALCULATED
ALPHA_MONEY_FLOW_DIV_10,-0.0199,-0.0135,0.0064,1619,1273,346,291.4,256,300,REAL_CALCULATED
