factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
KMID,-0.0036,-0.0036,0.0,1187,0,REAL_CALCULATED
KLEN,-0.0271,-0.0283,-0.0012,1187,0,REAL_CALCULATED
KMID2,0.0,0.0096,0.0096,1187,0,REAL_CALCULATED
KUP,-0.0146,-0.0029,0.0117,1187,0,REAL_CALCULATED
KLOW,-0.0141,-0.006,0.0081,1187,0,REAL_CALCULATED
KSFT,-0.0026,-0.0009,0.0017,1187,0,REAL_CALCULATED
ROC5,-0.0066,-0.0016,0.005,1187,0,REAL_CALCULATED
MAX_RATIO_5,-0.011,-0.0139,-0.003,1187,0,REAL_CALCULATED
MIN_RATIO_5,0.0127,0.0071,-0.0057,1187,0,REAL_CALCULATED
MA_RATIO_5,0.0037,0.0024,-0.0013,1187,0,REAL_CALCULATED
