fold_id,factor,horizon,train_mean_rank_ic,train_hac_t,train_hac_p,train_global_fdr_p,selected,selected_horizon,train_direction,validation_raw_rank_ic,validation_aligned_rank_ic
1,KMID,1D,0.0441,1.9567,0.050939,0.723136,False,20D,-1,-0.0014,0.0014
1,KMID,3D,0.009,0.4189,0.675503,1.0,False,20D,-1,0.0485,-0.0485
1,KMID,5D,0.0076,0.3494,0.726911,1.0,False,20D,-1,0.0286,-0.0286
1,KMID,10D,-0.0258,-1.2316,0.218677,1.0,False,20D,-1,0.037,-0.037
1,KMID,20D,-0.0354,-1.5697,0.117103,0.97746,False,20D,-1,0.0655,-0.0655
1,KLEN,1D,-0.0223,-1.0164,0.309915,1.0,False,20D,1,0.0645,0.0645
1,KLEN,3D,-0.0059,-0.273,0.784933,1.0,False,20D,1,0.0129,0.0129
1,KLEN,5D,0.0094,0.4248,0.671136,1.0,False,20D,1,0.0124,0.0124
1,KLEN,10D,0.0135,0.536,0.592227,1.0,False,20D,1,0.0335,0.0335
1,KLEN,20D,0.0147,0.6361,0.524999,1.0,False,20D,1,0.0314,0.0314
1,KMID2,1D,0.0408,1.8464,0.065428,0.783153,False,20D,-1,0.0089,-0.0089
1,KMID2,3D,0.0124,0.57,0.568933,1.0,False,20D,-1,0.0564,-0.0564
1,KMID2,5D,0.017,0.7868,0.431759,1.0,False,20D,-1,0.0243,-0.0243
1,KMID2,10D,-0.0205,-0.9709,0.332049,1.0,False,20D,-1,0.0465,-0.0465
1,KMID2,20D,-0.0164,-0.7019,0.483046,1.0,False,20D,-1,0.0839,-0.0839
1,KUP,1D,-0.0034,-0.144,0.885595,1.0,False,20D,-1,0.0196,-0.0196
1,KUP,3D,-0.0,-0.0005,0.999606,1.0,False,20D,-1,0.0084,-0.0084
1,KUP,5D,0.0106,0.4888,0.625202,1.0,False,20D,-1,0.013,-0.013
1,KUP,10D,-0.0276,-1.2777,0.201943,1.0,False,20D,-1,0.0302,-0.0302
1,KUP,20D,-0.0475,-2.2097,0.027575,0.473571,False,20D,-1,0.0384,-0.0384
1,KLOW,1D,-0.023,-1.0675,0.286247,1.0,False,20D,1,0.0369,0.0369
1,KLOW,3D,-0.0018,-0.0823,0.934476,1.0,False,20D,1,0.0027,0.0027
1,KLOW,5D,0.0075,0.3453,0.729984,1.0,False,20D,1,0.0174,0.0174
1,KLOW,10D,0.0245,1.0562,0.291387,1.0,False,20D,1,0.0218,0.0218
1,KLOW,20D,0.0293,1.2394,0.21578,1.0,False,20D,1,0.0457,0.0457
1,KSFT,1D,-0.0207,-0.9011,0.367967,1.0,False,20D,1,0.0025,0.0025
1,KSFT,3D,-0.0075,-0.3403,0.73378,1.0,False,20D,1,0.0232,0.0232
1,KSFT,5D,0.0057,0.2746,0.783731,1.0,False,20D,1,0.008,0.008
1,KSFT,10D,0.0084,0.3776,0.70588,1.0,False,20D,1,0.0006,0.0006
1,KSFT,20D,0.0447,1.9468,0.052114,0.723136,False,20D,1,0.0422,0.0422
1,ROC5,1D,0.0032,0.1374,0.890772,1.0,False,20D,1,-0.0234,-0.0234
1,ROC5,3D,0.0398,1.4291,0.153592,1.0,False,20D,1,-0.083,-0.083
1,ROC5,5D,0.0271,0.8747,0.382185,1.0,False,20D,1,-0.0693,-0.0693
1,ROC5,10D,0.0209,0.5642,0.572842,1.0,False,20D,1,-0.0291,-0.0291
1,ROC5,20D,0.0064,0.1294,0.897092,1.0,False,20D,1,-0.0642,-0.0642
1,MAX_RATIO_5,1D,-0.0018,-0.081,0.935441,1.0,False,20D,-1,-0.0003,0.0003
1,MAX_RATIO_5,3D,-0.0124,-0.4432,0.657799,1.0,False,20D,-1,0.0771,-0.0771
1,MAX_RATIO_5,5D,-0.0017,-0.0552,0.955993,1.0,False,20D,-1,0.0776,-0.0776
1,MAX_RATIO_5,10D,-0.0167,-0.5316,0.595238,1.0,False,20D,-1,0.0442,-0.0442
1,MAX_RATIO_5,20D,-0.0054,-0.1366,0.891422,1.0,False,20D,-1,0.1023,-0.1023
1,MIN_RATIO_5,1D,-0.0035,-0.156,0.876109,1.0,False,20D,1,0.0293,0.0293
1,MIN_RATIO_5,3D,-0.0177,-0.6716,0.502137,1.0,False,20D,1,0.073,0.073
1,MIN_RATIO_5,5D,-0.0165,-0.574,0.566198,1.0,False,20D,1,0.0813,0.0813
1,MIN_RATIO_5,10D,0.0156,0.5188,0.604097,1.0,False,20D,1,0.0374,0.0374
1,MIN_RATIO_5,20D,0.0143,0.3255,0.744956,1.0,False,20D,1,0.007,0.007
1,MA_RATIO_5,1D,0.0068,0.311,0.755957,1.0,False,20D,1,0.0033,0.0033
1,MA_RATIO_5,3D,0.0036,0.137,0.891122,1.0,False,20D,1,0.0885,0.0885
1,MA_RATIO_5,5D,0.0072,0.2465,0.80537,1.0,False,20D,1,0.0952,0.0952
1,MA_RATIO_5,10D,0.0131,0.4204,0.674379,1.0,False,20D,1,0.0651,0.0651
1,MA_RATIO_5,20D,0.0169,0.387,0.698945,1.0,False,20D,1,0.0799,0.0799
1,ROC10,1D,-0.0091,-0.3903,0.696498,1.0,False,20D,1,-0.0027,-0.0027
1,ROC10,3D,0.0068,0.2555,0.798423,1.0,False,20D,1,-0.0363,-0.0363
1,ROC10,5D,-0.0012,-0.0344,0.972582,1.0,False,20D,1,-0.0269,-0.0269
1,ROC10,10D,-0.0268,-0.6307,0.528547,1.0,False,20D,1,-0.0314,-0.0314
1,ROC10,20D,0.0187,0.3021,0.762714,1.0,False,20D,1,-0.0471,-0.0471
1,MAX_RATIO_10,1D,-0.0051,-0.2164,0.828768,1.0,False,20D,-1,0.0427,-0.0427
1,MAX_RATIO_10,3D,-0.0332,-1.1908,0.234307,1.0,False,20D,-1,0.0744,-0.0744
1,MAX_RATIO_10,5D,-0.0333,-0.9955,0.320001,1.0,False,20D,-1,0.0598,-0.0598
1,MAX_RATIO_10,10D,-0.023,-0.6137,0.539697,1.0,False,20D,-1,0.0786,-0.0786
1,MAX_RATIO_10,20D,-0.0358,-0.6374,0.524177,1.0,False,20D,-1,0.092,-0.092
1,MIN_RATIO_10,1D,0.0047,0.2023,0.839762,1.0,False,20D,1,0.0241,0.0241
1,MIN_RATIO_10,3D,-0.0079,-0.2819,0.778159,1.0,False,20D,1,0.081,0.081
1,MIN_RATIO_10,5D,-0.0006,-0.0167,0.986666,1.0,False,20D,1,0.0342,0.0342
1,MIN_RATIO_10,10D,0.0192,0.4974,0.619132,1.0,False,20D,1,-0.0045,-0.0045
1,MIN_RATIO_10,20D,0.0097,0.1707,0.864495,1.0,False,20D,1,0.0432,0.0432
1,MA_RATIO_10,1D,-0.0022,-0.0908,0.927653,1.0,False,20D,-1,0.01,-0.01
1,MA_RATIO_10,3D,-0.0279,-0.9811,0.327027,1.0,False,20D,-1,0.0673,-0.0673
1,MA_RATIO_10,5D,-0.0052,-0.1512,0.879905,1.0,False,20D,-1,0.0349,-0.0349
1,MA_RATIO_10,10D,0.0001,0.0021,0.998342,1.0,False,20D,-1,0.0405,-0.0405
1,MA_RATIO_10,20D,-0.014,-0.2416,0.809208,1.0,False,20D,-1,0.0721,-0.0721
1,ROC20,1D,-0.0185,-0.8065,0.420345,1.0,False,20D,1,-0.0353,-0.0353
