factor,full_2021_2026_ic,full_2021_2026_icir,full_2021_2026_pos,recent_2025_2026_ic,recent_2025_2026_icir,recent_2025_2026_pos,h1_2026_ic,h1_2026_icir,h1_2026_pos,q3_2026_ic,q3_2026_icir,q3_2026_pos
AMIHUD_20,0.03939,5.101,0.661,0.00543,0.726,0.531,-0.05206,-5.824,0.293,0.11209,7.766,0.556
AMIHUD_20_LN,0.03939,5.101,0.661,0.00543,0.726,0.531,-0.05206,-5.824,0.293,0.11209,7.766,0.556
MIN_RATIO_60,0.03038,3.614,0.562,0.01716,1.791,0.472,-0.03609,-3.717,0.284,0.22908,17.079,0.852
MA_RATIO_60,0.02919,3.585,0.57,0.03108,3.524,0.552,-0.03768,-4.566,0.241,0.22063,21.88,0.889
AMIHUD_ILLIQUIDITY_20,0.02764,5.07,0.625,0.0027,0.449,0.477,-0.01196,-1.932,0.405,0.05478,6.303,0.63
ALPHA_IDIO_VOL_PENALTY,0.027,2.978,0.568,-0.01268,-1.29,0.409,-0.03465,-3.101,0.362,0.10878,6.295,0.593
MIN_RATIO_30,0.02491,3.072,0.543,0.00835,0.909,0.453,-0.03654,-4.052,0.216,0.17605,14.666,0.852
ALPHA_LIQUIDITY_X_VOL,0.02472,2.734,0.561,0.02553,3.562,0.588,-0.0261,-4.266,0.397,0.09085,18.158,0.889
MIN_RATIO_120,0.02467,2.697,0.532,-0.00026,-0.027,0.425,-0.04821,-4.93,0.233,0.18192,10.934,0.704
MA_RATIO_120,0.02146,2.488,0.525,0.01805,2.106,0.497,-0.05132,-6.627,0.181,0.20838,17.895,0.852
MA_RATIO_30,0.01835,2.323,0.536,0.01478,1.687,0.497,-0.03969,-4.684,0.267,0.14689,19.69,0.852
KAUFMAN_EFFICIENCY_20,0.01708,3.212,0.566,0.0305,5.838,0.627,0.03675,6.781,0.707,0.07983,15.745,0.852
MIN_RATIO_20,0.01682,2.195,0.518,-0.00023,-0.028,0.425,-0.03979,-4.496,0.241,0.11428,11.347,0.741
MIN_RATIO_250,0.01609,1.589,0.491,-0.00433,-0.416,0.438,-0.05423,-4.63,0.319,0.14101,7.47,0.519
MA_RATIO_20,0.0121,1.543,0.519,0.00764,0.889,0.484,-0.03447,-3.846,0.328,0.09739,15.073,0.815
ROC_STD_250,0.01077,1.064,0.589,0.00932,0.959,0.63,0.06169,5.871,0.784,-0.08835,-5.024,0.519
VOLATILITY_SQUEEZE_20,0.0103,1.263,0.528,-0.02781,-3.215,0.396,-0.04888,-5.274,0.336,0.02588,1.69,0.481
MIN_RATIO_10,0.00977,1.387,0.521,-0.00549,-0.729,0.43,-0.02871,-3.475,0.276,0.04494,7.799,0.704
EFFICIENCY_RATIO_10,0.00967,1.821,0.543,0.02175,4.271,0.609,0.02646,4.972,0.638,0.04914,13.071,0.815
ROC250,0.00887,0.897,0.582,0.00951,0.957,0.617,0.06172,5.705,0.75,-0.10672,-6.123,0.444
MAX_RATIO_60,0.00688,0.883,0.509,0.01685,2.291,0.516,-0.03543,-4.858,0.284,0.12615,20.681,0.889
MIN_RATIO_5,0.00522,0.786,0.513,-0.00747,-1.06,0.438,-0.02831,-3.86,0.336,0.02505,3.401,0.556
MA_RATIO_250,0.00516,0.543,0.473,0.00658,0.715,0.495,-0.0607,-6.497,0.216,0.13338,8.407,0.667
TURNOVER_SURGE_20,0.00483,0.89,0.506,0.00062,0.114,0.484,0.02576,4.649,0.603,-0.026,-5.719,0.333
TURNOVER_SURGE_5,0.00477,0.921,0.526,-0.00145,-0.297,0.482,0.00829,1.679,0.517,-0.00496,-1.095,0.481
MACD_HIST_SLOPE_5,0.00386,0.622,0.503,0.00834,1.224,0.521,-0.00541,-0.793,0.5,0.08467,8.066,0.667
MA_RATIO_10,0.00371,0.497,0.492,-0.0022,-0.27,0.448,-0.02427,-2.906,0.353,0.01937,2.073,0.593
SHADOW_ASYMMETRY_RATIO,0.00337,0.649,0.506,-0.01089,-2.016,0.433,-0.00557,-1.072,0.457,0.04917,7.4,0.593
INDUSTRY_LEAD_LAG_MOM_5D,0.00291,0.424,0.511,0.00343,0.459,0.539,-0.0099,-1.325,0.5,0.04942,4.211,0.593
VMA_RATIO_60,0.00276,0.493,0.532,-0.00594,-1.094,0.479,-0.03401,-6.778,0.345,0.04288,7.587,0.815
INTRADAY_CLOSE_LOC,0.00262,0.386,0.51,-0.00046,-0.063,0.513,0.00454,0.572,0.569,0.0225,2.084,0.481
KMID2,0.00235,0.327,0.509,0.00371,0.495,0.505,0.00528,0.643,0.526,0.02114,2.052,0.593
ALPHA_TURNOVER_SURPRISE_5_20,0.00201,0.361,0.5,0.0028,0.503,0.503,0.02945,5.068,0.638,-0.03467,-7.928,0.259
LOWER_SHADOW_RATIO,0.00162,0.312,0.495,-0.00345,-0.64,0.472,-0.00338,-0.636,0.466,0.02565,4.022,0.593
FLOW_NET_BUY_RATIO_5D,0.00146,0.215,0.52,-0.0058,-0.824,0.495,-0.00126,-0.172,0.578,0.00262,0.259,0.407
KSFT,0.0014,0.205,0.503,-0.00431,-0.577,0.495,-0.00138,-0.167,0.5,0.02953,2.606,0.593
KMID,-0.00014,-0.02,0.49,-8e-05,-0.011,0.508,0.00243,0.308,0.509,0.02532,2.628,0.593
MA_RATIO_5,-0.00023,-0.033,0.491,-0.00416,-0.564,0.466,-0.01987,-2.613,0.379,-0.00115,-0.123,0.556
ALPHA_SHORT_REVERSAL_5,-0.00039,-0.057,0.491,-0.00787,-1.082,0.446,-0.02265,-3.212,0.379,0.00958,1.02,0.519
MAX_RATIO_30,-0.0004,-0.052,0.492,0.00965,1.261,0.497,-0.02389,-2.929,0.379,0.0792,11.482,0.741
GP_ALPHA_REVERSAL_STRENGTH_5,-0.00084,-0.15,0.502,0.00635,1.064,0.541,0.01249,2.032,0.595,0.00756,1.016,0.556
ENTITY_RATIO,-0.00089,-0.172,0.503,-0.00044,-0.083,0.503,0.00301,0.553,0.474,-0.01326,-2.409,0.519
AMOUNT_RATIO_5_20,-0.00102,-0.171,0.482,-0.00068,-0.11,0.487,0.03122,4.685,0.603,-0.07842,-15.306,0.111
UPPER_SHADOW_RATIO,-0.0011,-0.202,0.493,0.00268,0.474,0.508,-0.00233,-0.372,0.466,0.0022,0.339,0.519
ROC5,-0.00424,-0.577,0.497,0.00034,0.044,0.539,0.01466,1.851,0.612,-0.02311,-2.441,0.37
MAX_RATIO_20,-0.00453,-0.576,0.474,0.00311,0.395,0.464,-0.01855,-2.164,0.422,0.04241,5.171,0.593
MOM_ACC_60_120,-0.00515,-0.647,0.512,0.00998,1.28,0.593,0.05409,10.302,0.828,-0.08817,-6.843,0.407
FLOW_ACCUMULATION_20D,-0.00524,-0.758,0.49,-0.01036,-1.507,0.44,0.0376,6.459,0.672,-0.14433,-18.844,0.074
VMA_RATIO_5,-0.00587,-1.13,0.463,-0.00085,-0.174,0.5,-0.0096,-1.938,0.474,0.00814,1.847,0.481
GP_ALPHA_VOL_PRESSURE_10,-0.0063,-0.95,0.486,0.00574,0.771,0.534,0.01295,1.484,0.595,-0.04148,-5.822,0.296
MAX_RATIO_120,-0.00649,-0.831,0.487,0.00037,0.051,0.513,-0.0674,-10.155,0.224,0.1386,24.28,0.889
KLOW,-0.00664,-1.154,0.478,0.00588,0.956,0.539,0.02905,4.894,0.647,-0.03103,-3.681,0.407
VSTD_5,-0.00671,-1.457,0.457,-0.01597,-3.764,0.407,-0.02362,-6.018,0.388,-0.04402,-11.816,0.222
VMA_RATIO_20,-0.00689,-1.27,0.486,-0.00363,-0.687,0.492,-0.02533,-4.715,0.388,0.0269,5.806,0.63
ROC_STD_120,-0.0069,-0.767,0.514,-0.00452,-0.533,0.492,0.02931,3.354,0.629,-0.05929,-3.816,0.519
VMA_RATIO_10,-0.00748,-1.416,0.475,-0.00255,-0.502,0.503,-0.0159,-3.056,0.422,0.01498,3.086,0.63
MAX_RATIO_10,-0.00917,-1.226,0.455,-0.00313,-0.404,0.459,-0.01111,-1.444,0.431,-0.01647,-1.312,0.556
