model_id,fold,train_start,train_end,test_start,test_end,feature_count
lightgbm_clf_baseline,1,2021-01-01,2022-04-19,2022-08-17,2022-10-11,79
lightgbm_clf_baseline,2,2021-02-26,2022-06-14,2022-10-12,2022-12-06,79
lightgbm_clf_baseline,3,2021-04-23,2022-08-09,2022-12-07,2023-01-31,79
lightgbm_clf_baseline,4,2021-06-18,2022-10-04,2023-02-01,2023-03-28,79
lightgbm_clf_baseline,5,2021-08-13,2022-11-29,2023-03-29,2023-05-23,79
lightgbm_clf_baseline,6,2021-10-08,2023-01-24,2023-05-24,2023-07-18,79
lightgbm_clf_baseline,7,2021-12-03,2023-03-21,2023-07-19,2023-09-12,79
lightgbm_clf_baseline,8,2022-01-28,2023-05-16,2023-09-13,2023-11-07,79
lightgbm_clf_baseline,9,2022-03-25,2023-07-11,2023-11-08,2024-01-02,79
lightgbm_clf_baseline,10,2022-05-20,2023-09-05,2024-01-03,2024-02-27,79
lightgbm_clf_baseline,11,2022-07-15,2023-10-31,2024-02-28,2024-04-23,79
lightgbm_clf_baseline,12,2022-09-09,2023-12-26,2024-04-24,2024-06-18,79
lightgbm_clf_baseline,13,2022-11-04,2024-02-20,2024-06-19,2024-06-28,79
lightgbm_reg_baseline,1,2021-01-01,2022-04-19,2022-08-17,2022-10-11,79
lightgbm_reg_baseline,2,2021-02-26,2022-06-14,2022-10-12,2022-12-06,79
lightgbm_reg_baseline,3,2021-04-23,2022-08-09,2022-12-07,2023-01-31,79
lightgbm_reg_baseline,4,2021-06-18,2022-10-04,2023-02-01,2023-03-28,79
lightgbm_reg_baseline,5,2021-08-13,2022-11-29,2023-03-29,2023-05-23,79
lightgbm_reg_baseline,6,2021-10-08,2023-01-24,2023-05-24,2023-07-18,79
lightgbm_reg_baseline,7,2021-12-03,2023-03-21,2023-07-19,2023-09-12,79
lightgbm_reg_baseline,8,2022-01-28,2023-05-16,2023-09-13,2023-11-07,79
lightgbm_reg_baseline,9,2022-03-25,2023-07-11,2023-11-08,2024-01-02,79
lightgbm_reg_baseline,10,2022-05-20,2023-09-05,2024-01-03,2024-02-27,79
lightgbm_reg_baseline,11,2022-07-15,2023-10-31,2024-02-28,2024-04-23,79
lightgbm_reg_baseline,12,2022-09-09,2023-12-26,2024-04-24,2024-06-18,79
lightgbm_reg_baseline,13,2022-11-04,2024-02-20,2024-06-19,2024-06-28,79
lightgbm_ranker,1,2021-01-01,2022-04-19,2022-08-17,2022-10-11,20
lightgbm_ranker,2,2021-02-26,2022-06-14,2022-10-12,2022-12-06,20
lightgbm_ranker,3,2021-04-23,2022-08-09,2022-12-07,2023-01-31,20
lightgbm_ranker,4,2021-06-18,2022-10-04,2023-02-01,2023-03-28,20
lightgbm_ranker,5,2021-08-13,2022-11-29,2023-03-29,2023-05-23,20
lightgbm_ranker,6,2021-10-08,2023-01-24,2023-05-24,2023-07-18,20
lightgbm_ranker,7,2021-12-03,2023-03-21,2023-07-19,2023-09-12,20
lightgbm_ranker,8,2022-01-28,2023-05-16,2023-09-13,2023-11-07,20
lightgbm_ranker,9,2022-03-25,2023-07-11,2023-11-08,2024-01-02,20
lightgbm_ranker,10,2022-05-20,2023-09-05,2024-01-03,2024-02-27,20
lightgbm_ranker,11,2022-07-15,2023-10-31,2024-02-28,2024-04-23,20
lightgbm_ranker,12,2022-09-09,2023-12-26,2024-04-24,2024-06-18,20
lightgbm_ranker,13,2022-11-04,2024-02-20,2024-06-19,2024-06-28,20
double_ensemble,1,2021-01-01,2022-04-19,2022-08-17,2022-10-11,20
double_ensemble,2,2021-02-26,2022-06-14,2022-10-12,2022-12-06,20
double_ensemble,3,2021-04-23,2022-08-09,2022-12-07,2023-01-31,20
double_ensemble,4,2021-06-18,2022-10-04,2023-02-01,2023-03-28,20
double_ensemble,5,2021-08-13,2022-11-29,2023-03-29,2023-05-23,20
double_ensemble,6,2021-10-08,2023-01-24,2023-05-24,2023-07-18,20
double_ensemble,7,2021-12-03,2023-03-21,2023-07-19,2023-09-12,20
double_ensemble,8,2022-01-28,2023-05-16,2023-09-13,2023-11-07,20
double_ensemble,9,2022-03-25,2023-07-11,2023-11-08,2024-01-02,20
double_ensemble,10,2022-05-20,2023-09-05,2024-01-03,2024-02-27,20
double_ensemble,11,2022-07-15,2023-10-31,2024-02-28,2024-04-23,20
double_ensemble,12,2022-09-09,2023-12-26,2024-04-24,2024-06-18,20
double_ensemble,13,2022-11-04,2024-02-20,2024-06-19,2024-06-28,20
