fold,test_start,test_end,ranker_cost_adjusted_excess_return,baseline_cost_adjusted_excess_return,delta_excess_return,ranker_sharpe,baseline_sharpe,ranker_max_drawdown,baseline_max_drawdown,ranker_total_costs,baseline_total_costs,ranker_turnover,baseline_turnover,ranker_win
1,2023-07-03,2023-08-25,1.24,4.26,-3.02,-1.96,-0.67,-5.83,-2.27,5075.11,2232.95,0.0,0.0,False
2,2023-08-28,2023-10-30,2.91,1.57,1.34,-0.73,-1.6,-7.87,-7.7,4535.1,4116.71,0.0,0.0,True
3,2023-10-31,2023-12-25,5.47,-1.48,6.95,-0.48,-5.87,-5.64,-8.24,4268.06,2599.96,0.0,0.0,True
4,2023-12-26,2024-02-28,-5.31,-5.27,-0.04,-0.65,-0.6,-6.32,-5.43,4808.17,4844.04,0.0,0.0,False
5,2024-02-29,2024-04-26,-2.72,-0.43,-2.29,-0.59,0.87,-3.5,-2.64,3738.54,2640.08,0.0,0.0,False
6,2024-04-29,2024-06-27,3.37,4.75,-1.38,-1.16,-0.15,-3.49,-3.53,2617.1,3423.4,0.0,0.0,False
7,2024-06-28,2024-08-22,8.65,5.24,3.41,1.55,0.53,-4.5,-2.95,4141.02,3328.7,0.0,0.0,True
8,2024-08-23,2024-10-28,2.87,-10.15,13.02,3.24,2.98,-5.27,-3.11,4911.32,3774.48,0.0,0.0,True
9,2024-10-29,2024-12-23,3.1,1.52,1.58,1.44,0.78,-3.57,-2.47,4565.71,3629.63,0.0,0.0,True
10,2024-12-24,2025-02-26,-3.05,-5.77,2.72,-2.21,-4.42,-5.49,-6.91,3731.09,3005.51,0.0,0.0,True
11,2025-02-27,2025-04-24,-5.53,5.28,-10.81,-2.86,0.34,-13.42,-1.92,5157.88,1433.14,0.0,0.0,False
12,2025-04-25,2025-06-25,8.01,0.59,7.42,2.54,4.3,-6.5,-1.35,5552.39,3509.12,0.0,0.0,True
13,2025-06-26,2025-08-20,14.79,-9.31,24.1,7.83,-0.85,-2.58,-3.85,4452.94,4218.7,0.0,0.0,True
14,2025-08-21,2025-10-23,-8.71,5.35,-14.06,-0.78,3.36,-5.88,-2.93,3235.75,6036.53,0.0,0.0,False
15,2025-10-24,2025-12-18,6.54,-2.83,9.37,2.24,-4.36,-3.52,-5.66,5607.95,2538.16,0.0,0.0,True
16,2025-12-19,2026-02-24,2.52,3.29,-0.77,2.47,2.22,-2.74,-4.81,4766.68,4366.72,0.0,0.0,False
17,2026-02-25,2026-04-22,-0.73,-1.26,0.53,0.19,-0.02,-8.28,-3.57,4452.04,4370.3,0.0,0.0,True
18,2026-04-23,2026-06-23,-3.03,-10.54,7.51,-0.19,-3.88,-5.29,-10.94,5267.56,4811.75,0.0,0.0,True
19,2026-06-24,2026-08-18,2.0,4.19,-2.19,-0.94,-0.11,-4.26,-4.15,4663.15,2958.56,0.0,0.0,False
20,2026-08-19,2026-08-24,-2.51,3.3,-5.81,-14.93,10.66,-3.07,-0.53,459.13,1207.64,0.0,0.0,False
