fold,trading_candidate,baseline_model,candidate_excess_advantage,overall_cagr,baseline_cagr
1,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
2,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
3,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
4,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
5,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
6,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
7,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
8,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
9,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
10,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
11,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
12,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
13,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
14,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
15,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
16,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
17,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
18,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
19,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
20,lightgbm_ranker,lightgbm_clf_baseline,POSITIVE,6.76,-4.22
