order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000001,,600515.SH,BUY,2021-09-29,2021-09-30,10200,10200,0,0,10200,11.59,11.41,29.1,0.0,2.33,102.0,133.43,FILLED,Top-K目标建仓/加仓,
ORD_000002,,601919.SH,BUY,2021-09-29,2021-09-30,7100,7100,0,0,7100,16.54,16.97,30.12,0.0,2.41,142.0,174.53,FILLED,Top-K目标建仓/加仓,
ORD_000003_P3300,ORD_000003,002558.SZ,BUY,2021-09-29,2021-09-30,11500,3300,8200,0,3300,10.27,10.28,8.48,0.0,0.68,33.0,42.16,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000004,,600926.SH,BUY,2021-09-29,2021-09-30,4600,4600,0,0,4600,15.34,15.36,17.66,0.0,1.41,92.0,111.07,FILLED,Top-K目标建仓/加仓,
ORD_000005,,603799.SH,BUY,2021-09-29,2021-09-30,700,700,0,0,700,101.1,102.2,17.89,0.0,1.43,70.0,89.32,FILLED,Top-K目标建仓/加仓,
ORD_000006,,601838.SH,BUY,2021-09-29,2021-09-30,5700,5700,0,0,5700,12.41,12.37,17.63,0.0,1.41,57.0,76.04,FILLED,Top-K目标建仓/加仓,
ORD_000007_P800,ORD_000007,688521.SH,BUY,2021-09-29,2021-09-30,1000,800,200,0,800,67.81,68.28,13.66,0.0,1.09,56.0,70.75,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000008,,000166.SZ,BUY,2021-09-29,2021-09-30,21600,21600,0,0,21600,5.49,5.53,29.86,0.0,2.39,216.0,248.25,FILLED,Top-K目标建仓/加仓,
ORD_000003_P8500,ORD_000003,002558.SZ,BUY,2021-09-29,2021-10-08,11500,8500,3000,0,5200,10.27,10.56,13.73,0.0,1.1,52.0,66.83,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000007,,688521.SH,BUY,2021-09-29,2021-10-08,1000,1000,0,0,200,67.81,68.27,5.0,0.0,0.27,14.0,19.27,FILLED,Top-K目标建仓/加仓,
ORD_000009,,603799.SH,SELL,2021-10-08,2021-10-11,700,700,0,0,700,101.79,102.5,17.94,71.75,1.44,70.0,161.13,FILLED,"触发跟踪止盈 (最高浮盈: 5.68%, 自高点回撤: 5.75%)",
ORD_000003,,002558.SZ,BUY,2021-09-29,2021-10-11,11500,11500,0,0,3000,10.27,10.79,8.09,0.0,0.65,30.0,38.74,FILLED,Top-K目标建仓/加仓,
ORD_000010_P7300,ORD_000010,600515.SH,SELL,2021-10-11,2021-10-12,10200,7300,2900,0,7300,10.38,10.18,18.58,74.31,1.49,73.0,167.38,PARTIALLY_FILLED,触发个股硬止损 (浮亏: -9.03% <= -8.0%),
ORD_000010,,600515.SH,SELL,2021-10-11,2021-10-13,10200,10200,0,0,2900,10.38,10.19,7.39,29.55,0.59,29.0,66.53,FILLED,触发个股硬止损 (浮亏: -9.03% <= -8.0%),
ORD_000011,,601919.SH,SELL,2021-10-15,2021-10-18,7100,7100,0,0,7100,15.05,15.11,26.82,107.28,2.15,142.0,278.25,FILLED,触发个股硬止损 (浮亏: -11.31% <= -8.0%),
ORD_000012_P6200,ORD_000012,002558.SZ,SELL,2021-10-18,2021-10-19,11500,6200,5300,0,6200,10.26,10.19,15.79,63.18,1.26,62.0,142.23,PARTIALLY_FILLED,"触发跟踪止盈 (最高浮盈: 7.12%, 自高点回撤: 9.12%)",
ORD_000012_P11200,ORD_000012,002558.SZ,SELL,2021-10-18,2021-10-20,11500,11200,300,0,5000,10.26,10.18,12.72,50.9,1.02,50.0,114.64,PARTIALLY_FILLED,"触发跟踪止盈 (最高浮盈: 7.12%, 自高点回撤: 9.12%)",
ORD_000012,,002558.SZ,SELL,2021-10-18,2021-10-21,11500,11500,0,0,300,10.26,10.04,5.0,3.01,0.06,3.0,11.07,FILLED,"触发跟踪止盈 (最高浮盈: 7.12%, 自高点回撤: 9.12%)",
ORD_000013,,601838.SH,SELL,2021-10-20,2021-10-21,5700,5700,0,0,5700,12.31,12.45,17.74,70.97,1.42,57.0,147.13,FILLED,"触发跟踪止盈 (最高浮盈: 5.82%, 自高点回撤: 5.96%)",
ORD_000014,,688521.SH,SELL,2021-10-27,2021-10-28,1000,1000,0,0,1000,60.99,60.24,15.06,60.24,1.2,60.0,136.5,FILLED,触发个股硬止损 (浮亏: -10.67% <= -8.0%),
ORD_000015,,000166.SZ,SELL,2021-11-03,2021-11-04,21600,21600,0,0,21600,5.32,5.36,28.94,115.78,2.32,216.0,363.04,FILLED,调仓剔除(掉出Top-K),
ORD_000016,,600926.SH,SELL,2021-11-03,2021-11-04,4600,4600,0,0,4600,14.61,14.64,16.84,67.34,1.35,46.0,131.53,FILLED,调仓剔除(掉出Top-K),
ORD_000017_P7700,ORD_000017,002558.SZ,BUY,2021-11-03,2021-11-04,11200,7700,3500,0,7700,10.09,10.0,19.25,0.0,1.54,77.0,97.79,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000018_P2600,ORD_000018,000999.SZ,BUY,2021-11-03,2021-11-04,4700,2600,2100,0,2600,24.08,24.15,15.7,0.0,1.26,52.0,68.96,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P2800,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-04,30500,2800,27700,0,2800,3.71,3.72,5.0,0.0,0.21,0.0,5.21,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000020,,601838.SH,BUY,2021-11-03,2021-11-04,9100,9100,0,0,9100,12.37,12.41,28.23,0.0,2.26,91.0,121.49,FILLED,Top-K目标建仓/加仓,
ORD_000021,,688981.SH,BUY,2021-11-03,2021-11-04,1900,1900,0,0,1900,56.99,57.04,27.09,0.0,2.17,114.0,143.26,FILLED,Top-K目标建仓/加仓,
ORD_000022,,000001.SZ,BUY,2021-11-03,2021-11-04,6200,6200,0,0,6200,18.03,18.1,28.06,0.0,2.24,124.0,154.3,FILLED,Top-K目标建仓/加仓,
ORD_000023,,000002.SZ,BUY,2021-11-03,2021-11-04,6200,6200,0,0,6200,18.05,18.03,27.95,0.0,2.24,124.0,154.19,FILLED,Top-K目标建仓/加仓,
ORD_000024,,000063.SZ,BUY,2021-11-03,2021-11-04,3600,3600,0,0,3600,31.08,31.23,28.11,0.0,2.25,108.0,138.36,FILLED,Top-K目标建仓/加仓,
ORD_000017,,002558.SZ,BUY,2021-11-03,2021-11-05,11200,11200,0,0,3500,10.09,10.4,9.1,0.0,0.73,35.0,44.83,FILLED,Top-K目标建仓/加仓,
ORD_000018,,000999.SZ,BUY,2021-11-03,2021-11-05,4700,4700,0,0,2100,24.08,24.08,12.64,0.0,1.01,42.0,55.65,FILLED,Top-K目标建仓/加仓,
ORD_000019_P6200,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-05,30500,6200,24300,0,3400,3.71,3.73,5.0,0.0,0.25,0.0,5.25,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P8700,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-08,30500,8700,21800,0,2500,3.71,3.71,5.0,0.0,0.19,0.0,5.19,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P11500,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-09,30500,11500,19000,0,2800,3.71,3.71,5.0,0.0,0.21,0.0,5.21,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P15700,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-10,30500,15700,14800,0,4200,3.71,3.71,5.0,0.0,0.31,0.0,5.31,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P19800,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-11,30500,19800,10700,0,4100,3.71,3.69,5.0,0.0,0.3,0.0,5.3,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P22200,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-12,30500,22200,8300,0,2400,3.71,3.73,5.0,0.0,0.18,0.0,5.18,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000025,,688981.SH,SELL,2021-11-12,2021-11-15,1900,1900,0,0,1900,56.16,56.1,26.65,106.59,2.13,114.0,249.37,FILLED,"触发跟踪止盈 (最高浮盈: 5.49%, 自高点回撤: 6.66%)",
ORD_000026,,000002.SZ,SELL,2021-11-12,2021-11-15,6200,6200,0,0,6200,19.76,19.54,30.29,121.15,2.42,124.0,277.86,FILLED,"触发跟踪止盈 (最高浮盈: 15.59%, 自高点回撤: 5.18%)",
ORD_000019_P25100,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-15,30500,25100,5400,0,2900,3.71,3.72,5.0,0.0,0.22,0.0,5.22,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019_P29900,ORD_000019,601018.SH,BUY,2021-11-03,2021-11-16,30500,29900,600,0,4800,3.71,3.75,5.0,0.0,0.36,0.0,5.36,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000019,,601018.SH,BUY,2021-11-03,2021-11-17,30500,30500,0,0,600,3.71,3.77,5.0,0.0,0.05,0.0,5.05,FILLED,Top-K目标建仓/加仓,
ORD_000027_P7800,ORD_000027,002558.SZ,SELL,2021-11-18,2021-11-19,11200,7800,3400,0,7800,11.0,10.99,21.43,85.72,1.71,78.0,186.86,PARTIALLY_FILLED,"触发跟踪止盈 (最高浮盈: 16.44%, 自高点回撤: 6.70%)",
ORD_000027,,002558.SZ,SELL,2021-11-18,2021-11-22,11200,11200,0,0,3400,11.0,10.97,9.32,37.3,0.75,34.0,81.37,FILLED,"触发跟踪止盈 (最高浮盈: 16.44%, 自高点回撤: 6.70%)",
ORD_000028_P7300,ORD_000028,601838.SH,SELL,2021-11-26,2021-11-29,9100,7300,1800,0,7300,11.36,11.29,20.6,82.42,1.65,73.0,177.67,PARTIALLY_FILLED,触发个股硬止损 (浮亏: -8.46% <= -8.0%),
ORD_000029,,000063.SZ,SELL,2021-11-26,2021-11-29,3600,3600,0,0,3600,31.22,30.82,27.74,110.95,2.22,108.0,248.91,FILLED,"触发跟踪止盈 (最高浮盈: 5.32%, 自高点回撤: 5.08%)",
ORD_000028,,601838.SH,SELL,2021-11-26,2021-11-30,9100,9100,0,0,1800,11.36,11.26,5.07,20.27,0.41,18.0,43.75,FILLED,触发个股硬止损 (浮亏: -8.46% <= -8.0%),
ORD_000030,,000001.SZ,SELL,2021-12-01,2021-12-02,6200,6200,0,0,6200,17.64,17.6,27.28,109.12,2.18,124.0,262.58,FILLED,调仓剔除(掉出Top-K),
ORD_000031_P12300,ORD_000031,601018.SH,SELL,2021-12-01,2021-12-02,30500,12300,18200,0,12300,3.73,3.72,11.44,45.76,0.92,0.0,58.12,PARTIALLY_FILLED,调仓剔除(掉出Top-K),
ORD_000040,,000999.SZ,SELL,2021-12-01,2021-12-02,700,700,0,0,700,24.76,25.96,5.0,18.17,0.36,21.0,44.53,FILLED,Top-K目标再平衡减仓,
ORD_000032,,688521.SH,BUY,2021-12-01,2021-12-02,700,700,0,0,700,76.29,76.37,13.36,0.0,1.07,56.0,70.43,FILLED,Top-K目标建仓/加仓,
ORD_000033,,688396.SH,BUY,2021-12-01,2021-12-02,700,700,0,0,700,71.68,71.46,12.51,0.0,1.0,49.0,62.51,FILLED,Top-K目标建仓/加仓,
ORD_000034,,603369.SH,BUY,2021-12-01,2021-12-02,1700,1700,0,0,1700,56.46,56.49,24.01,0.0,1.92,102.0,127.93,FILLED,Top-K目标建仓/加仓,
ORD_000035,,603392.SH,BUY,2021-12-01,2021-12-02,200,200,0,0,200,238.1,237.57,11.88,0.0,0.95,48.0,60.83,FILLED,Top-K目标建仓/加仓,
ORD_000036,,603260.SH,BUY,2021-12-01,2021-12-02,300,300,0,0,300,144.6,142.59,10.69,0.0,0.86,42.0,53.55,FILLED,Top-K目标建仓/加仓,
ORD_000037,,603019.SH,BUY,2021-12-01,2021-12-02,3600,3600,0,0,3600,27.96,27.95,25.16,0.0,2.01,108.0,135.17,FILLED,Top-K目标建仓/加仓,
ORD_000038,,601919.SH,BUY,2021-12-01,2021-12-02,5900,5900,0,0,5900,17.09,17.12,25.25,0.0,2.02,118.0,145.27,FILLED,Top-K目标建仓/加仓,
ORD_000039,,601985.SH,BUY,2021-12-01,2021-12-02,7700,7700,0,0,7700,7.1,7.08,13.63,0.0,1.09,77.0,91.72,FILLED,Top-K目标建仓/加仓,
ORD_000031,,601018.SH,SELL,2021-12-01,2021-12-03,30500,30500,0,0,18200,3.73,4.18,19.02,76.08,1.52,0.0,96.62,FILLED,调仓剔除(掉出Top-K),
ORD_000041,,601919.SH,SELL,2021-12-14,2021-12-15,5900,5900,0,0,5900,18.13,17.98,26.52,106.08,2.12,118.0,252.72,FILLED,"触发跟踪止盈 (最高浮盈: 16.00%, 自高点回撤: 8.71%)",
ORD_000042,,688521.SH,SELL,2021-12-15,2021-12-16,700,700,0,0,700,82.9,82.72,14.48,57.9,1.16,56.0,129.54,FILLED,"触发跟踪止盈 (最高浮盈: 15.60%, 自高点回撤: 6.09%)",
ORD_000043,,603369.SH,SELL,2021-12-15,2021-12-16,1700,1700,0,0,1700,60.12,59.6,25.33,101.32,2.03,102.0,230.68,FILLED,"触发跟踪止盈 (最高浮盈: 12.20%, 自高点回撤: 5.14%)",
ORD_000044,,688396.SH,SELL,2021-12-17,2021-12-20,700,700,0,0,700,64.55,64.84,11.35,45.39,0.91,42.0,99.65,FILLED,触发个股硬止损 (浮亏: -9.67% <= -8.0%),
ORD_000045,,603392.SH,SELL,2021-12-17,2021-12-20,200,200,0,0,200,231.2,232.77,11.64,46.55,0.93,46.0,105.12,FILLED,"触发跟踪止盈 (最高浮盈: 5.86%, 自高点回撤: 8.07%)",
ORD_000046,,601985.SH,SELL,2021-12-20,2021-12-21,7700,7700,0,0,7700,7.33,7.34,14.13,56.52,1.13,77.0,148.78,FILLED,"触发跟踪止盈 (最高浮盈: 11.58%, 自高点回撤: 7.22%)",
ORD_000047,,603260.SH,SELL,2021-12-24,2021-12-27,300,300,0,0,300,127.5,126.35,9.48,37.91,0.76,39.0,87.15,FILLED,触发个股硬止损 (浮亏: -10.58% <= -8.0%),
ORD_000048,,000999.SZ,SELL,2021-12-29,2021-12-30,4000,4000,0,0,4000,31.21,31.48,31.48,125.92,2.52,120.0,279.92,FILLED,"触发跟踪止盈 (最高浮盈: 43.70%, 自高点回撤: 9.93%)",
ORD_000049,,600989.SH,BUY,2021-12-29,2021-12-30,2600,2600,0,0,2600,17.8,17.81,11.58,0.0,0.93,52.0,64.51,FILLED,Top-K目标建仓/加仓,
ORD_000050,,688521.SH,BUY,2021-12-29,2021-12-30,600,600,0,0,600,74.48,74.55,11.18,0.0,0.89,42.0,54.07,FILLED,Top-K目标建仓/加仓,
ORD_000051,,688303.SH,BUY,2021-12-29,2021-12-30,700,700,0,0,700,59.33,58.89,10.31,0.0,0.82,42.0,53.13,FILLED,Top-K目标建仓/加仓,
