exit_deferred_days,count,ratio
0.0,342678,0.9808202553673804
1.0,75,0.00021466659415706152
2.0,42,0.00012021329272795446
3.0,39,0.000111626628961672
4.0,39,0.000111626628961672
5.0,38,0.0001087644077062445
6.0,35,0.00010017774393996204
7.0,27,7.727997389654215e-05
8.0,26,7.441775264111466e-05
9.0,26,7.441775264111466e-05
10.0,25,7.155553138568718e-05
11.0,4,1.1448885021709948e-05
12.0,4,1.1448885021709948e-05
13.0,3,8.586663766282461e-06
14.0,3,8.586663766282461e-06
15.0,3,8.586663766282461e-06
16.0,3,8.586663766282461e-06
17.0,3,8.586663766282461e-06
18.0,2,5.724442510854974e-06
19.0,2,5.724442510854974e-06
20.0,2,5.724442510854974e-06
,6300,0.01803199390919317
