fold,test_start,test_end,common_rankic_dates,legacy_mean_rankic,execution_mean_rankic,execution_minus_legacy,execution_wins
1,2023-07-03,2023-08-25,40,0.15872297588898104,0.15363000425358045,-0.005092971635400595,False
2,2023-08-28,2023-10-30,40,0.036151985868965696,0.034852699477774904,-0.0012992863911907918,False
3,2023-10-31,2023-12-25,40,0.12157915746543617,0.1236543200739955,0.0020751626085593333,True
4,2023-12-26,2024-02-28,40,0.037289600155691036,0.042658658633112315,0.005369058477421279,True
5,2024-02-29,2024-04-26,40,0.1030459216599311,0.1070989931016956,0.004053071441764505,True
6,2024-04-29,2024-06-27,40,0.11522767547974674,0.11255144316966881,-0.002676232310077936,False
7,2024-06-28,2024-08-22,40,0.1176305581429042,0.11714186248942964,-0.0004886956534745635,False
8,2024-08-23,2024-10-28,40,-0.056861996749971846,-0.06126652145555045,-0.004404524705578602,False
9,2024-10-29,2024-12-23,40,0.20498722296979338,0.2004635257755683,-0.004523697194225074,False
10,2024-12-24,2025-02-26,40,-0.016483052749413835,-0.011793724024562533,0.004689328724851302,True
11,2025-02-27,2025-04-24,40,0.13310986800996888,0.1327828427835101,-0.00032702522645877696,False
12,2025-04-25,2025-06-25,40,-0.03947207722691304,-0.039832846546036305,-0.0003607693191232664,False
13,2025-06-26,2025-08-20,40,-0.09253936313937529,-0.11644985037165431,-0.023910487232279024,False
14,2025-08-21,2025-10-23,40,-0.013298305969265484,0.02328921489275415,0.036587520862019635,True
15,2025-10-24,2025-12-18,40,0.042738687909271475,0.04274877840770457,1.0090498433097672e-05,True
16,2025-12-19,2026-02-24,40,-0.003876400513541599,0.0003684812177370187,0.004244881731278617,True
17,2026-02-25,2026-04-22,40,-0.027224511837655573,-0.03012577019475114,-0.0029012583570955652,False
18,2026-04-23,2026-06-23,40,-0.07102898359073852,-0.08477446770117078,-0.013745484110432263,False
19,2026-06-24,2026-08-18,23,0.10992754159618646,0.14482622564088551,0.03489868404469905,True
20,2026-08-19,2026-08-24,0,,,,False
