fold,test_start,test_end,common_rankic_dates,valid_comparison,clf_mean_rankic,reg_mean_rankic,rank_mean_rankic,reg_minus_clf,rank_minus_clf,reg_wins_vs_clf,rank_wins_vs_clf
1,2023-07-03,2023-08-25,40,True,0.15986328823498228,0.08755993610362534,0.0923285482058277,-0.07230335213135694,-0.06753474002915458,False,False
2,2023-08-28,2023-10-30,40,True,0.030208714193414355,0.08399016274734687,0.11647952174873981,0.05378144855393252,0.08627080755532546,True,True
3,2023-10-31,2023-12-25,40,True,0.11803749006145252,0.09257184683855876,0.06355058110666545,-0.025465643222893755,-0.05448690895478707,False,False
4,2023-12-26,2024-02-28,40,True,0.03938675794471318,0.00850708541992259,-0.026482657174831437,-0.030879672524790586,-0.06586941511954461,False,False
5,2024-02-29,2024-04-26,40,True,0.08634502896307132,0.04708997584623074,0.09105493128391196,-0.039255053116840584,0.004709902320840634,False,True
6,2024-04-29,2024-06-27,40,True,0.11210400404978146,0.062179432037533434,0.050587146325957254,-0.04992457201224803,-0.06151685772382421,False,False
7,2024-06-28,2024-08-22,40,True,0.11349434504186533,0.09885900661850837,0.14458400082591877,-0.014635338423356958,0.03108965578405344,False,True
8,2024-08-23,2024-10-28,40,True,-0.06051869876634196,0.11716999512046691,-0.06250815708367471,0.17768869388680886,-0.001989458317332757,True,False
9,2024-10-29,2024-12-23,40,True,0.19975768685959958,0.15861250161727797,0.1721853924603153,-0.04114518524232161,-0.02757229439928427,False,False
10,2024-12-24,2025-02-26,40,True,-0.011148387200806376,-0.07305327172352864,0.0038964117438459595,-0.06190488452272227,0.015044798944652335,False,True
11,2025-02-27,2025-04-24,40,True,0.14164648435330282,0.05251943441031569,0.06571314233703801,-0.08912704994298713,-0.07593334201626481,False,False
12,2025-04-25,2025-06-25,40,True,-0.0489860709509853,0.03678568767159601,-0.05592655305437062,0.08577175862258131,-0.006940482103385326,True,False
13,2025-06-26,2025-08-20,40,True,-0.09792378662485274,0.02711477976087,-0.049166837514622065,0.12503856638572275,0.04875694911023067,True,True
14,2025-08-21,2025-10-23,40,True,0.017653498514798423,0.032090662796393686,-0.010527318855386112,0.014437164281595263,-0.028180817370184533,True,False
15,2025-10-24,2025-12-18,40,True,0.04455656435824977,0.004305707514676904,0.009696511199292804,-0.040250856843572866,-0.03486005315895697,False,False
16,2025-12-19,2026-02-24,40,True,-0.005278551367567312,-0.02585354732810436,0.02360864440999653,-0.020574995960537048,0.028887195777563844,False,True
17,2026-02-25,2026-04-22,40,True,-0.030331237607135565,0.03551945643069178,-0.021174420051706347,0.06585069403782734,0.009156817555429218,True,True
18,2026-04-23,2026-06-23,40,True,-0.08156471702515711,-0.022052503476331503,-0.030397496548882498,0.059512213548825604,0.05116722047627461,True,True
19,2026-06-24,2026-08-18,23,True,0.14623634884928338,0.07595139129273566,0.16656909571164094,-0.07028495755654772,0.02033274686235756,False,True
20,2026-08-19,2026-08-24,0,False,,,,,,False,False
