factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
KMID,0.7659,0.001192,0.0403,0.074173,-0.114402,-0.398316,-0.591453
KLEN,0.494,0.00015,-0.7251,-0.101795,-0.207,-0.382002,-0.518502
KMID2,0.7869,0.000816,-0.3732,-0.022015,-0.198023,-0.460965,-0.637924
KUP,0.6966,0.000168,-0.9733,-0.146685,-0.284195,-0.496492,-0.645999
KLOW,0.7237,0.000684,-0.4185,-0.037849,-0.198342,-0.4437,-0.614168
KSFT,0.7493,0.00148,0.3183,0.156429,-0.04255,-0.343968,-0.550751
ROC5,0.3552,0.000667,0.1259,0.043853,-0.045528,-0.202061,-0.333008
MAX_RATIO_5,0.4898,0.000499,-0.2262,-0.03087,-0.14345,-0.331017,-0.477638
MIN_RATIO_5,0.4709,0.000615,-0.0963,0.008018,-0.104807,-0.294105,-0.443498
MA_RATIO_5,0.432,0.000709,0.058,0.035833,-0.071031,-0.252927,-0.399321
ROC10,0.2584,0.000696,0.2803,0.075153,0.00738,-0.115663,-0.22373
MAX_RATIO_10,0.3593,0.000581,0.0423,0.02584,-0.062983,-0.218298,-0.347955
MIN_RATIO_10,0.3457,0.000503,-0.017,0.012898,-0.07163,-0.220183,-0.345044
MA_RATIO_10,0.2997,0.000756,0.2886,0.082907,0.004148,-0.136662,-0.257793
ROC20,0.1915,0.000925,0.5999,0.161697,0.107,0.005183,-0.087303
MAX_RATIO_20,0.2626,0.000603,0.2124,0.057243,-0.010448,-0.133151,-0.240692
MIN_RATIO_20,0.2496,0.000514,0.1551,0.042229,-0.021307,-0.137036,-0.239128
MA_RATIO_20,0.2129,0.000836,0.4975,0.131205,0.072126,-0.036968,-0.135002
ROC30,0.1629,0.000908,0.6042,0.162546,0.115813,0.027887,-0.053137
MAX_RATIO_30,0.2186,0.000686,0.3614,0.091086,0.032614,-0.075132,-0.171675
MIN_RATIO_30,0.2065,0.00044,0.1485,0.03546,-0.017037,-0.114208,-0.201808
MA_RATIO_30,0.1801,0.000962,0.667,0.177651,0.125431,0.02781,-0.061374
ROC60,0.1261,0.00096,0.7559,0.194755,0.157409,0.086171,0.019301
MAX_RATIO_60,0.117,0.001128,0.8232,0.237846,0.201898,0.133092,0.06821
MIN_RATIO_60,0.1467,0.000413,0.2189,0.043938,0.006048,-0.065672,-0.132298
MA_RATIO_60,0.1374,0.001034,0.7744,0.210286,0.169127,0.090945,0.017971
ROC120,0.0981,0.000714,0.5508,0.130141,0.102559,0.049392,-0.001222
MAX_RATIO_120,0.1411,0.000565,0.3344,0.07484,0.037299,-0.03391,-0.100249
MIN_RATIO_120,0.1115,0.000531,0.413,0.085086,0.055032,-0.002612,-0.057118
MA_RATIO_120,0.1037,0.00089,0.69,0.177271,0.146908,0.088503,0.033062
ROC250,0.0699,0.001052,0.7311,0.215288,0.194084,0.152775,0.11289
MAX_RATIO_250,0.1077,0.000746,0.5572,0.135071,0.104696,0.046354,-0.008918
MIN_RATIO_250,0.0799,0.000308,0.2029,0.031595,0.011034,-0.028872,-0.067209
MA_RATIO_250,0.08,0.000675,0.5371,0.124126,0.10169,0.058145,0.016315
STD5,0.2794,0.000228,-0.2192,-0.035918,-0.101497,-0.219622,-0.322271
STD10,0.159,0.000443,0.2516,0.052376,0.011047,-0.066824,-0.138719
STD20,0.1015,0.000393,0.3031,0.05539,0.028737,-0.022573,-0.071334
STD30,0.0799,0.000373,0.32,0.056177,0.03512,-0.00575,-0.045011
STD60,0.0583,0.000508,0.5246,0.09809,0.082085,0.050771,0.020359
STD120,0.0497,0.000343,0.3266,0.05443,0.041315,0.015569,-0.009543
STD250,0.0431,0.00058,0.6255,0.121485,0.109383,0.085568,0.062262
ATR_RATIO_5,0.1612,0.000326,0.1041,0.021721,-0.018962,-0.09555,-0.166181
ATR_RATIO_20,0.0741,0.000455,0.4289,0.079152,0.059191,0.020366,-0.017041
ATR_RATIO_60,0.0579,0.000379,0.3606,0.062376,0.046995,0.016895,-0.012343
ROC_STD_20,0.2018,0.000602,0.302,0.073043,0.01983,-0.078839,-0.167996
ROC_STD_60,0.1308,0.000662,0.4935,0.11226,0.076201,0.007539,-0.056759
ROC_STD_120,0.1018,0.000565,0.4359,0.093094,0.065417,0.012138,-0.038486
ROC_STD_250,0.0773,0.001088,0.752,0.224461,0.200849,0.154977,0.110851
MOM_ACC_20_60,0.0611,0.00085,0.7095,0.177369,0.159385,0.124234,0.090144
MOM_ACC_60_120,0.0431,0.000677,0.5921,0.13496,0.122713,0.098613,0.075028
VMA_RATIO_5,0.679,0.000957,-0.0572,0.035075,-0.127756,-0.380817,-0.560664
VSTD_5,0.4073,0.00056,-0.0499,0.00571,-0.092425,-0.260994,-0.398356
VMA_RATIO_10,0.5898,0.001142,0.2343,0.107265,-0.045656,-0.291243,-0.473817
VSTD_10,0.2496,0.000618,0.2292,0.060087,-0.004545,-0.122268,-0.226118
VMA_RATIO_20,0.5213,0.001187,0.3742,0.140287,-7.5e-05,-0.23125,-0.409141
VSTD_20,0.1565,0.000772,0.4987,0.127022,0.083451,0.001279,-0.074684
VMA_RATIO_60,0.4342,0.000471,-0.1845,-0.019813,-0.121434,-0.294262,-0.4332
VSTD_60,0.0841,0.000967,0.7944,0.206568,0.181282,0.132285,0.085312
CORR_PV_5,0.4362,0.00071,0.0567,0.039842,-0.068417,-0.252403,-0.400168
WVMA_5,0.2821,0.000201,-0.2676,-0.040961,-0.106806,-0.22529,-0.328112
CORR_PV_10,0.2735,0.000946,0.5487,0.150464,0.073858,-0.064444,-0.184995
WVMA_10,0.1788,0.000436,0.1979,0.043502,-0.002476,-0.088464,-0.167067
CORR_PV_20,0.1656,0.000846,0.607,0.152034,0.104967,0.016504,-0.064903
WVMA_20,0.1171,0.000575,0.4691,0.097611,0.065706,0.004641,-0.052938
TURNOVER_SURGE_5,0.6888,0.000928,-0.1008,0.026671,-0.136989,-0.390422,-0.569638
TURNOVER_SURGE_20,0.5313,0.001178,0.3517,0.134625,-0.007552,-0.240852,-0.419475
TURNOVER_STD_20,0.078,0.000666,0.5829,0.128575,0.106604,0.06393,0.022896
AMOUNT_RATIO_5_20,0.2072,0.000481,0.1676,0.037992,-0.014815,-0.112536,-0.200598
LIMIT_UP_SPACE,0.5463,0.00013,-0.7228,-0.124869,-0.23752,-0.421316,-0.56094
IS_LIMIT_UP_LAG1,0.4472,-0.00148,-2.2541,-0.4024,-0.466236,-0.574244,-0.660465
IS_LIMIT_DOWN_LAG1,0.6778,0.004198,1.8936,1.239417,0.888632,0.342833,-0.045676
UPPER_SHADOW_RATIO,0.7845,0.000829,-0.3381,-0.021406,-0.19705,-0.459673,-0.636625
LOWER_SHADOW_RATIO,0.7881,0.000382,-0.8391,-0.122467,-0.280673,-0.516889,-0.67574
ENTITY_RATIO,0.7914,0.000621,-0.5686,-0.071022,-0.239118,-0.489806,-0.658117
INTRADAY_CLOSE_LOC,0.7809,0.000842,-0.3257,-0.016242,-0.192061,-0.455299,-0.632997
LOG_CIRC_MV,0.0303,0.001173,1.0529,0.2875,0.277719,0.25838,0.239331
EFFICIENCY_RATIO_10,0.3582,0.000602,0.0609,0.02705,-0.061609,-0.216705,-0.346251
AMIHUD_20,0.0542,0.000956,0.8719,0.216741,0.200255,0.167949,0.136509
AMIHUD_20_LN,0.0542,0.000956,0.8719,0.216741,0.200255,0.167949,0.136509
ALPHA_RESIDUAL_MOMENTUM_20,0.1945,0.000934,0.6098,0.164194,0.108529,0.005027,-0.088846
ALPHA_TURNOVER_SURPRISE_5_20,0.2205,0.000941,0.5698,0.156761,0.094263,-0.02082,-0.123843
ALPHA_QUALITY_X_MOMENTUM,0.185,0.000815,0.5034,0.131441,0.079912,-0.016238,-0.103858
ALPHA_LIQUIDITY_X_VOL,0.0705,0.001126,0.8975,0.25399,0.231939,0.188989,0.147531
ALPHA_SHORT_REVERSAL_5,0.3727,0.000556,-0.0024,0.01067,-0.079944,-0.237609,-0.368344
ALPHA_IDIO_VOL_PENALTY,0.0987,0.000523,0.4635,0.09047,0.063695,0.012092,-0.037017
ALPHA_MONEY_FLOW_DIV_10,0.1217,0.001386,1.1665,0.32996,0.289823,0.213133,0.140985
