factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
KMID,1D,-0.0221,-5.9909,0.0,0.0
KMID,3D,-0.0092,-2.4428,0.01472,0.05319
KMID,5D,-0.0071,-1.9929,0.046498,0.109258
KMID,10D,-0.0034,-0.9419,0.346433,0.496554
KMID,20D,-0.0039,-1.0288,0.303781,0.450941
KLEN,1D,-0.0169,-4.4308,1e-05,0.000205
KLEN,3D,-0.0212,-4.0728,5e-05,0.000524
KLEN,5D,-0.0184,-2.7521,0.006011,0.026375
KLEN,10D,-0.0187,-2.0049,0.045198,0.107973
KLEN,20D,-0.0274,-2.1172,0.034454,0.093177
KMID2,1D,-0.0168,-4.6997,3e-06,9.9e-05
KMID2,3D,-0.0056,-1.5351,0.125028,0.224946
KMID2,5D,-0.0031,-0.8832,0.377286,0.524989
KMID2,10D,0.0002,0.0564,0.955054,0.99678
KMID2,20D,-0.0007,-0.1815,0.856019,0.927232
KUP,1D,-0.0077,-2.4328,0.015129,0.054212
KUP,3D,-0.0117,-3.2336,0.001256,0.008309
KUP,5D,-0.008,-1.9137,0.055896,0.122629
KUP,10D,-0.0073,-1.2975,0.194695,0.314991
KUP,20D,-0.0145,-1.9006,0.057597,0.125128
KLOW,1D,-0.0126,-4.1804,3.1e-05,0.00036
KLOW,3D,-0.0104,-2.9844,0.002899,0.015019
KLOW,5D,-0.0075,-1.9661,0.049523,0.113271
KLOW,10D,-0.0085,-1.8444,0.065377,0.135807
KLOW,20D,-0.0146,-2.3226,0.020371,0.066634
KSFT,1D,-0.0232,-6.1117,0.0,0.0
KSFT,3D,-0.0072,-1.9159,0.055612,0.122629
KSFT,5D,-0.0054,-1.4771,0.139922,0.246825
KSFT,10D,-0.0027,-0.7067,0.479881,0.6272
KSFT,20D,-0.0026,-0.6558,0.512069,0.654522
ROC5,1D,-0.014,-3.6403,0.000284,0.002304
ROC5,3D,-0.0074,-1.4423,0.149489,0.25264
ROC5,5D,-0.006,-0.9384,0.348228,0.497321
ROC5,10D,-0.0048,-0.656,0.511951,0.654522
ROC5,20D,-0.0078,-0.9931,0.320878,0.469311
MAX_RATIO_5,1D,0.0063,1.6813,0.09296,0.177657
MAX_RATIO_5,3D,-0.0069,-1.439,0.150409,0.25264
MAX_RATIO_5,5D,-0.008,-1.4567,0.145464,0.250198
MAX_RATIO_5,10D,-0.0088,-1.3123,0.189667,0.312114
MAX_RATIO_5,20D,-0.0102,-1.4482,0.147836,0.25226
MIN_RATIO_5,1D,0.0167,4.8388,1e-06,4.3e-05
MIN_RATIO_5,3D,0.0122,2.8428,0.004548,0.021665
MIN_RATIO_5,5D,0.0113,2.3182,0.02061,0.066634
MIN_RATIO_5,10D,0.0086,1.6142,0.106753,0.199285
MIN_RATIO_5,20D,0.0132,1.8851,0.059657,0.128263
MA_RATIO_5,1D,0.0146,3.8218,0.000139,0.00122
MA_RATIO_5,3D,0.0062,1.3063,0.191688,0.313406
MA_RATIO_5,5D,0.0056,1.0281,0.304123,0.450941
MA_RATIO_5,10D,0.0031,0.4954,0.620412,0.745188
MA_RATIO_5,20D,0.0044,0.6538,0.513358,0.654522
ROC10,1D,-0.0105,-2.5382,0.01127,0.044759
ROC10,3D,-0.009,-1.5438,0.122907,0.222059
ROC10,5D,-0.0075,-1.0645,0.287334,0.433521
ROC10,10D,-0.0057,-0.651,0.515201,0.654522
ROC10,20D,-0.0138,-1.2971,0.194855,0.314991
MAX_RATIO_10,1D,-0.0007,-0.1821,0.855537,0.927232
MAX_RATIO_10,3D,-0.0104,-1.8906,0.058923,0.127321
MAX_RATIO_10,5D,-0.0085,-1.2686,0.204829,0.328644
MAX_RATIO_10,10D,-0.0082,-0.9814,0.326603,0.473767
MAX_RATIO_10,20D,-0.0099,-1.0423,0.297509,0.446204
MIN_RATIO_10,1D,0.018,5.0124,1e-06,4.3e-05
MIN_RATIO_10,3D,0.0136,2.8402,0.004585,0.021665
MIN_RATIO_10,5D,0.0115,1.9789,0.048052,0.111688
MIN_RATIO_10,10D,0.0102,1.4494,0.147488,0.25226
MIN_RATIO_10,20D,0.017,1.7476,0.080793,0.160394
MA_RATIO_10,1D,0.0128,3.1706,0.00156,0.010012
MA_RATIO_10,3D,0.0067,1.219,0.2231,0.353996
MA_RATIO_10,5D,0.0069,1.0416,0.297815,0.446204
MA_RATIO_10,10D,0.0039,0.4916,0.623122,0.746358
MA_RATIO_10,20D,0.0082,0.9059,0.365185,0.511497
