factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
LOG_CIRC_MV,-0.0496,0.169,-0.2935,-1.042,0.3787,-10.0621,-2.7899,0.0,0.005358,0.111183
TURNOVER_STD_20,-0.0101,0.1685,-0.0598,-0.2122,0.4732,-2.0494,-0.5559,0.040641,0.578394,0.015019
VSTD_20,-0.0164,0.082,-0.1994,-0.7078,0.4187,-6.8352,-2.2065,0.0,0.02754,0.014096
MOM_ACC_20_60,-0.0158,0.1613,-0.0978,-0.3472,0.4834,-3.3533,-0.9446,0.000824,0.345032,0.025583
MA_RATIO_60,0.0094,0.1683,0.0557,0.1979,0.503,1.911,0.5482,0.05625,0.583674,0.041468
CORR_PV_10,-0.0154,0.0991,-0.155,-0.5501,0.4604,-5.312,-1.6994,0.0,0.089503,0.036827
CORR_PV_20,-0.0188,0.1051,-0.1794,-0.6366,0.4255,-6.148,-1.8646,0.0,0.062493,0.0481
ROC30,-0.0068,0.1615,-0.0419,-0.1487,0.4791,-1.4359,-0.422,0.151308,0.673123,0.040246
STD30,0.0092,0.2069,0.0446,0.1584,0.5013,1.5299,0.4199,0.126312,0.674623,0.063633
STD60,0.0096,0.2118,0.0454,0.161,0.5166,1.5547,0.4254,0.120294,0.670618,0.079814
ATR_RATIO_20,0.0127,0.2081,0.0611,0.2171,0.5217,2.0961,0.5745,0.036291,0.565735,0.082479
MIN_RATIO_60,-0.0063,0.1784,-0.0352,-0.1248,0.4868,-1.2056,-0.331,0.228222,0.740691,0.046975
WVMA_20,0.0119,0.1726,0.0691,0.2452,0.5285,2.3681,0.659,0.018041,0.509997,0.067153
ALPHA_IDIO_VOL_PENALTY,-0.0112,0.1971,-0.0569,-0.202,0.4894,-1.9508,-0.5365,0.051322,0.591683,0.084911
ALPHA_MONEY_FLOW_DIV_10,-0.0099,0.0724,-0.1373,-0.4874,0.4613,-4.7071,-1.2658,3e-06,0.205822,0.131315
STD20,0.0116,0.1988,0.0584,0.2075,0.5106,2.0035,0.5498,0.045355,0.582555,0.084911
MIN_RATIO_120,-0.0112,0.1889,-0.0595,-0.2112,0.4596,-2.0396,-0.5625,0.041615,0.573859,0.122629
CORR_PV_5,-0.0107,0.0853,-0.1259,-0.4469,0.4545,-4.3154,-1.7299,1.7e-05,0.083907,0.022215
ROC60,-0.0058,0.1703,-0.0341,-0.121,0.5277,-1.1689,-0.3336,0.242698,0.738721,0.091474
STD250,0.0089,0.2155,0.0414,0.147,0.5123,1.4192,0.3801,0.156094,0.703908,0.138499
ATR_RATIO_60,0.012,0.2003,0.0598,0.2124,0.514,2.0514,0.5677,0.040448,0.57037,0.112757
STD120,0.0108,0.2135,0.0507,0.1801,0.5123,1.7391,0.4719,0.082285,0.637064,0.118973
ATR_RATIO_5,0.0154,0.1933,0.0798,0.2834,0.5438,2.7369,0.7576,0.006296,0.448867,0.08914
STD10,0.013,0.1853,0.07,0.2485,0.5277,2.3997,0.6676,0.016565,0.504535,0.094439
STD5,0.0135,0.1641,0.0821,0.2913,0.526,2.8127,0.8163,0.004994,0.414499,0.103205
EFFICIENCY_RATIO_10,0.0195,0.087,0.2238,0.7945,0.5855,7.6726,3.9919,0.0,7e-05,0.005301
