factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
LOG_CIRC_MV,USEFUL,USEFUL,1.488,-1,20D,-0.0395,0.1818,-0.2175,-0.772,-7.4269,-2.0482,0.0,0.040761,0.109528,0.4245,-0.0507,0.1682,-0.3016,-1.0705,0.3739,-10.2977,-2.8405,0.0,0.004582,0.109528,-1.0,2.0952,0.004754,0.004727,3.4255,-0.6541,0.5797,2.181,2.2992,0.0177,2.1296,3.8921,1.0,0.5089,0.8333,VALID,-0.0637,-0.0624,-0.0174,1.0,0.0,0
MOM_ACC_20_60,STRONG,IN_SAMPLE_STRONG,1.0897,-1,20D,-0.0418,0.1458,-0.2864,-1.0167,-9.7807,-2.8634,0.0,0.004266,0.021847,0.3825,-0.0169,0.1613,-0.1049,-0.3724,0.4726,-3.5824,-1.0129,0.000355,0.311322,0.021847,-0.3,0.9603,0.002917,0.002857,2.3561,-0.6592,0.5527,1.0085,1.3132,0.0401,0.7521,2.0653,1.0,0.52,1.0,VALID,0.0063,-0.0782,-0.0443,0.9962,0.0038,12
TURNOVER_STD_20,STRONG,IN_SAMPLE_STRONG,0.9158,-1,20D,-0.0455,0.1462,-0.311,-1.104,-10.6201,-2.941,0.0,0.003336,0.019927,0.4039,-0.0092,0.17,-0.0538,-0.1911,0.4691,-1.8387,-0.4971,0.06621,0.619182,0.019927,0.1,0.3113,0.001276,0.001192,1.232,-0.6611,0.5527,0.5325,0.8605,0.0556,0.1223,0.4771,1.0,0.5278,0.8333,VALID,-0.0296,-0.0158,-0.0675,0.9989,0.0011,0
MA_RATIO_60,USEFUL,USEFUL,0.9119,1,20D,0.0384,0.1499,0.2558,0.908,8.7352,2.6014,0.0,0.009402,0.039933,0.584,0.0096,0.1679,0.0573,0.2032,0.5086,1.955,0.5636,0.050819,0.573135,0.039933,0.3,0.9117,0.002938,0.002763,2.2413,-0.687,0.5435,0.9589,1.3096,0.1166,0.7315,1.9657,1.0,0.5583,1.0,VALID,-0.008,0.0836,0.0357,0.9962,0.0038,10
VSTD_20,WEAK,WEAK,0.8944,-1,20D,-0.0194,0.0776,-0.2506,-0.8897,-8.5586,-2.8603,0.0,0.004308,0.021847,0.3877,-0.0147,0.081,-0.1811,-0.643,0.4262,-6.1856,-1.9903,0.0,0.046792,0.021847,-0.9,0.5991,0.002218,0.002007,1.8716,-0.6987,0.5485,0.6826,1.0152,0.1403,0.5171,2.1098,1.0,0.5702,1.0,VALID,-0.0117,-0.0161,-0.0245,0.9989,0.0011,0
CORR_PV_20,USEFUL,USEFUL,0.7968,-1,20D,-0.027,0.1126,-0.2399,-0.8515,-8.1908,-2.4058,0.0,0.016291,0.058279,0.4065,-0.0179,0.1059,-0.1686,-0.5984,0.4391,-5.756,-1.742,0.0,0.081773,0.058279,-0.6,0.7055,0.00247,0.002259,2.1434,-0.7085,0.5612,0.7199,1.0174,0.141,0.5934,2.2211,1.0,0.5705,0.8333,VALID,-0.0043,-0.0173,-0.0419,1.0,0.0,0
STD30,USEFUL,USEFUL,0.7903,-1,20D,-0.0443,0.1798,-0.2461,-0.8735,-8.4027,-2.3211,0.0,0.020455,0.069653,0.3962,0.0091,0.2073,0.0441,0.1566,0.5069,1.5062,0.4122,0.132275,0.680242,0.069653,0.2,0.4407,0.001622,0.001542,1.7909,-0.5561,0.5553,0.7827,1.4292,0.053,0.1521,0.509,1.0,0.5265,0.8333,VALID,-0.0369,0.0033,-0.0715,0.9982,0.0018,2
ROC30,REJECT,REJECT,0.7864,-1,20D,-0.035,0.144,-0.2429,-0.8622,-8.2945,-2.5842,0.0,0.009882,0.041525,0.416,-0.0061,0.161,-0.0378,-0.1341,0.4794,-1.2898,-0.3818,0.197388,0.702675,0.041525,-0.3,0.7707,0.002669,0.002452,2.0256,-0.7349,0.535,0.82,1.1779,0.1446,0.5948,1.7295,1.0,0.5723,1.0,VALID,0.0028,-0.0778,-0.0297,0.9982,0.0018,10
STD60,USEFUL,USEFUL,0.7762,-1,20D,-0.0441,0.1897,-0.2322,-0.8244,-7.9301,-2.1957,0.0,0.028308,0.089453,0.4005,0.0092,0.2129,0.0433,0.1536,0.5137,1.478,0.4026,0.139668,0.687312,0.089453,0.2,0.5087,0.001772,0.001726,2.0014,-0.59,0.5797,0.9304,1.7837,0.0304,0.2203,0.7067,1.0,0.5152,0.8333,VALID,-0.0384,0.0044,-0.071,0.9962,0.0038,17
CORR_PV_10,USEFUL,USEFUL,0.6833,-1,20D,-0.0255,0.1074,-0.2372,-0.8419,-8.0985,-2.5014,0.0,0.012506,0.04843,0.4117,-0.0141,0.0996,-0.1416,-0.5025,0.4666,-4.8339,-1.549,2e-06,0.121663,0.04843,-0.5,0.7047,0.002627,0.002254,2.164,-0.6493,0.5561,0.7589,1.1125,0.249,0.6648,2.4872,1.0,0.6245,0.8333,VALID,-0.0067,-0.0193,-0.0368,1.0,0.0,0
MIN_RATIO_60,USEFUL,USEFUL,0.6225,1,20D,0.0385,0.1504,0.2561,0.9092,8.7461,2.507,0.0,0.012311,0.04843,0.5849,-0.0059,0.1794,-0.033,-0.1172,0.4974,-1.127,-0.3101,0.259968,0.756558,0.04843,-0.2,0.447,0.001787,0.001589,1.6104,-0.6072,0.5359,0.5053,0.6794,0.1324,0.2875,0.9984,1.0,0.5662,0.8333,VALID,0.0009,0.0529,0.0477,0.9962,0.0038,11
ATR_RATIO_20,REJECT,REJECT,0.6046,-1,20D,-0.0408,0.18,-0.2268,-0.8052,-7.7462,-2.1525,0.0,0.031563,0.095747,0.4082,0.0132,0.2088,0.0634,0.2251,0.5274,2.1655,0.5915,0.03055,0.554322,0.095747,0.1,0.3993,0.001495,0.001422,1.6921,-0.5184,0.5502,0.7081,1.1292,0.0487,0.127,0.4371,1.0,0.5243,0.8333,VALID,-0.0366,0.0004,-0.0635,0.9988,0.0012,2
