factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
KMID,-0.0036,-0.005,-0.0014,1187,1166,21,294.2,279,300,REAL_CALCULATED
KLEN,-0.0271,-0.0102,0.0169,1187,1166,21,294.2,279,300,REAL_CALCULATED
KMID2,0.0,-0.0016,-0.0017,1187,1166,21,294.2,279,300,REAL_CALCULATED
KUP,-0.0146,-0.0053,0.0093,1187,1166,21,294.2,279,300,REAL_CALCULATED
KLOW,-0.0141,-0.0085,0.0055,1187,1166,21,294.2,279,300,REAL_CALCULATED
KSFT,-0.0026,-0.0051,-0.0025,1187,1166,21,294.2,279,300,REAL_CALCULATED
ROC5,-0.0066,-0.0082,-0.0016,1187,1166,21,294.1,278,300,REAL_CALCULATED
MAX_RATIO_5,-0.011,-0.0029,0.0081,1187,1166,21,294.2,278,300,REAL_CALCULATED
MIN_RATIO_5,0.0127,0.0075,-0.0052,1187,1166,21,294.2,278,300,REAL_CALCULATED
MA_RATIO_5,0.0037,0.0053,0.0016,1187,1166,21,294.2,278,300,REAL_CALCULATED
ROC10,-0.0129,-0.0123,0.0006,1187,1166,21,294.1,278,300,REAL_CALCULATED
MAX_RATIO_10,-0.0106,-0.0031,0.0075,1187,1166,21,294.1,278,300,REAL_CALCULATED
MIN_RATIO_10,0.016,0.0097,-0.0063,1187,1166,21,294.1,278,300,REAL_CALCULATED
MA_RATIO_10,0.0071,0.009,0.0019,1187,1166,21,294.1,278,300,REAL_CALCULATED
ROC20,-0.0227,-0.0162,0.0066,1187,1166,21,293.9,278,300,REAL_CALCULATED
MAX_RATIO_20,-0.0079,-0.0021,0.0058,1187,1166,21,293.9,278,300,REAL_CALCULATED
MIN_RATIO_20,0.0237,0.0137,-0.01,1187,1166,21,293.9,278,300,REAL_CALCULATED
MA_RATIO_20,0.0153,0.0131,-0.0022,1187,1166,21,293.9,278,300,REAL_CALCULATED
ROC30,-0.035,-0.0197,0.0152,1187,1166,21,293.7,276,300,REAL_CALCULATED
MAX_RATIO_30,-0.0024,0.0014,0.0039,1187,1166,21,293.7,276,300,REAL_CALCULATED
MIN_RATIO_30,0.0314,0.0168,-0.0146,1187,1166,21,293.7,276,300,REAL_CALCULATED
MA_RATIO_30,0.0234,0.0161,-0.0074,1187,1166,21,293.7,276,300,REAL_CALCULATED
ROC60,-0.0327,-0.0267,0.006,1187,1166,21,293.1,275,300,REAL_CALCULATED
MAX_RATIO_60,0.0076,0.0093,0.0017,1187,1166,21,293.1,275,300,REAL_CALCULATED
MIN_RATIO_60,0.0385,0.0199,-0.0186,1187,1166,21,293.1,275,300,REAL_CALCULATED
MA_RATIO_60,0.0384,0.0247,-0.0137,1187,1166,21,293.1,275,300,REAL_CALCULATED
ROC120,-0.0258,-0.0201,0.0057,1187,1166,21,291.8,271,300,REAL_CALCULATED
MAX_RATIO_120,-0.0022,0.0062,0.0084,1187,1166,21,291.8,271,300,REAL_CALCULATED
MIN_RATIO_120,0.0317,0.0171,-0.0146,1187,1166,21,291.8,271,300,REAL_CALCULATED
MA_RATIO_120,0.0338,0.0241,-0.0097,1187,1166,21,291.8,271,300,REAL_CALCULATED
ROC250,0.0013,-0.0006,-0.0018,1187,1166,21,288.6,267,298,REAL_CALCULATED
MAX_RATIO_250,-0.007,0.0031,0.01,1187,1166,21,288.6,267,298,REAL_CALCULATED
MIN_RATIO_250,0.0247,0.0086,-0.0162,1187,1166,21,288.6,267,298,REAL_CALCULATED
MA_RATIO_250,0.0175,0.0115,-0.006,1187,1166,21,288.6,267,298,REAL_CALCULATED
STD5,-0.0277,-0.0121,0.0156,1187,1166,21,294.1,278,300,REAL_CALCULATED
STD10,-0.0342,-0.0161,0.0181,1187,1166,21,294.1,278,300,REAL_CALCULATED
STD20,-0.0387,-0.0161,0.0226,1187,1166,21,293.9,278,300,REAL_CALCULATED
STD30,-0.0443,-0.0188,0.0254,1187,1166,21,293.7,276,300,REAL_CALCULATED
STD60,-0.0441,-0.0188,0.0252,1187,1166,21,293.1,275,300,REAL_CALCULATED
