factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
KMID,-0.0039,-0.0038,0.0001,1280,339,REAL_CALCULATED
KLEN,-0.0274,-0.0281,-0.0007,1280,339,REAL_CALCULATED
KMID2,-0.0007,0.0088,0.0095,1280,339,REAL_CALCULATED
KUP,-0.0145,-0.0029,0.0117,1280,339,REAL_CALCULATED
KLOW,-0.0146,-0.0061,0.0085,1280,339,REAL_CALCULATED
KSFT,-0.0026,-0.0015,0.0012,1280,339,REAL_CALCULATED
ROC5,-0.0078,-0.0022,0.0056,1280,339,REAL_CALCULATED
MAX_RATIO_5,-0.0102,-0.0135,-0.0033,1280,339,REAL_CALCULATED
MIN_RATIO_5,0.0132,0.007,-0.0062,1280,339,REAL_CALCULATED
MA_RATIO_5,0.0044,0.002,-0.0024,1280,339,REAL_CALCULATED
ROC10,-0.0138,-0.0017,0.0121,1280,339,REAL_CALCULATED
MAX_RATIO_10,-0.0099,-0.0108,-0.0009,1280,339,REAL_CALCULATED
MIN_RATIO_10,0.017,-0.0021,-0.0191,1280,339,REAL_CALCULATED
MA_RATIO_10,0.0082,0.0051,-0.0032,1280,339,REAL_CALCULATED
ROC20,-0.0233,-0.0062,0.0171,1280,339,REAL_CALCULATED
