fold_id,factor,horizon,train_mean_rank_ic,train_hac_t,train_hac_p,train_global_fdr_p,selected,selected_horizon,train_direction,validation_raw_rank_ic,validation_aligned_rank_ic
1,KMID,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0234,-0.0234
1,KMID,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0174,-0.0174
1,KMID,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0272,-0.0272
1,KMID,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0137,-0.0137
1,KMID,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0031,-0.0031
1,KLEN,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0087,-0.0087
1,KLEN,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0095,-0.0095
1,KLEN,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0064,-0.0064
1,KLEN,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0199,-0.0199
1,KLEN,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0587,-0.0587
1,KMID2,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0146,-0.0146
1,KMID2,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0091,-0.0091
1,KMID2,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0229,-0.0229
1,KMID2,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0102,-0.0102
1,KMID2,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0009,-0.0009
1,KUP,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0022,-0.0022
1,KUP,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0155,-0.0155
1,KUP,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0141,-0.0141
1,KUP,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0285,-0.0285
1,KUP,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0454,-0.0454
1,KLOW,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0142,-0.0142
1,KLOW,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0149,-0.0149
1,KLOW,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0051,-0.0051
1,KLOW,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0148,-0.0148
1,KLOW,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0377,-0.0377
1,KSFT,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.0313,-0.0313
1,KSFT,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0189,-0.0189
1,KSFT,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0247,-0.0247
1,KSFT,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0073,-0.0073
1,KSFT,20D,0.0,0.0,1.0,1.0,False,20D,1,0.0049,0.0049
1,ROC5,1D,0.0,0.0,1.0,1.0,False,20D,1,-0.037,-0.037
1,ROC5,3D,0.0,0.0,1.0,1.0,False,20D,1,-0.0338,-0.0338
1,ROC5,5D,0.0,0.0,1.0,1.0,False,20D,1,-0.0256,-0.0256
1,ROC5,10D,0.0,0.0,1.0,1.0,False,20D,1,-0.0282,-0.0282
1,ROC5,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0066,-0.0066
1,MAX_RATIO_5,1D,0.0,0.0,1.0,1.0,False,20D,1,0.0266,0.0266
1,MAX_RATIO_5,3D,0.0,0.0,1.0,1.0,False,20D,1,0.0254,0.0254
1,MAX_RATIO_5,5D,0.0,0.0,1.0,1.0,False,20D,1,0.0231,0.0231
1,MAX_RATIO_5,10D,0.0,0.0,1.0,1.0,False,20D,1,0.0109,0.0109
1,MAX_RATIO_5,20D,0.0,0.0,1.0,1.0,False,20D,1,-0.0123,-0.0123
1,MIN_RATIO_5,1D,0.0,0.0,1.0,1.0,False,20D,1,0.0279,0.0279
1,MIN_RATIO_5,3D,0.0,0.0,1.0,1.0,False,20D,1,0.0325,0.0325
1,MIN_RATIO_5,5D,0.0,0.0,1.0,1.0,False,20D,1,0.0324,0.0324
1,MIN_RATIO_5,10D,0.0,0.0,1.0,1.0,False,20D,1,0.0252,0.0252
1,MIN_RATIO_5,20D,0.0,0.0,1.0,1.0,False,20D,1,0.0233,0.0233
