,KMID,KLEN,KMID2,KUP,KLOW,KSFT,ROC5,MAX_RATIO_5,MIN_RATIO_5,MA_RATIO_5
KMID,1.0,0.12360970348046062,0.8673880715431977,0.202172427085855,-0.05298306111721785,0.7853604514437194,0.3488069620930313,-0.4952698811773046,-0.4774490834275915,-0.5954015562305481
KLEN,0.12360970348046062,1.0,0.10834819243056783,0.3898045458223846,0.2741711417046167,0.03257632090308205,0.16261646805848037,0.10825128937418792,-0.362255041482944,-0.15610289601380095
KMID2,0.8673880715431977,0.10834819243056783,1.0,0.18375181483278957,-0.036997335783303116,0.6773928618427577,0.30435128928179644,-0.45188762761981455,-0.43342117245025413,-0.5145299853907578
KUP,0.202172427085855,0.3898045458223846,0.18375181483278957,1.0,0.07836059157211608,-0.18129199124191117,0.12459606388269087,-0.029903255046730595,-0.19637004238226582,-0.14111777554822488
KLOW,-0.05298306111721785,0.2741711417046167,-0.036997335783303116,0.07836059157211608,1.0,0.2336226593536922,0.048931033852262336,0.056234035736382595,-0.09056430093734637,-0.025521616304376403
KSFT,0.7853604514437194,0.03257632090308205,0.6773928618427577,-0.18129199124191117,0.2336226593536922,1.0,0.28629374996901563,-0.42398616466699013,-0.38261807989660634,-0.4964831611961059
ROC5,0.3488069620930313,0.16261646805848037,0.30435128928179644,0.12459606388269087,0.048931033852262336,0.28629374996901563,1.0,-0.5608208397405625,-0.641032573569585,-0.759637726492044
MAX_RATIO_5,-0.4952698811773046,0.10825128937418792,-0.45188762761981455,-0.029903255046730595,0.056234035736382595,-0.42398616466699013,-0.5608208397405625,1.0,0.4269324818169701,0.7591078215315532
MIN_RATIO_5,-0.4774490834275915,-0.362255041482944,-0.43342117245025413,-0.19637004238226582,-0.09056430093734637,-0.38261807989660634,-0.641032573569585,0.4269324818169701,1.0,0.7707035406904867
MA_RATIO_5,-0.5954015562305481,-0.15610289601380095,-0.5145299853907578,-0.14111777554822488,-0.025521616304376403,-0.4964831611961059,-0.759637726492044,0.7591078215315532,0.7707035406904867,1.0
