,KMID,KLEN,KMID2,KUP,KLOW,KSFT,ROC5,MAX_RATIO_5,MIN_RATIO_5,MA_RATIO_5
KMID,1.0,0.06746820513939196,0.8837960024269648,0.2162683930205032,-0.09208252793148226,0.8365950746701082,0.4343276376977956,-0.580903437150742,-0.5283363828120459,-0.6483194927534632
KLEN,0.06746820513939196,1.0,0.0629040352375656,0.5088740173245307,0.4025108043753149,-0.0270880307188624,0.13886685280421096,0.18648451351697384,-0.3665204471821993,-0.09673987457372103
KMID2,0.8837960024269648,0.0629040352375656,1.0,0.21785162026963076,-0.09705160991889923,0.7210953027343528,0.4051078887706594,-0.5541561762093066,-0.4984596197829619,-0.5780813613013724
KUP,0.2162683930205032,0.5088740173245307,0.21785162026963076,1.0,0.210217475957124,-0.10941536907137443,0.15165982456843854,0.00831244777322165,-0.3020961102087672,-0.16302993236461796
KLOW,-0.09208252793148226,0.4025108043753149,-0.09705160991889923,0.210217475957124,1.0,0.10099393247788063,0.043754948564884794,0.16593433464825225,-0.10818739177043266,0.02743843364897743
KSFT,0.8365950746701082,-0.0270880307188624,0.7210953027343528,-0.10941536907137443,0.10099393247788063,1.0,0.3699384849194826,-0.5284205033493847,-0.42591563299911817,-0.5579365530777669
ROC5,0.4343276376977956,0.13886685280421096,0.4051078887706594,0.15165982456843854,0.043754948564884794,0.3699384849194826,1.0,-0.6399885746641027,-0.6942702003984695,-0.8210670047382795
MAX_RATIO_5,-0.580903437150742,0.18648451351697384,-0.5541561762093066,0.00831244777322165,0.16593433464825225,-0.5284205033493847,-0.6399885746641027,1.0,0.5196986968183911,0.8155033139766703
MIN_RATIO_5,-0.5283363828120459,-0.3665204471821993,-0.4984596197829619,-0.3020961102087672,-0.10818739177043266,-0.42591563299911817,-0.6942702003984695,0.5196986968183911,1.0,0.7900665455223937
MA_RATIO_5,-0.6483194927534632,-0.09673987457372103,-0.5780813613013724,-0.16302993236461796,0.02743843364897743,-0.5579365530777669,-0.8210670047382795,0.8155033139766703,0.7900665455223937,1.0
