,ROC10,MAX_RATIO_10,MIN_RATIO_10,MA_RATIO_10,ROC20,MAX_RATIO_20,MIN_RATIO_20,MA_RATIO_20,ROC30,MAX_RATIO_30
ROC10,1.0,-0.5772796744686421,-0.6914645481841178,-0.7924601517652157,0.6375628938288931,-0.6326032861429066,-0.6863937728500694,-0.883517423923092,0.5001284305925802,-0.5762363247976717
MAX_RATIO_10,-0.5772796744686421,1.0,0.4047098939823971,0.7438068665876402,-0.34112747009284256,0.7401693610655807,0.31738562320464253,0.5961265572145152,-0.2397312205363542,0.613702399280284
MIN_RATIO_10,-0.6914645481841178,0.4047098939823971,1.0,0.7767129099361982,-0.49026825331732243,0.3902237671018386,0.7649435648818828,0.6999985800433993,-0.4046863455853408,0.35277676186929563
MA_RATIO_10,-0.7924601517652157,0.7438068665876402,0.7767129099361982,1.0,-0.523736354822332,0.6406904718814919,0.6379856701294928,0.8238186243293909,-0.40979376297687575,0.5597707876901832
ROC20,0.6375628938288931,-0.34112747009284256,-0.49026825331732243,-0.523736354822332,1.0,-0.5767374546295048,-0.7163234985630071,-0.8075014890408724,0.7560763831806558,-0.6396168452144796
MAX_RATIO_20,-0.6326032861429066,0.7401693610655807,0.3902237671018386,0.6406904718814919,-0.5767374546295048,1.0,0.38648132176830713,0.7305044632202652,-0.40935897744529554,0.8519218145414525
MIN_RATIO_20,-0.6863937728500694,0.31738562320464253,0.7649435648818828,0.6379856701294928,-0.7163234985630071,0.38648132176830713,1.0,0.7806726760091174,-0.5773816138919793,0.3933826425073785
MA_RATIO_20,-0.883517423923092,0.5961265572145152,0.6999985800433993,0.8238186243293909,-0.8075014890408724,0.7305044632202652,0.7806726760091174,1.0,-0.6233776480452273,0.6855505994731507
ROC30,0.5001284305925802,-0.2397312205363542,-0.4046863455853408,-0.40979376297687575,0.7560763831806558,-0.40935897744529554,-0.5773816138919793,-0.6233776480452273,1.0,-0.5653839622568076
MAX_RATIO_30,-0.5762363247976717,0.613702399280284,0.35277676186929563,0.5597707876901832,-0.6396168452144796,0.8519218145414525,0.3933826425073785,0.6855505994731507,-0.5653839622568076,1.0
