,ROC10,MAX_RATIO_10,MIN_RATIO_10,MA_RATIO_10,ROC20,MAX_RATIO_20,MIN_RATIO_20,MA_RATIO_20,ROC30,MAX_RATIO_30
ROC10,1.0,-0.6795413842863168,-0.7350652445648014,-0.8504109034480064,0.7513276017584407,-0.757168960996773,-0.7340086207772025,-0.9303071992228502,0.6507568972187555,-0.7401454856830433
MAX_RATIO_10,-0.6795413842863168,1.0,0.4926278216817075,0.813847154631846,-0.432919628494763,0.8310746470411116,0.36285918311974746,0.678029028235582,-0.37158617495867696,0.7450214921131626
MIN_RATIO_10,-0.7350652445648014,0.4926278216817075,1.0,0.8071872874256021,-0.602230919910178,0.46268190353950805,0.8424454030142863,0.7395691421366717,-0.579880446663783,0.45903927766786984
MA_RATIO_10,-0.8504109034480064,0.813847154631846,0.8071872874256021,1.0,-0.6222087728915341,0.7437480769252056,0.6775055352323185,0.8600624233256774,-0.582620592538328,0.7057274688579089
ROC20,0.7513276017584407,-0.432919628494763,-0.602230919910178,-0.6222087728915341,1.0,-0.6451292030250952,-0.7908109498034048,-0.8684701603999285,0.8209422769578871,-0.7284383906161538
MAX_RATIO_20,-0.757168960996773,0.8310746470411116,0.46268190353950805,0.7437480769252056,-0.6451292030250952,1.0,0.4429092457925683,0.8101042323612105,-0.48893459041758985,0.9276126349457109
MIN_RATIO_20,-0.7340086207772025,0.36285918311974746,0.8424454030142863,0.6775055352323185,-0.7908109498034048,0.4429092457925683,1.0,0.8017681947110205,-0.7065226752209397,0.48567393577407814
MA_RATIO_20,-0.9303071992228502,0.678029028235582,0.7395691421366717,0.8600624233256774,-0.8684701603999285,0.8101042323612105,0.8017681947110205,1.0,-0.7377300955283318,0.8124067110658245
ROC30,0.6507568972187555,-0.37158617495867696,-0.579880446663783,-0.582620592538328,0.8209422769578871,-0.48893459041758985,-0.7065226752209397,-0.7377300955283318,1.0,-0.6205990999962593
MAX_RATIO_30,-0.7401454856830433,0.7450214921131626,0.45903927766786984,0.7057274688579089,-0.7284383906161538,0.9276126349457109,0.48567393577407814,0.8124067110658245,-0.6205990999962593,1.0
