factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
ROC10,-0.0104,0.8,VALID,0.016,-0.035,-0.0095,-0.0535,-0.0129,0.0031,-0.0111,-0.0145,-0.0046
MAX_RATIO_10,-0.0046,0.8,VALID,-0.0128,0.0246,-0.016,0.008,0.0071,-0.0245,-0.0027,-0.0013,-0.0044
MIN_RATIO_10,0.0091,0.8,VALID,-0.0037,0.014,0.0123,0.048,-0.0034,0.0105,0.0055,0.0109,0.0168
MA_RATIO_10,0.0081,0.8,VALID,-0.0068,0.0294,0.0038,0.0414,0.0109,-0.0047,0.0085,0.0114,0.0063
ROC20,-0.0121,0.8,VALID,0.0133,-0.0383,-0.0098,-0.0728,-0.014,0.0138,-0.015,-0.0248,-0.0078
MAX_RATIO_20,-0.0027,0.4,VALID,-0.0263,0.0325,-0.0105,0.0098,0.0082,-0.0336,0.011,0.0011,-0.0024
MIN_RATIO_20,0.0104,0.8,VALID,-0.0096,0.0184,0.0153,0.078,-0.001,0.0078,0.0054,0.013,0.0179
MA_RATIO_20,0.0105,0.8,VALID,-0.0191,0.0373,0.0098,0.0637,0.0121,-0.01,0.0134,0.0179,0.0081
ROC30,-0.0155,0.8,VALID,0.007,-0.0424,-0.0116,-0.0527,-0.0247,0.0134,-0.0187,-0.0299,-0.0106
MAX_RATIO_30,0.0006,0.8,VALID,-0.023,0.0395,-0.0093,-0.0157,0.0096,-0.0392,0.0213,0.0096,0.0065
