factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
ROC30,REJECT,REJECT,0.6746,-1,20D,-0.0155,0.0888,-0.1751,-0.6214,-5.9007,-1.8104,0.0,0.070491,0.208126,0.4331,-0.0032,0.0993,-0.0326,-0.1158,0.4912,-1.0994,-0.3423,0.271811,0.732225,0.208126,-0.1,0.6948,0.002483,0.002267,1.9324,-0.7145,0.5342,0.7721,1.1331,0.1442,0.5587,2.0715,1.0,0.5721,0.8,VALID,0.007,-0.0424,-0.0116,0.9742,0.0258,0
MIN_RATIO_20,REJECT,REJECT,0.5794,1,20D,0.0104,0.0833,0.1251,0.4439,4.2353,1.392,2.5e-05,0.164207,0.285791,0.5379,-0.0092,0.0911,-0.1012,-0.3591,0.4359,-3.426,-1.1079,0.000634,0.268151,0.285791,-0.6,0.5916,0.002326,0.001998,1.8081,-0.677,0.5266,0.6065,0.9285,0.2188,0.4929,1.9282,1.0,0.6094,0.8,VALID,-0.0096,0.0184,0.0153,0.9837,0.0163,0
ROC20,REJECT,REJECT,0.4663,-1,20D,-0.0121,0.086,-0.1408,-0.4997,-4.7659,-1.531,2e-06,0.126042,0.262587,0.4494,-0.0012,0.0961,-0.013,-0.0462,0.4965,-0.4404,-0.1431,0.659716,0.886238,0.262587,-0.1,0.9981,0.003193,0.002933,2.4201,-0.7006,0.5476,1.0347,1.4521,0.1735,0.8558,2.769,1.0,0.5867,0.8,VALID,0.0133,-0.0383,-0.0098,0.9828,0.0172,0
MA_RATIO_20,REJECT,REJECT,0.1852,1,20D,0.0105,0.088,0.1189,0.4221,4.0275,1.3942,6e-05,0.163526,0.285791,0.5257,0.0016,0.0982,0.0162,0.0575,0.5031,0.5483,0.1936,0.583619,0.846555,0.285791,0.1,1.0603,0.003356,0.003054,2.5271,-0.6709,0.5489,1.1016,1.5438,0.2013,0.9932,3.0984,1.0,0.6007,0.8,VALID,-0.0191,0.0373,0.0098,0.9837,0.0163,1
ROC10,REJECT,REJECT,0.1739,-1,20D,-0.0104,0.087,-0.1195,-0.4241,-4.0627,-1.5363,5.2e-05,0.124742,0.262587,0.4697,-0.0012,0.0962,-0.0127,-0.0452,0.4836,-0.4325,-0.1672,0.665434,0.867267,0.262587,-0.1,0.9567,0.003209,0.002843,2.3933,-0.6454,0.5421,1.0138,1.4912,0.2442,0.9008,2.9719,1.0,0.6221,0.8,VALID,0.016,-0.035,-0.0095,0.9914,0.0086,1
MIN_RATIO_10,REJECT,REJECT,0.1685,1,1D,0.0091,0.0778,0.1171,0.4157,3.9837,1.5334,7.2e-05,0.12545,0.262587,0.5428,-0.0072,0.0851,-0.0842,-0.2989,0.4762,-2.8646,-1.0547,0.00425,0.291765,0.262587,-0.3,0.5636,0.002398,0.001926,1.7519,-0.6479,0.534,0.6298,1.073,0.3144,0.5143,2.0649,1.0,0.6572,0.8,VALID,-0.0037,0.014,0.0123,0.9923,0.0077,0
MA_RATIO_10,REJECT,REJECT,0.0663,1,1D,0.0081,0.0838,0.0968,0.3437,3.2934,1.3868,0.00102,0.165759,0.285791,0.535,0.0014,0.094,0.0149,0.053,0.522,0.508,0.2186,0.611546,0.826985,0.285791,0.3,0.9145,0.003195,0.002758,2.3102,-0.6342,0.5459,0.9642,1.4583,0.2916,0.9581,3.1417,1.0,0.6458,0.8,VALID,-0.0068,0.0294,0.0038,0.9923,0.0077,1
MAX_RATIO_10,REJECT,REJECT,-0.5017,-1,20D,-0.0046,0.0843,-0.0546,-0.1938,-1.8569,-0.765,0.063587,0.444443,0.567622,0.4685,0.0057,0.0877,0.0646,0.2292,0.5186,2.1962,0.9086,0.028278,0.363747,0.567622,0.3,0.3334,0.001773,0.001287,1.1933,-0.7403,0.5264,0.4104,0.7565,0.3239,0.3412,1.5551,1.0,0.6619,0.8,VALID,-0.0128,0.0246,-0.016,0.9923,0.0077,0
MAX_RATIO_30,REJECT,REJECT,-0.9433,1,1D,0.0006,0.0849,0.0069,0.0244,0.2319,0.0739,0.816658,0.941109,0.941109,0.4925,0.0066,0.08,0.082,0.2912,0.504,2.7667,0.9682,0.005755,0.333147,0.941109,0.1,1.0434,0.003257,0.003031,2.4425,-0.7075,0.5476,1.0888,1.4675,0.1505,1.0047,3.1884,1.0,0.5753,0.8,VALID,-0.023,0.0395,-0.0093,0.9751,0.0249,2
MAX_RATIO_20,REJECT,REJECT,-1.3692,-1,1D,-0.0027,0.0853,-0.0318,-0.113,-1.0779,-0.3579,0.28131,0.720461,0.78311,0.4821,0.007,0.0849,0.0823,0.2923,0.5126,2.7884,0.9707,0.005384,0.331888,0.78311,0.1,0.4778,0.002032,0.001693,1.5865,-0.6853,0.5437,0.5349,0.8403,0.2261,0.4104,1.8715,1.0,0.6131,0.4,VALID,-0.0263,0.0325,-0.0105,0.9837,0.0163,2
