fold_id,factor,horizon,train_mean_rank_ic,train_hac_t,train_hac_p,train_global_fdr_p,selected,selected_horizon,train_direction,validation_raw_rank_ic,validation_aligned_rank_ic
1,ROC10,1D,-0.0132,-2.9076,0.003864,0.0644,False,1D,-1,-0.0046,0.0046
1,ROC10,3D,-0.0104,-1.5745,0.116231,0.645728,False,1D,-1,-0.0115,0.0115
1,ROC10,5D,-0.006,-0.6974,0.48601,0.790814,False,1D,-1,-0.0093,0.0093
1,ROC10,10D,-0.0063,-0.5879,0.556974,0.790814,False,1D,-1,-0.0087,0.0087
1,ROC10,20D,-0.0114,-1.0007,0.317614,0.790814,False,1D,-1,0.0049,-0.0049
1,MAX_RATIO_10,1D,0.009,1.9397,0.053174,0.401343,False,20D,-1,-0.0096,0.0096
1,MAX_RATIO_10,3D,0.0027,0.4142,0.678991,0.790814,False,20D,-1,-0.0109,0.0109
1,MAX_RATIO_10,5D,-0.0003,-0.0335,0.973313,0.992889,False,20D,-1,-0.011,0.011
1,MAX_RATIO_10,10D,-0.0013,-0.1329,0.894332,0.931596,False,20D,-1,-0.0097,0.0097
1,MAX_RATIO_10,20D,-0.0056,-0.5059,0.613203,0.790814,False,20D,-1,-0.0296,0.0296
1,MIN_RATIO_10,1D,0.0153,3.6905,0.000258,0.00645,False,1D,1,0.0102,0.0102
1,MIN_RATIO_10,3D,0.0094,1.6919,0.091521,0.572006,False,1D,1,0.0125,0.0125
1,MIN_RATIO_10,5D,0.006,0.8913,0.373365,0.790814,False,1D,1,0.0148,0.0148
1,MIN_RATIO_10,10D,0.0043,0.561,0.57513,0.790814,False,1D,1,0.0199,0.0199
1,MIN_RATIO_10,20D,0.0047,0.53,0.596403,0.790814,False,1D,1,0.0093,0.0093
1,MA_RATIO_10,1D,0.0166,3.7326,0.00022,0.00645,False,1D,1,0.0042,0.0042
1,MA_RATIO_10,3D,0.012,1.9156,0.056188,0.401343,False,1D,1,0.0035,0.0035
1,MA_RATIO_10,5D,0.0086,1.1459,0.252573,0.790814,False,1D,1,0.0041,0.0041
1,MA_RATIO_10,10D,0.0079,0.8197,0.412904,0.790814,False,1D,1,0.0065,0.0065
1,MA_RATIO_10,20D,0.0083,0.8383,0.4024,0.790814,False,1D,1,-0.0073,-0.0073
1,ROC20,1D,-0.0053,-1.0652,0.287493,0.790814,False,20D,-1,-0.0035,0.0035
1,ROC20,3D,-0.0047,-0.659,0.510317,0.790814,False,20D,-1,-0.0056,0.0056
1,ROC20,5D,-0.0027,-0.3009,0.763663,0.830068,False,20D,-1,-0.0007,0.0007
1,ROC20,10D,-0.0076,-0.6955,0.487192,0.790814,False,20D,-1,0.0045,-0.0045
1,ROC20,20D,-0.0112,-0.8044,0.421677,0.790814,False,20D,-1,0.0089,-0.0089
1,MAX_RATIO_20,1D,0.0057,1.1782,0.239511,0.790814,False,20D,-1,-0.0075,0.0075
1,MAX_RATIO_20,3D,-0.0013,-0.1842,0.85396,0.908468,False,20D,-1,-0.008,0.008
1,MAX_RATIO_20,5D,-0.0058,-0.677,0.498833,0.790814,False,20D,-1,-0.0149,0.0149
1,MAX_RATIO_20,10D,-0.0046,-0.4002,0.689231,0.790814,False,20D,-1,-0.0244,0.0244
1,MAX_RATIO_20,20D,-0.0085,-0.5778,0.563772,0.790814,False,20D,-1,-0.04,0.04
1,MIN_RATIO_20,1D,0.0115,2.5631,0.010782,0.1239,False,1D,1,0.0125,0.0125
1,MIN_RATIO_20,3D,0.0081,1.3425,0.180274,0.790814,False,1D,1,0.0179,0.0179
1,MIN_RATIO_20,5D,0.0051,0.6769,0.498885,0.790814,False,1D,1,0.0157,0.0157
1,MIN_RATIO_20,10D,0.0053,0.5856,0.558514,0.790814,False,1D,1,0.0176,0.0176
1,MIN_RATIO_20,20D,0.0082,0.6479,0.517451,0.790814,False,1D,1,0.0114,0.0114
1,MA_RATIO_20,1D,0.0122,2.5136,0.01239,0.1239,False,1D,1,0.0047,0.0047
1,MA_RATIO_20,3D,0.0081,1.1753,0.240643,0.790814,False,1D,1,0.0108,0.0108
1,MA_RATIO_20,5D,0.0031,0.3555,0.722404,0.802671,False,1D,1,0.0078,0.0078
1,MA_RATIO_20,10D,0.0046,0.4006,0.688952,0.790814,False,1D,1,0.0037,0.0037
1,MA_RATIO_20,20D,0.0087,0.6636,0.507391,0.790814,False,1D,1,-0.0094,-0.0094
1,ROC30,1D,-0.0057,-1.1161,0.265145,0.790814,False,20D,-1,0.0031,-0.0031
1,ROC30,3D,-0.0063,-0.8481,0.396944,0.790814,False,20D,-1,-0.0005,0.0005
1,ROC30,5D,-0.0041,-0.4566,0.64822,0.790814,False,20D,-1,0.0041,-0.0041
1,ROC30,10D,-0.0064,-0.5748,0.565818,0.790814,False,20D,-1,0.0084,-0.0084
1,ROC30,20D,-0.0116,-0.6937,0.488327,0.790814,False,20D,-1,-0.0021,0.0021
1,MAX_RATIO_30,1D,0.0033,0.6365,0.524863,0.790814,False,20D,-1,-0.0129,0.0129
1,MAX_RATIO_30,3D,-0.0001,-0.0089,0.992889,0.992889,False,20D,-1,-0.0123,0.0123
1,MAX_RATIO_30,5D,-0.0036,-0.3912,0.695916,0.790814,False,20D,-1,-0.0196,0.0196
1,MAX_RATIO_30,10D,-0.0048,-0.3979,0.69097,0.790814,False,20D,-1,-0.0288,0.0288
1,MAX_RATIO_30,20D,-0.0127,-0.8334,0.405206,0.790814,False,20D,-1,-0.0375,0.0375
2,ROC10,1D,-0.012,-2.7132,0.006969,0.087113,False,1D,-1,-0.0001,0.0001
2,ROC10,3D,-0.0124,-1.8882,0.059762,0.322055,False,1D,-1,0.0078,-0.0078
2,ROC10,5D,-0.0087,-1.0385,0.299711,0.50623,False,1D,-1,0.0124,-0.0124
2,ROC10,10D,-0.0127,-1.2115,0.226456,0.503325,False,1D,-1,0.0283,-0.0283
2,ROC10,20D,-0.0173,-1.5925,0.112104,0.400371,False,1D,-1,0.0163,-0.0163
2,MAX_RATIO_10,1D,0.0035,0.8023,0.422868,0.587317,False,20D,-1,0.0001,-0.0001
2,MAX_RATIO_10,3D,-0.0003,-0.048,0.961757,0.961757,False,20D,-1,-0.0031,0.0031
2,MAX_RATIO_10,5D,-0.002,-0.2801,0.779549,0.910397,False,20D,-1,-0.0083,0.0083
2,MAX_RATIO_10,10D,0.0016,0.1629,0.870705,0.946418,False,20D,-1,-0.0109,0.0109
2,MAX_RATIO_10,20D,-0.0031,-0.2418,0.809035,0.910397,False,20D,-1,-0.0091,0.0091
2,MIN_RATIO_10,1D,0.015,3.6293,0.000323,0.01615,False,1D,1,0.0061,0.0061
2,MIN_RATIO_10,3D,0.0125,2.1677,0.030805,0.220036,False,1D,1,0.0036,0.0036
2,MIN_RATIO_10,5D,0.0114,1.6898,0.091892,0.376738,False,1D,1,-0.0024,-0.0024
2,MIN_RATIO_10,10D,0.0105,1.2662,0.206225,0.503325,False,1D,1,-0.026,-0.026
2,MIN_RATIO_10,20D,0.0147,1.8986,0.058382,0.322055,False,1D,1,-0.0283,-0.0283
2,MA_RATIO_10,1D,0.0139,3.1287,0.001892,0.0473,False,1D,1,0.0046,0.0046
2,MA_RATIO_10,3D,0.0115,1.837,0.066992,0.322055,False,1D,1,0.0019,0.0019
2,MA_RATIO_10,5D,0.0092,1.2345,0.217798,0.503325,False,1D,1,-0.002,-0.002
2,MA_RATIO_10,10D,0.0109,1.1285,0.259814,0.503325,False,1D,1,-0.0191,-0.0191
2,MA_RATIO_10,20D,0.0141,1.4632,0.14424,0.424235,False,1D,1,-0.0182,-0.0182
2,ROC20,1D,-0.0073,-1.5201,0.129332,0.404162,False,20D,-1,0.0032,-0.0032
2,ROC20,3D,-0.009,-1.3114,0.19051,0.501342,False,20D,-1,0.0098,-0.0098
2,ROC20,5D,-0.0071,-0.8478,0.397097,0.567281,False,20D,-1,0.0094,-0.0094
2,ROC20,10D,-0.0107,-1.0299,0.303738,0.50623,False,20D,-1,0.0155,-0.0155
2,ROC20,20D,-0.0122,-0.9003,0.368536,0.558388,False,20D,-1,0.0135,-0.0135
2,MAX_RATIO_20,1D,0.0043,0.9494,0.343045,0.536008,False,20D,-1,-0.0003,0.0003
2,MAX_RATIO_20,3D,0.0019,0.2787,0.780612,0.910397,False,20D,-1,-0.003,0.003
2,MAX_RATIO_20,5D,-0.002,-0.2385,0.811589,0.910397,False,20D,-1,-0.0042,0.0042
2,MAX_RATIO_20,10D,0.0006,0.0556,0.95568,0.961757,False,20D,-1,-0.0109,0.0109
2,MAX_RATIO_20,20D,-0.0055,-0.3476,0.728359,0.910397,False,20D,-1,-0.0001,0.0001
2,MIN_RATIO_20,1D,0.0131,2.9868,0.003003,0.05005,False,1D,1,-0.0022,-0.0022
2,MIN_RATIO_20,3D,0.0135,2.264,0.024144,0.2012,False,1D,1,-0.0086,-0.0086
2,MIN_RATIO_20,5D,0.0119,1.659,0.097952,0.376738,False,1D,1,-0.0135,-0.0135
2,MIN_RATIO_20,10D,0.0136,1.5262,0.127804,0.404162,False,1D,1,-0.0342,-0.0342
2,MIN_RATIO_20,20D,0.0155,1.4184,0.15691,0.435861,False,1D,1,-0.0345,-0.0345
2,MA_RATIO_20,1D,0.0117,2.4892,0.013235,0.13235,False,1D,1,0.0006,0.0006
2,MA_RATIO_20,3D,0.0123,1.8115,0.070852,0.322055,False,1D,1,-0.0057,-0.0057
2,MA_RATIO_20,5D,0.0084,0.9833,0.326078,0.525932,False,1D,1,-0.0085,-0.0085
2,MA_RATIO_20,10D,0.0119,1.0921,0.275479,0.50623,False,1D,1,-0.0225,-0.0225
2,MA_RATIO_20,20D,0.0141,1.1322,0.25825,0.503325,False,1D,1,-0.0157,-0.0157
