,MIN_RATIO_30,MA_RATIO_30,ROC60,MAX_RATIO_60,MIN_RATIO_60,MA_RATIO_60,ROC120,MAX_RATIO_120,MIN_RATIO_120,MA_RATIO_120
MIN_RATIO_30,1.0,0.7780021512098491,-0.5060324820879523,0.3759224344959308,0.7964248759807883,0.7129280965140744,-0.3899716686353548,0.3236770444519744,0.6267620221081633,0.5709908532578988
MA_RATIO_30,0.7780021512098491,1.0,-0.521960289278863,0.643412934913868,0.6323883168778086,0.8332736156695041,-0.34765071091230887,0.5180821311499522,0.47241492643357097,0.6076930674877075
ROC60,-0.5060324820879523,-0.521960289278863,1.0,-0.5378636231823741,-0.7244482623966622,-0.8049289036103899,0.6244730400532467,-0.590389487408097,-0.6733193801678091,-0.873863984266213
MAX_RATIO_60,0.3759224344959308,0.643412934913868,-0.5378636231823741,1.0,0.3520021909397543,0.7186402693514816,-0.2807416152404782,0.7667886202289046,0.24160698741628062,0.559114046744417
MIN_RATIO_60,0.7964248759807883,0.6323883168778086,-0.7244482623966622,0.3520021909397543,1.0,0.7691357647511904,-0.5221248488514686,0.3590692638266683,0.7993641336421686,0.7190384946898202
MA_RATIO_60,0.7129280965140744,0.8332736156695041,-0.8049289036103899,0.7186402693514816,0.7691357647511904,1.0,-0.520836197009247,0.6388284074409378,0.6248277375626564,0.8356647232424936
ROC120,-0.3899716686353548,-0.34765071091230887,0.6244730400532467,-0.2807416152404782,-0.5221248488514686,-0.520836197009247,1.0,-0.5059274511742448,-0.737061783237945,-0.7976561328802402
MAX_RATIO_120,0.3236770444519744,0.5180821311499522,-0.590389487408097,0.7667886202289046,0.3590692638266683,0.6388284074409378,-0.5059274511742448,1.0,0.326969358165402,0.7033931168016682
MIN_RATIO_120,0.6267620221081633,0.47241492643357097,-0.6733193801678091,0.24160698741628062,0.7993641336421686,0.6248277375626564,-0.737061783237945,0.326969358165402,1.0,0.7622790572191827
MA_RATIO_120,0.5709908532578988,0.6076930674877075,-0.873863984266213,0.559114046744417,0.7190384946898202,0.8356647232424936,-0.7976561328802402,0.7033931168016682,0.7622790572191827,1.0
