,MIN_RATIO_30,MA_RATIO_30,ROC60,MAX_RATIO_60,MIN_RATIO_60,MA_RATIO_60,ROC120,MAX_RATIO_120,MIN_RATIO_120,MA_RATIO_120
MIN_RATIO_30,1.0,0.8002048006894973,-0.6688736732632607,0.5053347436794428,0.8923225484317888,0.803563947178964,-0.5853238701585437,0.5028590656197593,0.7841674056559153,0.7032781908568737
MA_RATIO_30,0.8002048006894973,1.0,-0.6825262840655645,0.8122262830760101,0.6906962471096183,0.8873422027970718,-0.5552935888150854,0.7278239645046273,0.5667450632126952,0.7099280488743674
ROC60,-0.6688736732632607,-0.6825262840655645,1.0,-0.6817492634079982,-0.8035514894509183,-0.8937835592638654,0.8562957549245122,-0.7647815737876191,-0.8234643970905973,-0.942672054514395
MAX_RATIO_60,0.5053347436794428,0.8122262830760101,-0.6817492634079982,1.0,0.47076014242531644,0.8068436449825107,-0.5830894302116006,0.8978881789625012,0.4134337012751301,0.7053158139594049
MIN_RATIO_60,0.8923225484317888,0.6906962471096183,-0.8035514894509183,0.47076014242531644,1.0,0.8408444426334191,-0.7122709920090267,0.5144412932077808,0.9140149527030266,0.812085065851554
MA_RATIO_60,0.803563947178964,0.8873422027970718,-0.8937835592638654,0.8068436449825107,0.8408444426334191,1.0,-0.7551951094619438,0.7869600285284313,0.7661648186111953,0.8992508779121308
ROC120,-0.5853238701585437,-0.5552935888150854,0.8562957549245122,-0.5830894302116006,-0.7122709920090267,-0.7551951094619438,1.0,-0.733708440372207,-0.8388939193102847,-0.9253852401024752
MAX_RATIO_120,0.5028590656197593,0.7278239645046273,-0.7647815737876191,0.8978881789625012,0.5144412932077808,0.7869600285284313,-0.733708440372207,1.0,0.5238452070749962,0.8202926335247966
MIN_RATIO_120,0.7841674056559153,0.5667450632126952,-0.8234643970905973,0.4134337012751301,0.9140149527030266,0.7661648186111953,-0.8388939193102847,0.5238452070749962,1.0,0.8597294703029303
MA_RATIO_120,0.7032781908568737,0.7099280488743674,-0.942672054514395,0.7053158139594049,0.812085065851554,0.8992508779121308,-0.9253852401024752,0.8202926335247966,0.8597294703029303,1.0
