signal_date,entry_date,earliest_exit_date,symbol,side,reject_stage,reject_reason
2021-12-02,2021-12-03,2021-12-06,601018.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2022-05-17,2022-05-18,2022-05-19,600221.SH,BUY,ENTRY,MISSING_DATA
2022-08-16,2022-08-17,2022-08-18,601377.SH,BUY,ENTRY,MISSING_DATA
2022-10-25,2022-10-26,2022-10-27,600900.SH,BUY,ENTRY,MISSING_DATA
2022-12-02,2022-12-05,2022-12-06,000975.SZ,BUY,ENTRY,MISSING_DATA
2022-12-02,2022-12-05,2022-12-06,001979.SZ,BUY,ENTRY,MISSING_DATA
2022-12-22,2022-12-23,2022-12-26,002422.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2023-01-03,2023-01-04,2023-01-05,000938.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2023-05-05,2023-05-08,2023-05-09,600436.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2023-06-14,2023-06-15,2023-06-16,601916.SH,BUY,ENTRY,MISSING_DATA
2023-07-26,2023-07-27,2023-07-28,302132.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-07-18,2024-07-19,2024-07-22,600027.SH,BUY,ENTRY,MISSING_DATA
2024-09-30,2024-10-08,2024-10-09,600438.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,600588.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,600460.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,688506.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-10-10,2024-10-11,2024-10-14,601211.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-10-25,2024-10-28,2024-10-29,600482.SH,BUY,ENTRY,MISSING_DATA
2025-02-21,2025-02-24,2025-02-25,688126.SH,BUY,ENTRY,MISSING_DATA
2025-03-14,2025-03-17,2025-03-18,301269.SZ,BUY,ENTRY,MISSING_DATA
2025-05-23,2025-05-26,2025-05-27,688041.SH,BUY,ENTRY,MISSING_DATA
2025-05-23,2025-05-26,2025-05-27,603019.SH,BUY,ENTRY,MISSING_DATA
2025-11-27,2025-11-28,2025-12-01,002353.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2026-02-24,2026-02-25,2026-02-26,600438.SH,BUY,ENTRY,MISSING_DATA
2022-03-22,2022-03-23,2022-03-24,000063.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2022-04-20,2022-04-21,2022-04-22,600958.SH,BUY,ENTRY,MISSING_DATA
2024-04-25,2024-04-26,2024-04-29,601456.SH,BUY,ENTRY,MISSING_DATA
2025-08-01,2025-08-04,2025-08-05,601088.SH,BUY,ENTRY,MISSING_DATA
2025-11-19,2025-11-20,2025-11-21,601995.SH,BUY,ENTRY,MISSING_DATA
2025-11-19,2025-11-20,2025-11-21,601059.SH,BUY,ENTRY,MISSING_DATA
2025-12-18,2025-12-19,2025-12-22,688012.SH,BUY,ENTRY,MISSING_DATA
2026-06-12,2026-06-15,2026-06-16,600026.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2026-06-22,2026-06-23,2026-06-24,002837.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,688223.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,302132.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-11-29,2024-12-02,2024-12-03,601238.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-04-10,2024-04-11,2024-04-12,603392.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,600030.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,688521.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,601012.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2025-01-27,2025-02-05,2025-02-06,601360.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2025-08-28,2025-08-29,2025-09-01,688521.SH,BUY,ENTRY,MISSING_DATA
2025-10-10,2025-10-13,2025-10-14,600010.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2026-06-12,2026-06-15,2026-06-16,601872.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2026-06-30,2026-07-01,2026-07-02,600233.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2026-07-30,2026-07-31,2026-08-03,603986.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2026-07-30,2026-07-31,2026-08-03,600183.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2023-12-25,2023-12-26,2023-12-27,000657.SZ,BUY,ENTRY,MISSING_DATA
2024-09-30,2024-10-08,2024-10-09,000166.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2022-04-28,2022-04-29,2022-05-05,000625.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2022-05-17,2022-05-18,2022-05-19,600515.SH,BUY,ENTRY,MISSING_DATA
2022-09-28,2022-09-29,2022-09-30,600221.SH,BUY,ENTRY,MISSING_DATA
2022-12-09,2022-12-12,2022-12-13,000630.SZ,BUY,ENTRY,MISSING_DATA
2023-02-07,2023-02-08,2023-02-09,601360.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-27,2024-09-30,2024-10-08,000002.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,000002.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,002466.SZ,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,600221.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2024-09-30,2024-10-08,2024-10-09,600570.SH,BUY,ENTRY,LIMIT_UP_LOCKED
2025-12-29,2025-12-30,2025-12-31,002049.SZ,BUY,ENTRY,MISSING_DATA
