,ROC250,MAX_RATIO_250,MIN_RATIO_250,MA_RATIO_250,STD5,STD10,STD20,STD30,STD60,STD120
ROC250,1.0,-0.4652140151069276,-0.7991049064004875,-0.8104583303134508,0.2745741003609685,0.3269846124898241,0.3650623150806027,0.38373582577445176,0.40276811217892733,0.4144826342932033
MAX_RATIO_250,-0.4652140151069276,1.0,0.34478444423406535,0.676148753774508,-0.010533174747236406,-0.005556492577706575,0.013787480046113661,0.031151669606363466,0.073646362475423,0.13248841787528665
MIN_RATIO_250,-0.7991049064004875,0.34478444423406535,1.0,0.802353625480334,-0.3943170973028575,-0.4744485955463219,-0.5330910450695897,-0.5596331393964581,-0.5890405540838293,-0.6002676575735381
MA_RATIO_250,-0.8104583303134508,0.676148753774508,0.802353625480334,1.0,-0.27062365863756405,-0.32347620426644313,-0.3571724160302441,-0.369824146659979,-0.3723889031643816,-0.3462625337726013
STD5,0.2745741003609685,-0.010533174747236406,-0.3943170973028575,-0.27062365863756405,1.0,0.7585000417880603,0.634162802604046,0.5887965440097758,0.534135773057134,0.4901530322773344
STD10,0.3269846124898241,-0.005556492577706575,-0.4744485955463219,-0.32347620426644313,0.7585000417880603,1.0,0.818964347038989,0.7514436907758468,0.670702636927814,0.6089809228853014
STD20,0.3650623150806027,0.013787480046113661,-0.5330910450695897,-0.3571724160302441,0.634162802604046,0.818964347038989,1.0,0.9098630070952755,0.7979987944014473,0.7137167060060355
STD30,0.38373582577445176,0.031151669606363466,-0.5596331393964581,-0.369824146659979,0.5887965440097758,0.7514436907758468,0.9098630070952755,1.0,0.8748077157510894,0.7759227483409353
STD60,0.40276811217892733,0.073646362475423,-0.5890405540838293,-0.3723889031643816,0.534135773057134,0.670702636927814,0.7979987944014473,0.8748077157510894,1.0,0.8885721852667107
STD120,0.4144826342932033,0.13248841787528665,-0.6002676575735381,-0.3462625337726013,0.4901530322773344,0.6089809228853014,0.7137167060060355,0.7759227483409353,0.8885721852667107,1.0
