,ROC250,MAX_RATIO_250,MIN_RATIO_250,MA_RATIO_250,STD5,STD10,STD20,STD30,STD60,STD120
ROC250,1.0,-0.6858254853086745,-0.8987269252668048,-0.9283780269318446,0.45900016601492793,0.47417313898699986,0.48788870225873304,0.4882178610908195,0.4461576138783403,0.43646392737656975
MAX_RATIO_250,-0.6858254853086745,1.0,0.5460339572766386,0.8159717900771672,-0.07438579019052767,-0.06268072622484037,-0.04061553957523594,-0.005246782858131033,0.06829468109039122,0.0971420406809949
MIN_RATIO_250,-0.8987269252668048,0.5460339572766386,1.0,0.8944589522714117,-0.6207257959920437,-0.6611422540285603,-0.687436967366294,-0.6909461436899533,-0.6747763874461289,-0.6727343711401238
MA_RATIO_250,-0.9283780269318446,0.8159717900771672,0.8944589522714117,1.0,-0.42191140411778344,-0.4439408180098396,-0.4525458542073761,-0.437980166169002,-0.3911984106034767,-0.35945272409562345
STD5,0.45900016601492793,-0.07438579019052767,-0.6207257959920437,-0.42191140411778344,1.0,0.8799476677162731,0.8263783450895915,0.8032557327441362,0.7638236697526432,0.7431122387920267
STD10,0.47417313898699986,-0.06268072622484037,-0.6611422540285603,-0.4439408180098396,0.8799476677162731,1.0,0.9244844899821727,0.8969951789206146,0.8507721397646372,0.8180632390083783
STD20,0.48788870225873304,-0.04061553957523594,-0.687436967366294,-0.4525458542073761,0.8263783450895915,0.9244844899821727,1.0,0.9641720571254584,0.9142520983205242,0.8692917765710902
STD30,0.4882178610908195,-0.005246782858131033,-0.6909461436899533,-0.437980166169002,0.8032557327441362,0.8969951789206146,0.9641720571254584,1.0,0.9482614017876548,0.9091044500625983
STD60,0.4461576138783403,0.06829468109039122,-0.6747763874461289,-0.3911984106034767,0.7638236697526432,0.8507721397646372,0.9142520983205242,0.9482614017876548,1.0,0.9598135730896421
STD120,0.43646392737656975,0.0971420406809949,-0.6727343711401238,-0.35945272409562345,0.7431122387920267,0.8180632390083783,0.8692917765710902,0.9091044500625983,0.9598135730896421,1.0
