factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
ROC250,0.3,0.011296,0.006739,0.006124,0.0081,0.013482
MAX_RATIO_250,0.1,0.01096,0.009702,0.004906,0.006019,0.014227
MIN_RATIO_250,-0.5,0.01414,0.008263,0.007061,0.008448,0.007995
MA_RATIO_250,-0.3,0.013751,0.008392,0.005802,0.00659,0.011333
STD5,0.6,0.010105,0.00925,0.007219,0.010354,0.014396
STD10,0.3,0.010295,0.008748,0.007567,0.009633,0.015051
STD20,0.3,0.009852,0.009068,0.007136,0.009572,0.015369
STD30,0.3,0.009718,0.009024,0.0071,0.009333,0.015783
STD60,0.1,0.009561,0.009206,0.00697,0.008165,0.016632
STD120,0.1,0.011186,0.00838,0.006025,0.007756,0.018976
