factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
STD30,-0.0229,0.1006,-0.2275,-0.8074,0.4058,-7.6663,-2.0976,0.0,0.036163,0.084764,-1
STD20,-0.0209,0.0952,-0.2197,-0.7797,0.4049,-7.4358,-2.0849,0.0,0.037296,0.084764,-1
STD10,-0.0186,0.0865,-0.2148,-0.7626,0.3927,-7.3043,-2.1465,0.0,0.032042,0.080105,-1
STD60,-0.0209,0.1037,-0.2013,-0.7145,0.4042,-6.6937,-1.8532,0.0,0.064123,0.119804,-1
MIN_RATIO_250,0.0127,0.1189,0.1069,0.3794,0.5431,3.2364,0.9159,0.001254,0.359972,0.499961,1
STD5,-0.0132,0.0772,-0.1705,-0.6053,0.4195,-5.8099,-1.8609,0.0,0.063007,0.119804,-1
STD120,-0.0151,0.1007,-0.1503,-0.5336,0.4245,-4.8615,-1.3418,1e-06,0.179967,0.274318,-1
MA_RATIO_250,0.0122,0.1204,0.1018,0.3613,0.5234,3.0818,0.8705,0.002119,0.384267,0.505655,1
MAX_RATIO_250,0.0045,0.1074,0.0417,0.1481,0.4962,1.2633,0.3574,0.206801,0.720842,0.838188,1
ROC250,-0.0054,0.1207,-0.045,-0.1599,0.5131,-1.363,-0.3859,0.173205,0.69963,0.832893,-1
