factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
MOM_ACC_20_60,-0.0086,0.102,-0.0845,-0.2998,0.467,-2.8102,-0.8224,0.005038,0.411031,0.045455
ATR_RATIO_20,0.0193,0.1227,0.1571,0.5575,0.5768,5.3173,1.4772,0.0,0.139906,0.245426
ATR_RATIO_5,0.018,0.1111,0.1617,0.574,0.5814,5.5096,1.5727,0.0,0.116067,0.245426
MOM_ACC_60_120,-0.0089,0.111,-0.0798,-0.2831,0.5272,-2.581,-0.7044,0.009987,0.481334,0.309714
STD250,0.0192,0.1263,0.1522,0.5402,0.5404,4.6059,1.2343,5e-06,0.217402,0.273287
ROC_STD_60,0.005,0.0992,0.0506,0.1795,0.5542,1.6819,0.4996,0.092863,0.617445,0.245426
ROC_STD_120,0.0047,0.1087,0.0434,0.1539,0.5535,1.4026,0.3959,0.161019,0.692271,0.716957
ROC_STD_20,0.0073,0.0837,0.0867,0.3077,0.5323,2.9344,0.932,0.003409,0.351514,0.537626
ATR_RATIO_60,0.0231,0.1147,0.2016,0.7155,0.557,6.7036,1.862,0.0,0.062869,0.412721
ROC_STD_250,0.0094,0.1214,0.0774,0.2748,0.5622,2.3433,0.6496,0.019328,0.516082,0.922732
