factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
MOM_ACC_20_60,0.0245,-0.0245,0.939,0.3,1.0,2.0358,0.0401,0.0507,0.9493,0.0,-1,1.1369
ATR_RATIO_20,0.0174,-0.0174,0.6048,0.6,0.8,1.2855,0.0552,0.0172,0.9828,1.0,-1,0.4109
ATR_RATIO_5,0.0145,-0.0145,0.5578,0.6,0.8,1.1519,0.1563,0.0043,0.9957,0.0,-1,0.2415
MOM_ACC_60_120,0.0152,-0.0152,0.5379,0.1,0.8,2.3761,0.0243,0.1022,0.8978,0.0,-1,0.1681
STD250,0.0181,-0.0181,0.6261,0.1,0.5,2.7339,0.0143,0.2145,0.7855,1.0,-1,0.0523
ROC_STD_60,0.0147,-0.0147,0.5523,0.3,0.8,1.524,0.1098,0.0515,0.9485,1.0,-1,0.0055
ROC_STD_120,0.0061,-0.0061,0.2092,0.6,0.8,2.127,0.0758,0.103,0.897,1.0,-1,-0.3162
ROC_STD_20,0.006,-0.006,0.2626,0.3,0.8,1.9067,0.1816,0.0172,0.9828,0.0,-1,-0.4751
ATR_RATIO_60,0.0118,-0.0118,0.4168,0.1,0.6,1.1575,0.0386,0.0515,0.9485,1.0,-1,-0.5202
ROC_STD_250,0.0013,-0.0013,0.0404,0.3,0.25,2.2298,0.0539,0.2145,0.7855,0.0,-1,-1.2037
