factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
STD250,-0.0181,-0.0181,0.0,937,250,REAL_CALCULATED
ATR_RATIO_5,-0.0145,-0.0093,0.0051,937,250,REAL_CALCULATED
ATR_RATIO_20,-0.0174,-0.003,0.0144,937,250,REAL_CALCULATED
ATR_RATIO_60,-0.0118,0.0082,0.02,937,250,REAL_CALCULATED
ROC_STD_20,-0.006,0.0012,0.0072,937,250,REAL_CALCULATED
ROC_STD_60,-0.0147,-0.0134,0.0013,937,250,REAL_CALCULATED
ROC_STD_120,-0.0061,0.0087,0.0148,937,250,REAL_CALCULATED
ROC_STD_250,-0.0013,0.008,0.0094,937,250,REAL_CALCULATED
MOM_ACC_20_60,-0.0245,-0.0108,0.0136,937,250,REAL_CALCULATED
MOM_ACC_60_120,-0.0152,-0.0126,0.0025,937,250,REAL_CALCULATED
