,VMA_RATIO_5,VSTD_5,VMA_RATIO_10,VSTD_10,VMA_RATIO_20,VSTD_20,VMA_RATIO_60,VSTD_60,CORR_PV_5,WVMA_5
VMA_RATIO_5,1.0,0.07112107317345458,0.836532160219842,0.06213172704783749,0.6966383277641491,0.05256972336195547,0.5521628087215746,0.033422067582733986,0.010191081979448523,-0.03465958485882533
VSTD_5,0.07112107317345458,1.0,-0.0855045003431386,0.5466279099518371,-0.15176187207775604,0.2983282353618036,-0.17100477360606034,0.1123207271440596,0.13369730396974713,0.3855161069123485
VMA_RATIO_10,0.836532160219842,-0.0855045003431386,1.0,0.05837217032069093,0.8675597532237742,0.06275494431859369,0.6730018207851789,0.0456448190056637,0.004247600720423263,-0.26044077765138973
VSTD_10,0.06213172704783749,0.5466279099518371,0.05837217032069093,1.0,-0.09316591391227132,0.5669802394239021,-0.16865624735088453,0.22248928964904113,0.09867088826728461,0.2537821117311158
VMA_RATIO_20,0.6966383277641491,-0.15176187207775604,0.8675597532237742,-0.09316591391227132,1.0,0.052578311184143044,0.8041685086580636,0.0578284152730898,-0.012308057820500052,-0.3280479059969417
VSTD_20,0.05256972336195547,0.2983282353618036,0.06275494431859369,0.5669802394239021,0.052578311184143044,1.0,-0.12254385157037594,0.41681103730763314,0.07347832786441413,0.15698850268832004
VMA_RATIO_60,0.5521628087215746,-0.17100477360606034,0.6730018207851789,-0.16865624735088453,0.8041685086580636,-0.12254385157037594,1.0,0.05584128411229266,-0.03334039960873328,-0.35882928544680015
VSTD_60,0.033422067582733986,0.1123207271440596,0.0456448190056637,0.22248928964904113,0.0578284152730898,0.41681103730763314,0.05584128411229266,1.0,0.05598726980371344,0.046267171506196726
CORR_PV_5,0.010191081979448523,0.13369730396974713,0.004247600720423263,0.09867088826728461,-0.012308057820500052,0.07347832786441413,-0.03334039960873328,0.05598726980371344,1.0,0.06159702097493738
WVMA_5,-0.03465958485882533,0.3855161069123485,-0.26044077765138973,0.2537821117311158,-0.3280479059969417,0.15698850268832004,-0.35882928544680015,0.046267171506196726,0.06159702097493738,1.0
