factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
VMA_RATIO_5,0.6653,0.002689,1.5799,0.605859,0.358317,-0.028499,-0.305469
VSTD_5,0.3887,0.002281,1.6019,0.554709,0.409852,0.159238,-0.046972
VMA_RATIO_10,0.5886,0.002348,1.3643,0.502192,0.295325,-0.037122,-0.284496
VSTD_10,0.2369,0.002671,2.1915,0.782167,0.679108,0.490462,0.322936
VMA_RATIO_20,0.5333,0.002293,1.39,0.502039,0.313368,0.003929,-0.232824
VSTD_20,0.1418,0.002034,1.7131,0.554473,0.499993,0.396672,0.300442
VMA_RATIO_60,0.4664,0.002774,1.8532,0.718905,0.528618,0.208709,-0.044458
VSTD_60,0.0591,0.001972,1.7649,0.562029,0.538966,0.493854,0.450058
CORR_PV_5,0.4236,0.002192,1.5242,0.510787,0.358007,0.097086,-0.113864
WVMA_5,0.2841,0.001943,1.4329,0.466358,0.365184,0.183223,0.025431
