factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
VMA_RATIO_5,1D,-0.0039,-2.1638,0.030682,0.076705
VMA_RATIO_5,3D,-0.0019,-0.9181,0.358762,0.472055
VMA_RATIO_5,5D,-0.0009,-0.4351,0.663557,0.754042
VMA_RATIO_5,10D,-0.0017,-0.9576,0.338465,0.47009
VMA_RATIO_5,20D,-0.0029,-1.8185,0.06925,0.123661
VSTD_5,1D,-0.0039,-2.3843,0.01727,0.047972
VSTD_5,3D,-0.0044,-2.1343,0.033028,0.078638
VSTD_5,5D,-0.0068,-2.9887,0.00286,0.011917
VSTD_5,10D,-0.0051,-1.919,0.055227,0.111733
VSTD_5,20D,-0.0043,-1.4137,0.157731,0.254405
VMA_RATIO_10,1D,-0.0014,-0.7952,0.426646,0.5203
VMA_RATIO_10,3D,-0.0009,-0.4023,0.687559,0.763954
VMA_RATIO_10,5D,-0.0001,-0.0576,0.954085,0.962227
VMA_RATIO_10,10D,-0.0034,-1.4272,0.15378,0.254405
VMA_RATIO_10,20D,-0.0021,-0.9263,0.354485,0.472055
VSTD_10,1D,-0.007,-4.2268,2.6e-05,0.000433
VSTD_10,3D,-0.0092,-4.0038,6.6e-05,0.000825
VSTD_10,5D,-0.0084,-3.0217,0.002568,0.011673
VSTD_10,10D,-0.0072,-1.9579,0.050479,0.109737
VSTD_10,20D,-0.0061,-1.4576,0.145211,0.250364
VMA_RATIO_20,1D,-0.0002,-0.0907,0.927786,0.962227
VMA_RATIO_20,3D,-0.0008,-0.3525,0.724517,0.779087
VMA_RATIO_20,5D,-0.0008,-0.3421,0.732342,0.779087
VMA_RATIO_20,10D,-0.0042,-1.3551,0.175661,0.27447
VMA_RATIO_20,20D,-0.0038,-1.1698,0.242325,0.346179
VSTD_20,1D,-0.0057,-3.3936,0.000713,0.004731
VSTD_20,3D,-0.0075,-3.2372,0.001241,0.006894
VSTD_20,5D,-0.0081,-2.7792,0.005537,0.018457
VSTD_20,10D,-0.0073,-1.8392,0.066143,0.122487
VSTD_20,20D,-0.0043,-0.855,0.392742,0.503515
VMA_RATIO_60,1D,0.0025,1.2999,0.193904,0.285153
VMA_RATIO_60,3D,0.0019,0.7415,0.458565,0.545911
VMA_RATIO_60,5D,-0.0001,-0.0474,0.962227,0.962227
VMA_RATIO_60,10D,-0.003,-0.813,0.416418,0.5203
VMA_RATIO_60,20D,-0.0024,-0.5714,0.567866,0.660309
VSTD_60,1D,-0.0043,-2.5363,0.011339,0.03335
VSTD_60,3D,-0.0077,-3.1611,0.001614,0.00807
VSTD_60,5D,-0.0084,-2.8446,0.004528,0.016171
VSTD_60,10D,-0.008,-1.9049,0.057054,0.111733
VSTD_60,20D,-0.0086,-1.3162,0.188389,0.285153
CORR_PV_5,1D,-0.005,-2.8828,0.004012,0.015431
CORR_PV_5,3D,-0.0081,-3.6055,0.000325,0.002708
CORR_PV_5,5D,-0.0088,-3.377,0.000757,0.004731
CORR_PV_5,10D,-0.0085,-2.6781,0.007507,0.023459
CORR_PV_5,20D,-0.0095,-2.3205,0.020488,0.053916
WVMA_5,1D,-0.0109,-5.1183,0.0,0.0
WVMA_5,3D,-0.0144,-4.8718,1e-06,2.5e-05
WVMA_5,5D,-0.014,-3.7743,0.000168,0.00168
WVMA_5,10D,-0.0096,-1.9895,0.046877,0.106539
WVMA_5,20D,-0.0122,-1.8968,0.058101,0.111733
