,CORR_PV_10,WVMA_10,CORR_PV_20,WVMA_20,TURNOVER_SURGE_5,TURNOVER_SURGE_20,TURNOVER_STD_20,AMOUNT_RATIO_5_20,LIMIT_UP_SPACE,IS_LIMIT_UP_LAG1
CORR_PV_10,1.0,0.07261142976113735,0.5141039970331162,0.08362209368316824,0.009394889511846539,0.027075026929445637,0.12929813222805775,0.05427306666791477,-0.07323156207319981,-0.004318826085386705
WVMA_10,0.07261142976113735,1.0,0.060166524895520004,0.7092931308701675,-0.020171909997467784,0.252896663090981,0.40259287902551105,0.44621874645419607,0.0301348847255735,0.0063813326714912124
CORR_PV_20,0.5141039970331162,0.060166524895520004,1.0,0.06480343788406034,0.0005887117131328193,0.012103723558751613,0.1643053816930923,0.03578905218392143,-0.04805137579328633,-0.0010764001653872837
WVMA_20,0.08362209368316824,0.7092931308701675,0.06480343788406034,1.0,-0.03584527678840863,0.048144093952655516,0.5561529213924972,0.14962847877878288,0.04822001602684462,0.006115055304489279
TURNOVER_SURGE_5,0.009394889511846539,-0.020171909997467784,0.0005887117131328193,-0.03584527678840863,1.0,0.7191024414084527,-0.03883156488243429,-0.005274140442568783,-0.08699022050089232,0.006139853910298992
TURNOVER_SURGE_20,0.027075026929445637,0.252896663090981,0.012103723558751613,0.048144093952655516,0.7191024414084527,1.0,-0.04048380628108989,0.5885661865164517,-0.0719142973011718,0.006390590320953748
TURNOVER_STD_20,0.12929813222805775,0.40259287902551105,0.1643053816930923,0.5561529213924972,-0.03883156488243429,-0.04048380628108989,1.0,0.010704531757788415,-0.010030611907737038,0.006042986485839832
AMOUNT_RATIO_5_20,0.05427306666791477,0.44621874645419607,0.03578905218392143,0.14962847877878288,-0.005274140442568783,0.5885661865164517,0.010704531757788415,1.0,-0.017072298387511946,0.005557570986588731
LIMIT_UP_SPACE,-0.07323156207319981,0.0301348847255735,-0.04805137579328633,0.04822001602684462,-0.08699022050089232,-0.0719142973011718,-0.010030611907737038,-0.017072298387511946,1.0,-0.003072332892145301
IS_LIMIT_UP_LAG1,-0.004318826085386705,0.0063813326714912124,-0.0010764001653872837,0.006115055304489279,0.006139853910298992,0.006390590320953748,0.006042986485839832,0.005557570986588731,-0.003072332892145301,1.0
