factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
CORR_PV_10,20D,,-0.0078,-0.0112,-0.0103,-0.0111,-0.0128
WVMA_10,3D,,-0.0124,-0.016,-0.0139,-0.0114,-0.016
CORR_PV_20,20D,,-0.0061,-0.0089,-0.0085,-0.0087,-0.0134
WVMA_20,3D,,-0.0122,-0.017,-0.0154,-0.0126,-0.0149
TURNOVER_SURGE_5,1D,,0.0031,0.0009,-0.0005,0.0001,0.0006
TURNOVER_SURGE_20,10D,,-0.0001,-0.0001,0.0001,0.0033,0.0022
TURNOVER_STD_20,20D,,-0.0095,-0.0119,-0.0119,-0.0125,-0.0181
AMOUNT_RATIO_5_20,1D,,-0.0043,-0.0013,0.0,0.0032,0.001
LIMIT_UP_SPACE,1D,,0.0074,0.0025,0.0019,0.0011,0.0029
IS_LIMIT_UP_LAG1,3D,,0.0017,0.002,0.001,0.0007,0.0006
