factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
CORR_PV_10,-0.0128,-0.0128,0.0,1187,1166,21,294.2,279,300,REAL_CALCULATED
WVMA_10,-0.016,-0.0163,-0.0003,1187,1148,39,294.1,278,300,REAL_CALCULATED
CORR_PV_20,-0.0134,-0.013,0.0004,1187,1166,21,294.2,279,300,REAL_CALCULATED
WVMA_20,-0.0149,-0.0153,-0.0004,1187,1128,59,294.0,276,300,REAL_CALCULATED
TURNOVER_SURGE_5,0.0006,0.0009,0.0002,1187,1162,25,294.2,278,300,REAL_CALCULATED
TURNOVER_SURGE_20,0.0022,0.0024,0.0002,1187,1147,40,294.1,278,300,REAL_CALCULATED
TURNOVER_STD_20,-0.0181,-0.0178,0.0003,1187,1147,40,294.1,278,300,REAL_CALCULATED
AMOUNT_RATIO_5_20,0.001,0.001,-0.0,1187,1147,40,294.1,278,300,REAL_CALCULATED
LIMIT_UP_SPACE,0.0029,0.0025,-0.0004,1187,1166,21,294.2,279,300,REAL_CALCULATED
IS_LIMIT_UP_LAG1,0.0006,0.0003,-0.0003,1187,1166,21,294.2,279,300,REAL_CALCULATED
