factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
KLEN,0.0109,-0.0109,0.4993,0.6,0.8333,0.7117,0.5344,0.0,1.0,0.0,-1,1.142
KLOW,0.0093,-0.0093,0.5432,0.3,0.8333,1.1735,0.7232,0.0,1.0,0.0,-1,0.7623
MIN_RATIO_5,0.0074,0.0074,0.3533,0.3,0.8,1.7536,0.4503,0.0034,0.9966,0.0,1,0.3186
ROC5,0.0068,-0.0068,0.296,0.3,0.8,1.9939,0.3415,0.0043,0.9957,0.0,-1,0.2273
KSFT,0.0058,-0.0058,0.2998,0.3,0.8333,1.7022,0.754,0.0,1.0,0.0,-1,0.1199
KUP,0.0052,-0.0052,0.2903,0.3,0.8333,0.6873,0.6995,0.0,1.0,0.0,-1,-0.1519
KMID,0.0048,-0.0048,0.2369,0.3,0.8333,1.5594,0.7577,0.0,1.0,1.0,-1,-0.2126
MA_RATIO_5,0.0046,0.0046,0.2115,0.1,0.8,2.0167,0.4248,0.0034,0.9966,0.0,1,-0.3377
MAX_RATIO_5,0.0046,-0.0046,0.2071,0.1,0.6,1.0352,0.4648,0.0034,0.9966,0.0,-1,-0.9734
KMID2,0.0014,-0.0014,0.0709,0.1,0.8333,1.2858,0.7789,0.0,1.0,1.0,-1,-1.0945
ROC30,0.0155,-0.0155,0.6214,0.1,0.8,1.9324,0.1442,0.0258,0.9742,0.0,-1,0.6746
MIN_RATIO_20,0.0104,0.0104,0.4439,0.6,0.8,1.8081,0.2188,0.0163,0.9837,0.0,1,0.5794
ROC20,0.0121,-0.0121,0.4997,0.1,0.8,2.4201,0.1735,0.0172,0.9828,0.0,-1,0.4663
MA_RATIO_20,0.0105,0.0105,0.4221,0.1,0.8,2.5271,0.2013,0.0163,0.9837,1.0,1,0.1852
ROC10,0.0104,-0.0104,0.4241,0.1,0.8,2.3933,0.2442,0.0086,0.9914,1.0,-1,0.1739
MIN_RATIO_10,0.0091,0.0091,0.4157,0.3,0.8,1.7519,0.3144,0.0077,0.9923,0.0,1,0.1685
MA_RATIO_10,0.0081,0.0081,0.3437,0.3,0.8,2.3102,0.2916,0.0077,0.9923,1.0,1,0.0663
MAX_RATIO_10,0.0046,-0.0046,0.1938,0.3,0.8,1.1933,0.3239,0.0077,0.9923,0.0,-1,-0.5017
MAX_RATIO_30,0.0006,0.0006,0.0244,0.1,0.8,2.4425,0.1505,0.0249,0.9751,1.0,1,-0.9433
MAX_RATIO_20,0.0027,-0.0027,0.113,0.1,0.4,1.5865,0.2261,0.0163,0.9837,1.0,-1,-1.3692
